"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,186070000,186070000,1,19200300000,9547400000,14252500000,8932500000,4879400000,68400000,0,7619100000,3815600000,1657800000,110100000,110100000,0.59,0.58,0.43,515800000,-591500000,112700000,5800000,2546600000,36000000,83.08,88.58,77.58,0.1466,0.0392,26.22,3.15,22.45,24.88,0.4505,0.782,0.2541,0.0973,0.4,2.58,1.0688
2019-03-31,185252000,185252000,1,18631400000,9669500000,13673200000,8637900000,4880300000,77900000,0,6642300000,3690300000,1990600000,334100000,334100000,1.81,1.77,0.43,-96200000,-141300000,507400000,304000000,2540800000,39300000,75.77,81.09,70.44,0.1511,0.0412,26.34,3.1,22.22,24.45,0.44,0.7562,0.2619,0.0979,0.42,-0.73,1.1194
2018-12-31,184060000,184060000,1,16334000000,8118700000,11764300000,7693600000,4498900000,70800000,0,6398600000,3091400000,1657400000,117300000,117300000,0.64,0.63,0.41,260500000,-256500000,5200000,-23700000,2236800000,33600000,73.61,79.03,68.19,0.1408,0.0391,24.44,2.97,21.97,24.02,0.4741,0.6871,0.2754,0.0914,0.43,1.23,1.0553
2018-09-30,183652000,183652000,1,16114700000,8084000000,11502000000,7422600000,4544500000,68200000,0,6273400000,3141200000,1778500000,127600000,127600000,0.7,0.68,0.41,191300000,-208100000,-44800000,-84200000,2260500000,28100000,70.75,76.49,65,0.1411,0.0405,24.75,2.91,20.93,23.61,0.4759,0.6912,0.282,0.0904,0.45,0.89,1.0891
2018-06-30,182612000,182612000,1,16230500000,8365000000,11717400000,7568600000,4443600000,69500000,0,6134900000,3141000000,1660400000,114900000,114900000,0.63,0.62,0.41,530900000,-358800000,132100000,236000000,2344700000,31600000,67.74,70.94,64.54,0.1454,0.043,24.33,2.73,18.26,23.2,0.4661,0.7069,0.2738,0.0934,0.46,2.73,1.1052
2018-03-31,182273000,182273000,1,16127500000,8533300000,11543000000,7742400000,4514600000,69900000,0,5875900000,2792100000,1837700000,273700000,273700000,1.51,1.48,0.41,-217600000,-86900000,69500000,-196300000,2108700000,31100000,67.41,72.77,62.04,0.1644,0.0501,24.77,2.98,26.54,22.79,0.4203,0.6185,0.2799,0.1034,0.48,-1.36,1.1022
2017-12-31,181426000,181426000,1,12897400000,5170600000,8732500000,4912300000,4105200000,59700000,0,5842500000,2691900000,1599000000,105100000,105100000,0.58,0.57,0.39,395100000,-91000000,-1200000,348000000,2305000000,35400000,64.09,67.32,60.87,0.1178,0.037,22.63,2.82,25.64,22.38,0.608,0.6557,0.3183,0.0752,0.49,1.98,1.0526
2017-09-30,180799000,180799000,1,12810400000,5087400000,8638200000,4705200000,4110000000,62200000,0,5831600000,2741700000,1584500000,130400000,130400000,0.72,0.71,0.39,253700000,-125500000,-165600000,-22900000,564900000,28200000,59.03,61.87,56.2,0.1191,0.0373,22.73,2.77,23.8,21.99,0.615,0.6671,0.3208,0.0762,0.49,1.25,1.0812
2017-06-30,180164000,180164000,1,12569600000,5107200000,8659600000,4858000000,3844700000,65300000,0,5651600000,2644800000,1563400000,171900000,171900000,0.96,0.95,0.39,35700000,-116400000,99100000,23800000,587800000,36300000,56.8,59.11,54.5,0.1205,0.0379,21.34,2.78,23.97,21.6,0.619,0.6879,0.3059,0.0762,0.5,-0,1.0513
2017-03-31,179514000,179514000,1,11780600000,4483200000,8053300000,4784700000,3662500000,64800000,0,5579000000,2144700000,1412700000,55700000,55700000,0.31,0.31,0.39,169700000,-178100000,19900000,18500000,564000000,29300000,54.81,57.82,51.8,0.1165,0.037,20.4,2.72,23.62,21.21,0.6439,0.5856,0.3109,0.0742,0.5,0.78,0.937
2016-12-31,178617000,178617000,1,11489600000,4416100000,7833800000,4611700000,3596600000,59200000,0,5395100000,2144600000,1385000000,95100000,95100000,0.53,0.53,0.38,233700000,-207200000,2300000,13700000,545500000,79000000,49.75,52.34,47.16,0.1145,0.037,20.14,2.4,23.14,20.82,0.6517,0.5963,0.313,0.0741,0.5,0.87,0.9576
2016-09-30,177941000,177941000,1,11200300000,4213700000,7459100000,4398900000,3686500000,54700000,0,5392500000,2044600000,1482300000,122800000,122800000,0.69,0.69,0.38,243400000,-106400000,-14500000,120700000,531800000,35700000,49.2,51.24,47.15,0.1051,0.0345,20.72,2.42,22.26,20.44,0.7015,0.5546,0.3291,0.0688,0.5,1.17,0.9579
2016-06-30,177031000,177031000,1,11384300000,4485600000,7728500000,4383700000,3599900000,55900000,0,5375900000,2344400000,1427100000,150000000,150000000,0.85,0.84,0.38,35600000,-127200000,80200000,-14300000,411100000,41200000,45.91,48.64,43.17,0.1083,0.036,20.33,2.26,21.06,20.06,0.677,0.6512,0.3162,0.0711,0.51,-0.03,1.0232
2016-03-31,177129000,177129000,1,10712600000,3939500000,7060300000,4022400000,3597100000,55200000,0,5366300000,2071800000,1300400000,46500000,46500000,0.26,0.26,0.38,109400000,-128400000,-34100000,-55000000,425400000,61900000,40.31,44.67,35.96,0.105,0.0356,20.31,1.96,19.66,19.68,0.689,0.576,0.3358,0.0698,0.51,0.27,0.9794
2015-12-31,177027000,177027000,1,10913800000,4335800000,7225600000,4191700000,3638300000,49900000,0,5361700000,2075000000,1334900000,62300000,62300000,0.35,0.36,0.37,326100000,-201400000,-11100000,110700000,480400000,27200000,41.98,44.54,39.43,0.1014,0.0341,20.55,2.03,20.89,19.3,0.7206,0.5703,0.3334,0.0662,0.52,1.69,1.0344
2015-09-30,176695000,176695000,1,10510400000,4020100000,6802500000,3729200000,3652400000,55500000,0,5321400000,2125000000,1454800000,133300000,133300000,0.76,0.75,0.37,244800000,-151100000,-36000000,48000000,369700000,29100000,44.16,48.33,39.99,0.1013,0.0338,20.67,2.12,24,18.93,0.7252,0.5818,0.3475,0.0652,0.52,1.22,1.078
2015-06-30,174545000,174545000,1,10716100000,4261400000,7004600000,3905400000,3638500000,73000000,0,5330900000,2125000000,1371400000,139300000,139300000,0.82,0.81,0.37,-31600000,-68800000,141600000,44900000,321700000,24900000,47.95,49.59,46.3,0.0923,0.0303,20.85,2.54,27.72,18.56,0.7955,0.584,0.3395,0.0597,0.51,-0.32,1.0912
2015-03-31,166657000,166657000,1,9730900000,3594800000,6511300000,3438700000,3145200000,74400000,0,5141600000,2125000000,1231300000,21900000,21900000,0.13,0.13,0.37,113300000,-40300000,-104400000,-37600000,276800000,17800000,46.48,48.71,44.24,0.0857,0.0278,18.87,2.37,23.71,18.19,0.8562,0.6756,0.3232,0.0558,0.5,0.57,1.0454
2014-12-31,164744000,164744000,1,10010000000,3811200000,6780600000,3642700000,3229400000,0,0,5225600000,2125000000,1245400000,51500000,51500000,0.31,0.32,0.36,169100000,-101000000,-58000000,23900000,314400000,21800000,46.3,49.24,43.36,0.1022,0.0325,19.6,2.29,22.26,17.82,0.762,0.658,0.3226,0.0656,0.5,0.89,1.0463
2014-09-30,161374000,161374000,1,9988000000,3972400000,6732000000,3769800000,3256000000,0,0,5067300000,2125000000,1286800000,93600000,93600000,0.58,0.58,0.36,26400000,-449300000,-255300000,-683000000,290500000,17600000,46.09,47.95,44.22,0.1162,0.0365,20.18,2.25,22.27,17.46,0.7013,0.6526,0.326,0.073,0.5,0.05,1.0537
2014-06-30,158993000,158993000,1,10019300000,4440300000,6769700000,3875000000,3249600000,0,0,4659100000,2125000000,1179300000,109000000,109000000,0.71,0.7,0.36,130700000,-1416900000,1501600000,215400000,973500000,22300000,45.67,48.38,42.97,0.1245,0.0389,20.44,3.35,21.75,17.1,0.7056,0.6539,0.3243,0.0767,0.51,0.68,1.1459
2014-03-31,157096000,157096000,1,7275600000,3198000000,5131400000,3033600000,2144200000,0,0,3235800000,1425000000,915000000,49300000,49300000,0.37,0.36,0.36,76100000,-44500000,409500000,441100000,739200000,19800000,46.74,49.46,44.02,0.1411,0.0432,13.65,3,22.69,16.74,0.6998,0.6646,0.2947,0.0811,0.53,0.36,1.0542
2013-12-31,133841000,133841000,1,6860500000,2875600000,4775000000,3284800000,2085500000,0,0,3224000000,825000000,890200000,60000000,60000000,0.46,0.44,0.35,71300000,-421200000,361300000,11200000,298100000,23800000,46.03,48.49,43.57,0.1455,0.0455,15.58,3.13,24.48,16.38,0.6774,0.3956,0.304,0.0845,0.54,0.35,0.8754
2013-09-30,131538000,131538000,1,5970200000,2546700000,4038000000,2577900000,1932200000,0,0,2689500000,825000000,835800000,74600000,74600000,0.57,0.57,0.35,204800000,-265200000,104100000,46900000,286900000,33900000,43.5,45.89,41.11,0.1392,0.0438,14.69,3.26,24.03,16.03,0.7348,0.427,0.3236,0.0817,0.54,1.3,0.9879
2013-06-30,127698000,127698000,1,5562100000,2602600000,3860100000,2343700000,1702000000,0,0,2290800000,925000000,779500000,93500000,93500000,0.73,0.73,0.35,22600000,-132500000,129400000,16000000,240000000,26600000,43.19,45.87,40.51,0.1376,0.0433,13.33,3.29,25.86,15.68,0.7598,0.5435,0.306,0.0825,0.53,-0.03,1.1105
2013-03-31,126754000,126754000,1,5225100000,2301400000,3560400000,2215100000,1664700000,0,0,2237100000,725000000,674100000,40500000,40500000,0.32,0.32,0.35,51200000,-32800000,-92200000,-78100000,224000000,9300000,38.14,41.31,34.97,0.129,0.04,13.13,2.89,23.99,15.33,0.8225,0.4355,0.3186,0.0783,0.51,0.33,1.039
2012-12-31,125870000,125870000,1,5352300000,2429500000,3693700000,2362900000,1658600000,0,0,2282300000,725000000,673200000,33500000,33500000,0.27,0.26,0.34,163600000,-227800000,61000000,-3100000,302100000,14900000,35.59,36.99,34.2,0.1274,0.0388,13.18,2.71,21.18,14.98,0.8535,0.4371,0.3099,0.0774,0.5,1.18,1.0282
2012-09-30,124387000,124387000,1,5009300000,2324900000,3373100000,2090300000,1636200000,0,0,2096600000,725000000,650400000,61700000,61700000,0.5,0.5,0.34,116400000,-72100000,-25300000,19000000,305200000,9500000,36.01,37.56,34.46,0.1415,0.042,13.15,2.96,22.65,14.64,0.8,0.4431,0.3266,0.0833,0.5,0.86,1.1122
2012-06-30,120977000,120977000,1,5133600000,2631800000,3660700000,2442000000,1472900000,0,0,1930800000,675000000,649900000,71700000,71700000,0.6,0.59,0.34,110600000,-70800000,-59500000,-19700000,282100000,13200000,36,38.24,33.75,0.1413,0.0405,12.18,3.14,26.28,14.3,0.8373,0.4583,0.2869,0.08,0.51,0.81,1.0777
2012-03-31,118299000,118299000,1,4602700000,2225000000,3246100000,2044200000,1356600000,0,0,1794000000,675000000,546800000,28100000,28100000,0.24,0.24,0.34,-47600000,-11500000,69700000,10600000,301800000,13400000,34.17,36.33,32.01,0.125,0.0351,11.47,3.16,26.91,13.96,0.971,0.4976,0.2947,0.0703,0.5,-0.52,1.0884
2011-12-31,115040000,115040000,1,4483500000,2199400000,3239900000,2073600000,1243600000,0,0,1716800000,675000000,578400000,40500000,40500000,0.35,0.35,0.33,101100000,-44600000,-6700000,49800000,291200000,10800000,29.63,33.99,25.27,0.1198,0.0339,10.81,2.74,20.58,13.62,1.0313,0.5428,0.2774,0.0675,0.5,0.78,1.0607
2011-09-30,112883000,112883000,1,4247200000,2088700000,3027900000,1943600000,1219300000,0,0,1648900000,675000000,562800000,46700000,46700000,0.41,0.41,0.33,84600000,-42700000,-63700000,-21800000,241400000,12100000,26.71,29.13,24.29,0.1354,0.0393,10.8,2.49,18.17,13.29,0.9185,0.5536,0.2871,0.0785,0.5,0.64,1.0747
2011-06-30,112152000,112152000,1,4581900000,2416000000,3379100000,2287100000,1202800000,0,0,1635300000,675000000,546100000,41700000,41700000,0.38,0.37,0.33,104700000,-192700000,18000000,-70000000,263200000,8800000,29.45,31.22,27.68,0.1413,0.0412,10.72,2.83,19.38,12.96,0.9003,0.5612,0.2625,0.0824,0.5,0.86,1.0564
2011-03-31,110263000,110263000,1,3691100000,1749800000,2544000000,1485300000,1147100000,0,0,1415400000,675000000,447400000,15200000,15200000,0.14,0.14,0.33,-7300000,-27300000,118000000,83400000,333200000,8300000,30.16,31.92,28.4,0.1514,0.0448,10.4,2.96,18.17,12.63,0.8665,0.5884,0.3108,0.0875,0.51,-0.14,1.1781
2010-12-31,108605000,108605000,1,3596000000,1726000000,2489300000,1577300000,1106700000,0,0,1367200000,550000000,459100000,54700000,54700000,0.52,0.52,0.32,19400000,-42500000,-23400000,-46500000,249800000,7300000,27.84,29.8,25.87,0.1741,0.0503,10.19,2.92,21.42,12.3,0.7782,0.497,0.3078,0.0934,0.54,0.11,1.0943
2010-09-30,106006000,106006000,1,3460700000,1689900000,2449300000,1532300000,1011400000,0,0,1260000000,550000000,463200000,46200000,46200000,0.44,0.44,0.32,122800000,-24400000,-32100000,66300000,296300000,5100000,25.36,26.75,23.96,0.1439,0.0404,9.54,2.76,19.97,11.98,0.9804,0.5438,0.2923,0.074,0.55,1.11,1.1029
2010-06-30,105203000,105203000,1,3555800000,1823600000,2590400000,1689900000,965400000,0,0,1211400000,550000000,459500000,44000000,44000000,0.42,0.42,0.32,86100000,-27400000,-55800000,2900000,230000000,7000000,24.81,27,22.63,0.1445,0.0396,9.18,2.8,19.23,11.66,1.0045,0.5697,0.2715,0.0724,0.55,0.75,1.0791
2010-03-31,103600000,103600000,1,3232100000,1521900000,2315400000,1420500000,916700000,0,0,1183400000,550000000,482400000,29200000,29200000,0.28,0.28,0.32,3500000,2600000,15100000,21200000,227100000,6000000,23.87,25.84,21.9,0.1494,0.0393,8.85,2.74,18.65,11.34,0.9962,0.6,0.2836,0.0726,0.54,-0.02,1.0714
2009-12-31,102483000,102483000,1,3250300000,1540000000,2357400000,1474400000,892900000,0,0,1180700000,550000000,435100000,16800000,16800000,0.16,0.16,0.32,15900000,-36000000,-11900000,-32000000,205900000,5900000,23.27,24.65,21.88,0.1513,0.0388,8.71,2.72,19.89,11.02,1.0095,0.616,0.2747,0.0744,0.52,0.1,1.0445
2009-09-30,101800000,101800000,1,3241100000,1565600000,2372000000,1630500000,869100000,0,0,1160800000,400000000,439500000,41600000,41600000,0.41,0.41,0.32,118000000,-13500000,-92700000,11800000,237900000,4100000,22.6,25,20.2,0.1436,0.0351,8.54,2.72,19.48,10.7,1.0977,0.4602,0.2681,0.0683,0.51,1.12,0.9602
2009-06-30,101200000,101200000,1,3652500000,1980700000,2812700000,2070600000,839800000,0,0,1161200000,400000000,453600000,43800000,43800000,0.44,0.44,0.32,111600000,-15600000,-62400000,33600000,226100000,8200000,19.88,23.25,16.51,0.143,0.0341,8.3,2.49,17.14,10.38,1.1154,0.4763,0.2299,0.0665,0.51,1.02,0.9566
