"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,133904298,133904298,1,144403000000,None,138560000000,None,5843000000,0,0,0,3394000000,3153000000,395000000,395000000,2.85,2.82,0.9,172000000,-481000000,291000000,-122000000,5761000000,31000000,119.4,136.01,102.79,0.3349,0.0133,43.64,2.9,8.79,22.89,0.261,0.5809,0.0405,0.1473,0.09,1.05,None
2018-12-31,135496261,135496261,1,137216000000,None,131628000000,None,5588000000,0,0,1989000000,2867000000,3208000000,539000000,539000000,3.41,3.15,0.9,1488000000,-238000000,-59000000,1186000000,5883000000,45000000,124.42,153.15,95.69,0.3701,0.0147,41.24,3.09,10.73,21.99,0.236,0.5131,0.0407,0.1623,0.09,10.65,None
2018-09-30,139356365,139356365,1,145191000000,None,139573000000,None,5618000000,0,0,0,2870000000,3316000000,503000000,503000000,3.48,3.43,0.9,548000000,-565000000,-57000000,-74000000,4697000000,48000000,142.59,151.01,134.17,0.3015,0.012,40.31,3.59,12.5,21.09,0.2842,0.5109,0.0387,0.135,0.09,3.59,None
2018-06-30,141863852,141863852,1,143268000000,None,137636000000,None,5632000000,0,0,0,2875000000,3216000000,462000000,462000000,3.14,3.1,0.9,769000000,129000000,-583000000,315000000,4774000000,36000000,141.22,152.56,129.87,0.2927,0.012,39.7,3.5,13.06,20.19,0.2827,0.5105,0.0393,0.1385,0.09,5.17,None
2018-03-31,144612802,144612802,1,144762000000,None,138922000000,None,5840000000,0,0,0,2881000000,3184000000,594000000,594000000,3.97,3.91,0.83,-208000000,87000000,-564000000,-673000000,4471000000,33000000,164.23,183.9,144.55,0.274,0.0115,40.38,4.01,17.43,19.29,0.2925,0.4933,0.0403,0.1353,0.09,-1.67,None
2017-12-31,146332164,146332164,1,147470000000,None,141472000000,None,5998000000,0,0,2027000000,2891000000,3174000000,181000000,181000000,1.2,1.16,0.83,522000000,-93000000,-499000000,-67000000,5144000000,37000000,160.7,173.62,147.79,0.2389,0.0103,40.99,3.77,15,18.46,0.3264,0.482,0.0407,0.1226,0.08,3.31,None
2017-09-30,147930011,147930011,1,145486000000,None,139181000000,None,6305000000,0,0,0,2902000000,2993000000,503000000,503000000,3.29,3.24,0.83,443000000,-333000000,-420000000,-299000000,5211000000,53000000,139.03,149.99,128.06,0.271,0.0119,42.62,3.34,15.85,17.63,0.2808,0.4603,0.0433,0.1419,0.08,2.64,None
2017-06-30,149943197,149943197,1,143144000000,None,136894000000,None,6250000000,0,0,0,2908000000,2997000000,393000000,393000000,2.53,2.5,0.83,730000000,16000000,-432000000,330000000,5510000000,39000000,125.93,133.02,118.84,0.2208,0.0099,41.68,3.08,15.28,16.8,0.3351,0.4653,0.0437,0.1177,0.08,4.61,None
2017-03-31,152453907,152453907,1,140857000000,None,134630000000,None,6227000000,0,0,0,2911000000,2911000000,403000000,403000000,2.56,2.52,0.75,6000000,211000000,-434000000,-212000000,5180000000,33000000,122.88,135.2,110.56,0.205,0.0095,40.85,3.01,15.73,15.97,0.347,0.4675,0.0442,0.114,0.08,-0.18,None
2016-12-31,154056430,154056430,1,139821000000,None,133529000000,None,6292000000,0,0,1212000000,2917000000,3072000000,400000000,400000000,2.49,2.45,0.75,266000000,-438000000,-563000000,-757000000,2318000000,26000000,102.78,119.32,86.25,0.1927,0.0093,40.84,2.39,13.96,15.22,0.3548,0.4636,0.045,0.112,0.08,1.56,None
2016-09-30,158047749,158047749,1,143623000000,None,136827000000,None,6796000000,0,0,0,2934000000,3010000000,215000000,215000000,1.31,1.3,0.75,360000000,-429000000,340000000,256000000,3075000000,30000000,93.37,101.81,84.93,0.1803,0.0089,43,2.13,11.35,14.47,0.365,0.4317,0.0473,0.1079,0.08,2.09,None
2016-06-30,161420894,161420894,1,142684000000,None,135595000000,None,7089000000,0,0,0,2452000000,2879000000,335000000,335000000,1.99,1.97,0.75,724000000,61000000,-589000000,170000000,2819000000,8000000,93.83,102.74,84.92,0.2002,0.0101,43.92,2.19,11.05,13.72,0.318,0.3459,0.0497,0.1246,0.08,4.44,None
2016-03-31,165813448,165813448,1,140250000000,None,133157000000,None,7093000000,0,0,0,2683000000,2774000000,364000000,364000000,2.11,2.09,0.67,621000000,2000000,-319000000,292000000,2649000000,28000000,90.73,105.47,76,0.2057,0.0106,42.78,2.12,10.7,12.97,0.3003,0.3783,0.0506,0.1287,0.08,3.58,None
2015-12-31,168970804,168970804,1,145342000000,None,136937000000,None,7217000000,1188000000,0,1270000000,0,3112000000,357000000,357000000,2.03,2,0.67,669000000,-67000000,-1016000000,-423000000,2357000000,24000000,110.19,120.29,100.08,0.2021,0.0106,42.71,2.51,12.67,12.3,0.291,0,0.0497,0.128,0.08,3.82,None
2015-09-30,174111562,174111562,1,145320000000,None,136499000000,None,7629000000,1192000000,0,0,0,2893000000,397000000,397000000,2.2,2.17,0.67,371000000,-265000000,119000000,210000000,2780000000,42000000,112.37,129.22,95.52,0.2049,0.011,43.82,2.54,12.92,11.63,0.2743,0,0.0525,0.1338,0.08,1.89,None
2015-06-30,178221136,178221136,1,148806000000,None,139810000000,None,7875000000,1121000000,0,0,0,3135000000,415000000,415000000,2.26,2.23,0.67,619000000,-364000000,-516000000,-239000000,2570000000,38000000,126.29,131.76,120.83,0.2037,0.0111,44.19,2.8,15.07,10.96,0.2647,0,0.0529,0.1332,0.08,3.26,None
2015-03-31,181380334,181380334,1,151448000000,None,142189000000,None,8195000000,1064000000,0,0,0,3060000000,393000000,393000000,2.11,2.08,0.58,913000000,182000000,-905000000,171000000,2809000000,29000000,129.88,138.26,121.49,0.1954,0.0108,45.18,2.92,15.63,10.29,0.2647,0,0.0541,0.1305,0.08,4.87,None
2014-12-31,182511452,182511452,1,148810000000,None,139505000000,None,8124000000,1181000000,0,1313000000,0,3096000000,425000000,425000000,2.26,2.22,0.58,418000000,-543000000,-99000000,-238000000,2638000000,24000000,121.37,137.33,105.41,0.1953,0.011,44.51,2.71,16.08,9.71,0.2595,0,0.0546,0.1317,0.08,2.16,None
2014-09-30,184532059,184532059,1,147193000000,None,137853000000,None,8260000000,1080000000,0,0,0,3118000000,420000000,420000000,2.21,2.17,0.58,1617000000,-330000000,-531000000,735000000,2876000000,49000000,122.26,128.51,116.02,0.1794,0.0107,44.76,2.72,16.89,9.13,0.2776,0,0.0561,0.1226,0.08,8.5,None
2014-06-30,187200583,187200583,1,149160000000,None,139483000000,None,8428000000,1249000000,0,0,0,3079000000,374000000,374000000,1.94,1.91,0.58,-70000000,303000000,-506000000,-262000000,2141000000,20000000,110.63,120.32,100.94,0.1745,0.0111,45.02,2.52,16.1,8.55,0.2808,0,0.0565,0.1225,0.08,-0.48,None
2014-03-31,189879504,189879504,1,145964000000,None,136519000000,None,8344000000,1101000000,0,0,0,3003000000,400000000,400000000,2.05,2.01,0.52,434000000,-145000000,-521000000,-229000000,2403000000,20000000,109.06,116.82,101.29,0.1685,0.0106,43.94,2.54,16.93,7.97,0.2874,0,0.0572,0.1213,0.08,2.18,None
2013-12-31,190872783,190872783,1,144576000000,None,135344000000,None,8192000000,1040000000,0,1363000000,0,2953000000,380000000,296000000,1.48,1.46,0.52,258000000,-659000000,-99000000,-493000000,2632000000,37000000,102.37,115.36,89.37,0.1578,0.0105,42.92,2.39,15.08,7.45,0.2953,0,0.0567,0.1188,0.08,1.16,None
2013-09-30,194540676,194540676,1,140208000000,None,131039000000,None,8325000000,844000000,0,0,0,2821000000,449000000,382000000,1.9,1.86,0.52,1199000000,-833000000,411000000,794000000,3125000000,30000000,87.47,94.45,80.49,0.1644,0.0104,42.79,2.08,15.29,6.93,0.2308,0,0.0594,0.1302,0.08,6.01,None
2013-06-30,197850182,197850182,1,137258000000,None,128276000000,None,8340000000,642000000,0,0,0,2757000000,281000000,321000000,1.57,1.54,0.52,373000000,301000000,-504000000,171000000,2331000000,24000000,76.82,84.29,69.35,0.1371,0.0082,42.15,1.73,14.86,6.41,0.2465,0,0.0608,0.1147,0.08,1.76,None
2013-03-31,201529269,201529269,1,137296000000,None,127679000000,None,8960000000,657000000,0,0,0,2699000000,365000000,335000000,1.61,1.58,0.45,-466000000,389000000,-114000000,-211000000,2160000000,14000000,69.37,75.14,63.59,0.1237,0.0075,44.46,1.55,14.95,5.89,0.242,0,0.0653,0.1078,0.08,-2.38,None
2012-12-31,203472074,203472074,1,134729000000,None,125017000000,None,9092000000,620000000,0,1415000000,0,2684000000,332000000,389000000,1.84,1.81,0.17,622000000,3304000000,-4881000000,-954000000,2371000000,-6000000,59.7,63.75,55.66,0.1132,0.0066,44.68,1.34,15.31,5.44,0.2348,0,0.0675,0.1003,0.08,3.09,None
2012-09-30,205816370,205816370,1,138564000000,None,128743000000,None,9157000000,664000000,0,0,0,2479000000,151000000,173000000,0.8,0.79,0.35,415000000,940000000,-758000000,604000000,3325000000,44000000,54.16,60.47,47.84,0.0951,0.006,44.49,1.27,12.77,5.27,0.3589,0,0.0661,0.0888,0.07,1.8,None
2012-06-30,210728566,210728566,1,135270000000,None,125657000000,None,9005000000,608000000,0,0,0,2524000000,170000000,223000000,1.01,0.99,0.35,293000000,407000000,-286000000,409000000,2721000000,38000000,51.55,57.94,45.17,0.1027,0.0062,42.73,1.24,11.51,4.92,0.3026,0,0.0666,0.0989,0.07,1.21,None
2012-03-31,218622891,218622891,1,136757000000,None,127008000000,None,9115000000,634000000,0,0,0,2572000000,248000000,244000000,1.07,1.05,0.28,175000000,-234000000,-417000000,-469000000,2312000000,61000000,53.91,58.68,49.14,0.1073,0.0073,41.69,1.17,12.34,4.57,0.2604,0,0.0667,0.1063,0.08,0.52,None
