"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,167196499,167196499,1,3143500000,1658100000,1394300000,737200000,1749200000,0,0,803800000,277600000,748200000,89300000,89300000,0.53,0.53,0.22,21600000,77800000,-21300000,78100000,337800000,20900000,47.78,53.96,41.61,0.2501,0.1411,10.46,4.67,18.52,4.84,0.3106,0.1587,0.5564,0.1381,1.02,0,2.2492
2018-12-31,167912647,167912647,1,3071500000,1638500000,1354500000,785300000,1717000000,0,0,806100000,221400000,812500000,126300000,126300000,0.74,0.74,0.22,159700000,-27100000,-105900000,26700000,259700000,26700000,47.53,54.71,40.34,0.2571,0.1446,10.23,4.6,24.13,4.62,0.2905,0.1289,0.559,0.1393,1.04,0.79,2.0865
2018-09-30,169950947,169950947,1,3025200000,1598700000,1269000000,738900000,1756200000,0,0,812600000,193300000,754100000,104600000,104600000,0.61,0.61,0.18,116000000,-19700000,-123300000,-27000000,233000000,19000000,57.33,61.44,53.21,0.1991,0.1097,10.33,5.65,30.17,4.4,0.3409,0.1101,0.5805,0.1083,1.01,0.57,2.1636
2018-06-30,170606591,170606591,1,3085300000,1653300000,1355000000,768700000,1730300000,0,0,815500000,245400000,833300000,114500000,114500000,0.67,0.66,0.18,130000000,-800000,-111100000,18100000,260000000,22200000,61.99,66.21,57.77,0.1953,0.1056,10.14,6.21,35.02,4.22,0.3324,0.1418,0.5608,0.105,1.01,0.63,2.1508
2018-03-31,171142136,171142136,1,3106900000,1669100000,1398500000,766900000,1708400000,0,0,820400000,285800000,788000000,98800000,98800000,0.58,0.57,0.18,43200000,34900000,-182800000,-104700000,241900000,17300000,63.55,68.39,58.71,0.1854,0.0993,9.98,6.61,37.38,4.04,0.335,0.1673,0.5499,0.101,0.98,0.15,2.1764
2017-12-31,171511966,171511966,1,3197300000,1766800000,1548500000,788500000,1648800000,0,0,825400000,402900000,768600000,22700000,22700000,0.14,0.13,0.14,176200000,-46600000,-104900000,24700000,346600000,27800000,60.95,63.7,58.21,0.1826,0.097,9.61,6.29,29.73,3.86,0.3253,0.2444,0.5157,0.0989,0.98,0.87,2.2407
2017-09-30,171929527,171929527,1,3104600000,1698100000,1438700000,731700000,1665900000,0,0,828600000,442200000,749900000,93700000,93700000,0.54,0.54,0.14,77000000,-75300000,13600000,15300000,321900000,30100000,56.47,59.72,53.23,0.2242,0.1196,9.69,6.04,28.52,3.72,0.2615,0.2654,0.5366,0.1218,0.98,0.27,2.3208
2017-06-30,172538933,172538933,1,2984000000,1640300000,1370300000,705800000,1613700000,0,0,795400000,367700000,738200000,92400000,92400000,0.53,0.53,0.14,84700000,-18300000,-53200000,13200000,306600000,19500000,53.53,57.58,49.48,0.2225,0.1189,9.35,5.91,27.59,3.58,0.2602,0.2279,0.5408,0.121,0.98,0.38,2.324
2017-03-31,173035187,173035187,1,2940200000,1605500000,1373800000,720500000,1566400000,0,0,796900000,362200000,740000000,87700000,87700000,0.51,0.5,0.14,-11500000,-17900000,-7600000,-37000000,293400000,16800000,49.5,52.56,46.44,0.2239,0.1203,9.05,5.66,26.68,3.44,0.2548,0.2312,0.5328,0.1222,0.98,-0.16,2.2283
2016-12-31,173245736,173245736,1,2891000000,1562000000,1375700000,765600000,1515300000,0,0,799800000,316400000,698100000,82700000,82700000,0.47,0.48,0.12,183000000,-53700000,-68200000,61100000,330400000,22000000,47.58,51.49,43.66,0.2177,0.1183,8.75,5.43,26.07,3.3,0.2561,0.2088,0.5241,0.1216,0.97,0.93,2.0402
2016-09-30,173913214,173913214,1,2824400000,1507600000,1298800000,682100000,1525600000,0,0,803600000,328900000,683900000,83200000,83200000,0.48,0.47,0.12,108500000,-142900000,16300000,-18100000,269300000,21000000,46.29,49.7,42.88,0.2184,0.1199,8.77,5.45,26.23,3.18,0.2457,0.2156,0.5402,0.1232,0.97,0.5,2.2102
2016-06-30,87246233,174492466,2,2672200000,1449000000,1191500000,615600000,1480700000,0,0,708800000,274600000,667000000,87100000,87100000,1,0.98,0.24,128600000,-73100000,-73600000,-18100000,287400000,18300000,40.84,44.06,37.61,0.2157,0.1188,8.49,4.84,24.46,3.06,0.24,0.1855,0.5541,0.1223,0.97,0.63,2.3538
2016-03-31,87544304,175088608,2,2650600000,1425900000,1172100000,602000000,1478500000,0,0,711900000,274100000,636900000,73500000,73500000,0.84,0.83,0.24,26500000,-30500000,-14100000,-18100000,305500000,19400000,34.43,38.71,30.15,0.2062,0.1137,8.44,4.19,21.79,2.94,0.2393,0.1854,0.5578,0.1166,0.97,0.04,2.3686
