"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,92999294,92999294,1,3981919000,536031000,3348775000,659132000,633144000,0,0,2263033000,2561188000,971591000,219134000,148175000,1.59,1.59,0.95,251253000,-22853000,-235220000,-6820000,1478000,22853000,27.96,31.75,24.18,0.1617,0.0399,6.81,5.07,30.39,63.28,3.6144,4.0452,0.159,0.0351,0.7,2.46,0.8132
2018-12-31,92987318,92987318,1,4005531000,550543000,3492616000,813870000,512915000,0,0,2273138000,2560696000,820213000,44486000,32710000,0.35,0.35,0.95,-3861000,-27449000,32730000,1420000,8298000,27449000,31.78,40.81,22.75,0.126,0.0326,5.52,5.18,20.64,62.33,4.2084,4.9924,0.1281,0.0294,0.71,-0.34,0.6765
2018-09-30,92977072,92977072,1,3925818000,451891000,3356150000,678028000,569668000,0,0,2283279000,2561007000,466947000,-31327000,1857000,0.04,0.04,0.95,65942000,-12172000,-51974000,1796000,6878000,11464000,41.4,43.79,39.01,0.1951,0.0471,6.13,5.48,30.44,61.38,2.4656,4.4956,0.1451,0.0508,0.7,0.59,0.6665
2018-06-30,92977072,92977072,1,3926341000,427221000,3223696000,529572000,702645000,0,0,2296162000,2565181000,528403000,-74396000,-84983000,-0.91,-0.91,0.95,113907000,-32316000,-81245000,346000,5082000,22934000,41.36,43.3,39.42,0.1634,0.0499,7.56,4.37,25.07,60.43,2.7441,3.6507,0.179,0.046,0.69,0.98,0.8067
2018-03-31,92976504,92976504,1,4140970000,551489000,3261574000,569066000,879396000,0,0,2372819000,2563942000,1040332000,191824000,134373000,1.44,1.44,0.95,228599000,-19774000,-211286000,-2461000,4736000,19774000,43.89,48.37,39.41,0.1863,0.0563,9.46,5.19,32.51,59.48,2.2629,2.9156,0.2124,0.057,0.67,2.25,0.9691
2017-12-31,92975954,92975954,1,4192104000,581241000,3405256000,719174000,786848000,0,0,2382443000,2563441000,787296000,104421000,92049000,0.97,0.97,0.95,1821000,-19925000,17985000,-119000,7197000,19925000,45.23,46.85,43.61,0.1447,0.0423,8.46,5.37,36.18,58.53,2.7644,3.2579,0.1877,0.0497,0.62,-0.19,0.8082
2017-09-30,92963052,92963052,1,4059261000,413774000,3276190000,581532000,783071000,0,0,2392050000,2563832000,445173000,-18231000,-12690000,-0.14,-0.14,0.95,68294000,-19999000,-45689000,2606000,7316000,19999000,44.25,46.5,42,0.1237,0.0392,8.42,4.56,39.86,57.58,3.029,3.2741,0.1929,0.0473,0.59,0.52,0.7115
2017-06-30,92958586,92958586,1,4037974000,361086000,3135217000,430477000,902757000,0,0,2401784000,2567994000,467496000,-46752000,-57614000,-0.62,-0.62,0.95,86300000,-42342000,-133783000,-89825000,4710000,12775000,45.22,47.92,42.52,0.104,0.0226,9.71,4,35.61,56.63,3.3632,2.8446,0.2236,0.0431,0.58,0.79,0.8388
2017-03-31,92958063,92958063,1,4228259000,555884000,3176924000,491727000,1051335000,0,0,2376852000,2562376000,863660000,135088000,105707000,1.14,1.14,0.94,169145000,-28323000,-55540000,85282000,94535000,21901000,47.13,50,44.25,0.1101,0.0254,11.31,4.32,25.2,55.68,2.9437,2.4373,0.2486,0.0496,0.56,1.58,1.1305
2016-12-31,92956163,92956163,1,4199780000,505575000,3185669000,542400000,1014111000,0,0,2381334000,2519950000,677166000,91954000,80602000,0.87,0.87,0.94,33043000,-24389000,-15228000,-6574000,9253000,23554000,45.87,48.24,43.5,0.1521,0.0518,10.91,4.18,25.92,54.74,1.9863,2.4849,0.2415,0.0742,0.56,0.1,0.9321
2016-09-30,92926819,92926819,1,4057770000,344448000,3038561000,588455000,1019209000,0,0,2390300000,2325334000,393548000,-86828000,-25056000,-0.28,-0.28,0.92,60541000,-24697000,-327674000,-291830000,15827000,23815000,47,50.11,43.88,0.1389,0.0491,10.97,3.62,17.74,53.8,2.0842,2.2815,0.2512,0.0714,0.55,0.4,0.5853
