"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,84192913,84192913,1,5389700000,2377200000,4327200000,2278500000,1062500000,0,0,136300000,1503300000,1795700000,143400000,143400000,1.7,1.69,0.58,203400000,-45600000,-134200000,21600000,247300000,37900000,108,117,99,0.2397,0.0461,12.62,9.19,52.68,32.36,0.7466,1.4149,0.1971,0.0344,1.34,1.97,1.0433
2019-03-30,84415853,84415853,1,5353700000,2323700000,4361800000,2040500000,991900000,0,0,140600000,1759900000,1740100000,-146900000,-146900000,-1.74,-1.74,0.52,35400000,-42000000,-700000,-6300000,225700000,34500000,100.34,113.78,86.9,0.1945,0.0374,11.75,8.82,19.33,31.78,0.912,1.7743,0.1853,0.0274,1.36,0.01,1.1388
2018-12-29,83980757,83980757,1,5177500000,2298000000,4222400000,1994000000,955100000,0,0,144000000,1771600000,1768700000,97100000,97100000,1.11,1.03,0.52,270200000,-105100000,-150200000,14400000,232000000,94000000,96.47,110.05,82.89,0.4545,0.0899,11.37,7.99,27.8,31.26,0.3719,1.8549,0.1845,0.0653,1.38,2.1,1.1525
2018-09-29,86710248,86710248,1,5181900000,2358800000,4134800000,2358200000,1047100000,0,0,1101700000,1295300000,1759700000,149500000,149500000,1.71,1.69,0.52,-21800000,-45300000,73900000,1800000,217600000,53100000,108.06,116.35,99.76,0.2956,0.0599,12.08,9.24,36.26,30.74,0.5463,1.237,0.2021,0.0436,1.37,-0.86,1.0003
2018-06-30,87418042,87418042,1,5163100000,2328100000,4141200000,2109200000,1021900000,0,0,1109700000,1289700000,1854200000,95600000,95600000,1.09,1.07,0.52,193500000,-46300000,-110000000,28300000,215800000,41500000,105.59,111.52,99.66,0.2511,0.0517,11.69,8.53,32.49,30.22,0.6095,1.2621,0.1979,0.0383,1.35,1.74,1.1038
2018-03-31,88030887,88030887,1,5280500000,2332300000,4190800000,2081400000,1089700000,0,0,1172300000,1342700000,1776400000,125200000,125200000,1.42,1.4,0.45,16000000,-35800000,-21800000,-36900000,187500000,28700000,113.11,123.67,102.55,0.2717,0.0567,12.38,9.51,36.49,29.7,0.5379,1.2322,0.2064,0.0432,1.31,-0.14,1.1205
2017-12-30,87927816,87927816,1,5136900000,2237900000,4090700000,1971800000,1046200000,0,0,1151400000,1316300000,1735300000,-59600000,-59600000,-0.69,-0.69,0.45,257500000,-101600000,-164700000,-7900000,224400000,76100000,108.03,117.92,98.15,0.2643,0.0556,11.9,8.38,24.06,29.25,0.551,1.2582,0.2037,0.0426,1.31,2.06,1.135
2017-09-30,88036368,88036368,1,5270000000,2283300000,4135100000,2023300000,1134900000,0,0,1147200000,1298400000,1679500000,108300000,108300000,1.23,1.2,0.45,214300000,-59900000,-135800000,22900000,232300000,42100000,94.28,100.1,88.46,0.3893,0.0826,12.89,7.79,22.08,28.8,0.3764,1.1441,0.2154,0.0627,1.32,1.96,1.1285
2017-07-01,88388128,88388128,1,5091800000,2209800000,4022000000,1972400000,1069800000,0,0,1118500000,1276300000,1626900000,120900000,120900000,1.37,1.34,0.45,163000000,-274200000,21900000,-85500000,209400000,36000000,84.32,89.51,79.13,0.3792,0.0815,12.1,7.36,22.13,28.35,0.387,1.193,0.2101,0.0614,1.33,1.44,1.1204
2017-04-01,88557576,88557576,1,4765900000,2184600000,3751300000,1759300000,1014600000,0,0,909800000,1250200000,1572100000,112200000,112200000,1.27,1.25,0.41,15300000,-112000000,194700000,99800000,294900000,30300000,75.82,82.11,69.53,0.3486,0.076,11.46,7.22,21.42,27.9,0.4234,1.2322,0.2129,0.0556,1.37,-0.17,1.2417
