"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-31,39899076,39899076,1,3121100000,1379300000,1236200000,631000000,1884900000,0,0,1437200000,0,947600000,88400000,88400000,2.23,2.22,0.13,123700000,-14900000,-5600000,103200000,333700000,39800000,131.79,147.44,116.14,0.1915,0.1131,47.24,2.92,16.15,9.43,0.0607,0,0.6039,0.0902,1.25,2.1,2.1859
2019-02-28,39907302,39907302,1,2991800000,1232600000,1190000000,584400000,1801800000,0,0,1450900000,0,854400000,66300000,66300000,1.68,1.67,0.13,56500000,-10700000,-29300000,16500000,232000000,-14000000,119.19,134.91,103.48,0.1905,0.1102,45.15,2.72,13.51,9.3,0.0637,0,0.6022,0.0863,1.28,1.77,2.1092
2018-11-30,39892387,39892387,1,3015300000,1251800000,1264400000,652000000,1750900000,0,0,1456400000,356300000,932600000,79600000,79600000,1.99,1.98,0.13,131800000,-11300000,-34100000,85700000,214800000,14000000,144.58,173.01,116.15,0.2134,0.123,43.89,3.38,16.93,9.17,0.0586,0.2035,0.5807,0.0949,1.3,2.95,1.9199
2018-08-31,40182832,40182832,1,2988800000,1211100000,1272000000,682700000,1716800000,0,0,1469300000,356400000,1061200000,108200000,108200000,2.68,2.71,0.13,52500000,-10000000,-7400000,34800000,129100000,11400000,134.58,155.25,113.91,0.2094,0.1207,42.72,3.38,16.86,9.04,0.0608,0.2076,0.5744,0.095,1.27,1.02,1.774
2018-05-31,40181023,40181023,1,2882400000,1105800000,1282000000,672100000,1600400000,0,0,1475100000,356400000,944000000,73000000,73000000,1.81,1.8,0.13,122400000,-148400000,-108600000,-135500000,94300000,11300000,132.25,154.52,109.98,0.2003,0.1155,39.83,3.31,16.37,8.91,0.0648,0.2227,0.5552,0.0928,1.24,2.76,1.6453
2018-02-28,40999421,40999421,1,2750500000,1093400000,1114700000,509600000,1635800000,0,0,1359400000,356500000,832100000,96900000,96900000,2.34,2.33,0.13,38500000,-37000000,-199900000,-198800000,229800000,10600000,164.38,186.99,141.77,0.2079,0.1203,39.9,4.02,22.58,8.78,0.0638,0.2179,0.5947,0.0968,1.24,0.68,2.1456
2017-11-30,42158288,42158288,1,2961400000,1323800000,1235300000,594900000,1726100000,0,0,1336400000,356500000,842800000,71500000,71500000,1.71,1.7,0.13,139800000,-10300000,-10800000,117500000,428600000,10300000,167.96,182.64,153.28,0.1851,0.1075,40.94,4.24,22.58,8.65,0.0711,0.2065,0.5829,0.0891,1.21,3.07,2.2252
2017-08-31,42080827,42080827,1,2899600000,1245600000,1234000000,600900000,1665600000,0,0,1349700000,356500000,957600000,90500000,90500000,2.15,2.15,0.13,136900000,-12100000,-5600000,121400000,311100000,12100000,185.53,208.83,162.22,0.191,0.111,39.58,5.09,25.88,8.52,0.0697,0.214,0.5744,0.0918,1.21,2.97,2.0729
2017-05-31,42093298,42093298,1,2730500000,1094100000,1195300000,544300000,1535200000,0,0,1335800000,356300000,891600000,82200000,82200000,1.91,1.9,0.13,107700000,-19300000,-363300000,-273500000,189700000,19300000,186.13,214.94,157.33,0.1866,0.1079,36.47,4.55,26.74,8.39,0.0722,0.2321,0.5622,0.0904,1.19,2.1,2.0101
2017-02-28,44092486,44092486,1,2999100000,1363900000,1194300000,546800000,1804800000,0,0,1339700000,355800000,804700000,67300000,67300000,1.54,1.53,0.13,32900000,-16300000,-5100000,12000000,463200000,16300000,224.25,255.45,193.06,0.1803,0.1046,40.93,5.71,32.41,8.26,0.0749,0.1971,0.6018,0.0891,1.17,0.38,2.4943
