"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,267043142,267043142,1,14550000000,8014000000,11196000000,7171000000,3354000000,0,0,933000000,1193000000,9142000000,265000000,265000000,0.99,0.98,0.5,2000000,-192000000,-226000000,-417000000,1767000000,193000000,66.99,75.91,58.07,0.4732,0.1117,12.56,5.43,12.76,12.67,0.3279,0.3557,0.2305,0.0354,3.15,-0.72,1.1176
2019-02-02,267804388,267804388,1,12901000000,8870000000,9595000000,7513000000,3306000000,0,0,933000000,1332000000,14801000000,735000000,735000000,2.72,2.68,0.45,1301000000,-66000000,-492000000,745000000,2184000000,200000000,60.66,73.59,47.72,0.4531,0.1127,12.34,5.42,15.96,12.17,0.3353,0.4029,0.2563,0.0341,3.3,4.11,1.1806
2018-11-03,269101569,269101569,1,15000000000,10901000000,11988000000,9933000000,3012000000,0,0,939000000,1280000000,9590000000,277000000,277000000,1.01,0.99,0.45,-1000000,-626000000,-2000000,-629000000,1439000000,244000000,75.22,84.37,66.08,0.3305,0.0839,11.19,6.48,20.95,11.72,0.4268,0.425,0.2008,0.0252,3.33,-0.91,1.0975
2018-08-04,274557555,274557555,1,11993000000,8771000000,8807000000,7229000000,3186000000,0,0,443000000,801000000,9379000000,244000000,244000000,0.88,0.86,0.45,904000000,127000000,-1008000000,19000000,2068000000,194000000,73.72,79.9,67.55,0.2937,0.0813,11.6,6.02,21.68,11.27,0.4216,0.2514,0.2657,0.0244,3.33,2.59,1.2133
2018-05-05,279391918,279391918,1,12082000000,8930000000,8662000000,7055000000,3420000000,0,0,425000000,792000000,9109000000,208000000,208000000,0.74,0.72,0.45,204000000,1073000000,-516000000,749000000,2049000000,181000000,71.63,78.22,65.05,0.2627,0.0765,12.24,5.6,21.84,10.82,0.4147,0.2316,0.2831,0.0239,3.2,0.08,1.2658
2018-02-03,282713593,282713593,1,13049000000,9829000000,9437000000,7817000000,3612000000,0,0,443000000,811000000,15363000000,364000000,364000000,1.25,1.23,0.34,938000000,14000000,-962000000,0,1300000000,199000000,65.75,78.59,52.92,0.2408,0.0738,12.78,4.63,16.65,10.37,0.4009,0.2245,0.2768,0.0237,3.11,2.61,1.2574
2017-10-28,292326497,292326497,1,14785000000,11405000000,10633000000,9152000000,4152000000,0,0,425000000,784000000,9320000000,239000000,239000000,0.8,0.78,0.34,511000000,-308000000,-461000000,-261000000,1300000000,193000000,57.47,63.32,51.61,0.2808,0.0903,14.2,3.96,15.2,10.03,0.3148,0.1888,0.2808,0.0309,2.93,1.09,1.2462
2017-07-29,299184572,299184572,1,13444000000,10078000000,9097000000,7105000000,4347000000,0,0,425000000,1310000000,8940000000,209000000,209000000,0.69,0.67,0.34,449000000,-285000000,-461000000,-273000000,1561000000,141000000,56.12,61.95,50.29,0.269,0.0875,14.53,3.8,15.09,9.69,0.3171,0.3014,0.3233,0.03,2.91,1.03,1.4184
2017-04-29,304962371,304962371,1,12955000000,9656000000,8456000000,6470000000,4499000000,0,0,425000000,1302000000,8528000000,188000000,188000000,0.61,0.6,0.34,243000000,-423000000,-413000000,-599000000,1834000000,153000000,47.17,52.67,41.67,0.2669,0.0869,14.75,3.1,12.35,9.35,0.3091,0.2894,0.3473,0.0301,2.89,0.3,1.4924
2017-01-28,309110840,309110840,1,13856000000,10516000000,9147000000,7122000000,4709000000,0,0,425000000,1321000000,13482000000,607000000,607000000,1.94,1.9,0.28,1150000000,-31000000,-217000000,899000000,2240000000,81000000,43.25,49.4,37.1,0.2773,0.09,15.23,3.18,13.03,9.01,0.4062,0.2805,0.3399,0.0312,2.89,3.46,1.4766
2016-10-29,313826197,313826197,1,14542000000,11021000000,10281000000,8166000000,4261000000,0,0,443000000,1324000000,8945000000,194000000,194000000,0.61,0.61,0.28,107000000,-361000000,-254000000,-520000000,1341000000,169000000,36.3,40.58,32.02,0.2531,0.0812,13.58,2.67,11.82,8.73,0.4424,0.3107,0.293,0.0278,2.92,-0.2,1.3496
2016-07-30,317274411,317274411,1,13254000000,9694000000,8935000000,6800000000,4319000000,0,0,443000000,1341000000,8533000000,198000000,198000000,0.62,0.61,0.28,805000000,-453000000,-321000000,16000000,1861000000,140000000,31.2,33.63,28.76,0.232,0.0752,13.61,2.28,10.68,8.45,0.4633,0.3105,0.3259,0.0262,2.87,2.1,1.4256
2016-04-30,322752742,322752742,1,12901000000,9282000000,8475000000,6334000000,4426000000,0,0,443000000,1334000000,8443000000,229000000,229000000,0.71,0.7,0.73,483000000,-42000000,-612000000,-131000000,1845000000,136000000,30.53,34.95,26.1,0.2206,0.0723,13.71,2.25,11.83,8.17,0.4695,0.3014,0.3431,0.0253,2.86,1.08,1.4654
2016-01-30,323347681,323347681,1,13519000000,9886000000,9141000000,6925000000,4378000000,0,0,425000000,1339000000,13623000000,479000000,479000000,1.41,1.4,0.23,859000000,199000000,-754000000,279000000,1976000000,156000000,30.91,36.51,25.31,0.1938,0.0641,13.54,2.28,11.71,7.44,0.5502,0.3058,0.3238,0.0227,2.82,2.17,1.4276
2015-10-31,342719728,342719728,1,15175000000,11735000000,10525000000,8395000000,4650000000,0,0,443000000,1256000000,8819000000,125000000,125000000,0.36,0.36,0.23,155000000,-140000000,-121000000,-103000000,1697000000,200000000,33.71,39.1,28.32,0.1959,0.0649,13.57,2.51,13.07,7.21,0.5187,0.2701,0.3064,0.0241,2.7,-0.13,1.3979
2015-08-01,344571727,344571727,1,13566000000,10245000000,8944000000,6838000000,4622000000,0,0,443000000,1227000000,8528000000,164000000,164000000,0.47,0.46,0.23,318000000,-264000000,-402000000,-373000000,1800000000,169000000,34.43,37.18,31.68,0.1929,0.063,13.41,2.49,13.56,6.98,0.5156,0.2655,0.3407,0.0233,2.71,0.43,1.4982
2015-05-02,352771360,352771360,1,13719000000,10396000000,8851000000,6721000000,4868000000,0,0,443000000,1224000000,8558000000,129000000,129000000,0.37,0.36,0.74,-10000000,-214000000,-238000000,-453000000,2173000000,124000000,38.06,42,34.13,0.1901,0.061,13.8,2.68,10.91,6.75,0.5039,0.2514,0.3548,0.0226,2.7,-0.38,1.5468
2015-01-31,352185626,352185626,1,15256000000,11729000000,10256000000,7777000000,4995000000,5000000,0,425000000,1580000000,13028000000,519000000,519000000,1.48,1.46,0.19,1161000000,-370000000,-48000000,697000000,2626000000,136000000,36.6,40.03,33.17,0.2664,0.0832,14.18,2.81,12.84,6.01,0.2046,0.3163,0.3274,0.0306,2.72,2.91,1.5082
2014-11-01,350759999,350759999,1,15762000000,12063000000,11189000000,8626000000,4569000000,4000000,0,524000000,1591000000,9380000000,107000000,107000000,0.3,0.3,0.19,287000000,-435000000,-61000000,-212000000,1929000000,167000000,32.16,35.53,28.8,0.2301,0.0694,13.03,2.48,11.87,5.82,0.2427,0.3482,0.2899,0.0242,2.87,0.34,1.3984
2014-08-02,349615898,349615898,1,14349000000,10611000000,9819000000,7251000000,4526000000,4000000,0,525000000,1592000000,8896000000,146000000,146000000,0.42,0.42,0.17,179000000,-545000000,-61000000,-428000000,2141000000,147000000,28.41,32.24,24.57,0.2288,0.0665,12.95,2.24,9.28,5.63,0.248,0.3517,0.3154,0.0229,2.91,0.09,1.4634
2014-05-03,348803518,348803518,1,13911000000,10118000000,9487000000,6880000000,4421000000,3000000,0,525000000,1604000000,9035000000,461000000,461000000,1.33,1.31,0.17,308000000,-362000000,-53000000,-109000000,2569000000,111000000,25.25,28.2,22.3,0.2727,0.0763,12.67,2.2,16.72,5.46,0.219,0.3628,0.3178,0.0255,2.99,0.56,1.4706
