"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-09-30,72892372,72892372,1,5572500000,2586100000,3554600000,1500000000,2017900000,0,0,2213500000,1143500000,989800000,94100000,93600000,1.28,1.25,0,209800000,-34000000,-16100000,170500000,1300500000,26000000,320.42,324.58,316.26,0.315,0.1064,27.68,12.56,42.11,13.67,0.1018,0.5667,0.3621,0.1467,0.72,2.52,1.7241
2017-06-30,72671541,72671541,1,5353800000,2391900000,3499300000,1514400000,1854500000,0,0,2237200000,1143300000,979700000,139700000,139000000,1.9,1.86,0.26,176400000,-36700000,-89400000,60200000,1130000000,42100000,282.18,316.95,247.41,0.3299,0.1082,25.52,12.22,35.9,13.67,0.1349,0.6165,0.3464,0.1492,0.72,1.85,1.5794
2017-03-31,72417180,72417180,1,5244600000,2300800000,3572800000,1559700000,1671800000,0,0,1923600000,1143000000,938800000,178100000,177200000,2.42,2.37,0.26,140600000,-28300000,-150800000,-36700000,1069800000,22900000,238.28,252.25,224.31,0.3526,0.1124,23.09,10.24,33.89,13.41,0.1283,0.6837,0.3188,0.1562,0.72,1.63,1.4752
2016-12-31,72030026,72030026,1,5306100000,2316400000,3631000000,1108900000,1675100000,0,0,1946900000,1641700000,967100000,159600000,158800000,2.15,2.11,0.28,202400000,-82800000,-191700000,-91400000,905000000,35700000,215.8,227.97,203.63,0.3262,0.101,23.26,9.21,32.31,13.15,0.1409,0.9801,0.3157,0.1424,0.71,2.31,2.0889
2016-09-30,73526324,73526324,1,5310700000,2302400000,3588600000,875100000,1722100000,0,0,1980900000,1641200000,941900000,96400000,96000000,1.3,1.27,0.26,188100000,39900000,-20500000,198600000,996400000,26200000,225.86,239.43,212.29,0.3234,0.0982,23.42,10.19,53.14,12.87,0.1801,0.953,0.3243,0.14,0.7,2.2,2.631
2016-06-30,73454615,73454615,1,5258200000,2185200000,3630400000,926400000,1627800000,0,0,2007100000,1640500000,931500000,159200000,158400000,2.14,2.11,0.24,88900000,-27300000,-40200000,32800000,797800000,17900000,218.36,235.16,201.55,0.2156,0.064,22.16,10.97,155.97,12.61,0.2222,1.0078,0.3096,0.0916,0.7,0.97,2.3588
2016-03-31,73318689,73318689,1,5176900000,2074900000,3717000000,1393600000,1459900000,0,0,1992400000,1144500000,873500000,116200000,115600000,1.56,1.54,0.24,67200000,-353700000,102600000,-185500000,765000000,20500000,188,203.8,172.21,0.0736,0.0223,19.91,9.52,111.9,12.37,0.6354,0.784,0.282,0.0321,0.69,0.64,1.4889
2015-12-31,73734800,73734800,1,4942900000,2093200000,3487600000,1261800000,1455300000,0,0,2159700000,1147800000,870800000,136300000,136500000,1.85,1.76,0.5,116800000,-42700000,-109900000,-51200000,950500000,23600000,187.06,196.98,177.13,0.0842,0.0272,19.74,9.35,114.76,12.13,0.5208,0.7887,0.2944,0.0391,0.69,1.26,1.6589
2015-09-30,73886090,73886090,1,4972400000,2106100000,3494200000,1299500000,1478200000,0,0,2151300000,1147700000,865700000,-86000000,-86000000,-1.16,-1.16,0,173900000,-142400000,-122600000,-96700000,1001700000,21700000,185.78,202.47,169.09,0.0784,0.0265,20.01,8.31,41.47,11.63,0.3794,0.7764,0.2973,0.0384,0.68,2.06,1.6207
2015-06-30,74199143,74199143,1,4967500000,2173100000,3309100000,1110000000,1658400000,0,0,2071500000,1147500000,859800000,-54700000,-54700000,-0.74,-0.74,0.22,393400000,-23000000,-272500000,94200000,1098400000,28400000,172.38,180.94,163.81,0.1966,0.0693,22.35,7.32,47.49,11.63,0.1913,0.6919,0.3339,0.1025,0.67,4.92,1.9577
2015-03-31,74245736,74245736,1,5056700000,2036800000,3307900000,903000000,1748800000,0,0,2103400000,1147400000,819700000,139800000,137700000,1.85,1.82,0.22,114000000,-3300000,-49100000,44100000,1004200000,29200000,171.72,180.35,163.08,0.1594,0.0561,23.55,7.07,46.79,11.41,0.2329,0.6561,0.3458,0.0842,0.66,1.14,2.2556
