"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,85724337,85724337,1,4040800000,2011400000,2503500000,1015700000,1537300000,0,0,599400000,1240100000,1163500000,77500000,77500000,0.89,0.89,0.21,218700000,374000000,-96700000,497100000,667700000,47100000,47.89,54.76,41.02,0.0997,0.0367,17.93,2.73,27.06,11.21,0.4595,0.8067,0.3804,0.0307,1.2,2,1.9803
2019-03-30,87076644,87076644,1,4329800000,1937800000,2802900000,1205700000,1526900000,0,0,1270800000,1245600000,1275900000,-36300000,-36300000,-0.42,-0.42,0.21,-79400000,-91900000,38200000,-132800000,170600000,88100000,50.12,55.35,44.89,0.1012,0.0384,17.54,2.76,16.65,11,0.4454,0.8158,0.3526,0.0296,1.3,-1.92,1.6072
2018-12-31,87028425,87028425,1,4285700000,1880200000,2703100000,1256500000,1582600000,0,0,1413500000,1179500000,1304900000,43400000,43400000,0.5,0.49,0.21,103000000,-76600000,-33500000,-8500000,303400000,68400000,54.92,67.92,41.92,0.1733,0.0693,18.18,3.06,45.77,10.79,0.2555,0.7453,0.3693,0.0514,1.35,0.4,1.4964
2018-09-29,86740007,86740007,1,4210900000,1866200000,2652800000,1484600000,1558100000,0,0,1438700000,891000000,1298000000,70000000,70000000,0.8,0.8,0.19,33100000,-934600000,768200000,-133400000,311900000,28200000,65.8,69.82,61.78,0.0697,0.0292,17.96,3.8,51.41,10.58,0.63,0.5719,0.37,0.0223,1.31,0.06,1.257
2018-06-30,86722762,86722762,1,3421000000,1886600000,1920000000,1110800000,1501000000,0,0,568100000,429000000,1400900000,79000000,79000000,0.9,0.9,0.19,268000000,-54100000,-54200000,151900000,445300000,55700000,62.84,69.27,56.41,0.0756,0.0336,17.31,3.7,36.96,10.39,0.5627,0.2858,0.4388,0.025,1.34,2.45,1.6984
2018-03-31,87164846,87164846,1,3404600000,1862700000,1923800000,1076400000,1480800000,0,0,571600000,428900000,1155400000,72900000,72900000,0.83,0.82,0.19,-67100000,-42000000,-60000000,-164800000,293400000,34400000,59.9,64.45,55.35,0.1016,0.0456,16.99,3.54,37.67,10.2,0.4035,0.2896,0.4349,0.0343,1.33,-1.16,1.7305
2017-12-31,87557279,87557279,1,3358200000,1846700000,1875300000,1035100000,1482900000,0,0,569700000,431800000,856200000,-116900000,-116900000,-1.32,-1.32,0.19,145500000,-57000000,-30000000,56400000,458200000,35600000,54.14,60.25,48.04,0.0964,0.0437,16.94,3.02,17.46,10.01,0.4131,0.2912,0.4416,0.0325,1.34,1.26,1.7841
2017-09-30,87689887,87689887,1,3399200000,1776700000,1829100000,980100000,1570100000,0,0,591800000,437600000,1141500000,79000000,79000000,0.89,0.88,0.165,83300000,-58300000,-75600000,-46100000,401800000,45300000,56.25,63.79,48.72,0.1864,0.0842,17.91,3.22,17.86,9.82,0.2102,0.2787,0.4619,0.0593,1.42,0.43,1.8128
2017-07-01,88719780,88719780,1,3383700000,1777800000,1835900000,985800000,1547800000,0,0,579300000,438200000,1352000000,119400000,119400000,1.33,1.32,0.165,258100000,-41300000,-54900000,163400000,447900000,46900000,58.99,63.82,54.16,0.195,0.0872,17.45,3.58,19.66,9.66,0.202,0.2831,0.4574,0.0613,1.42,2.38,1.8034
2017-04-01,89306657,89306657,1,3273900000,1671000000,1800300000,956500000,1473600000,0,0,579300000,435400000,1160300000,64900000,64900000,0.72,0.71,0.165,-86600000,-22300000,-43200000,-149100000,284500000,53200000,57.84,61.74,53.95,0.1925,0.0847,16.5,3.59,19.34,9.49,0.2062,0.2955,0.4501,0.0603,1.4,-1.57,1.747
