"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,39007867,39007867,1,3045645000,1069092000,2397314000,855469000,648331000,0,0,0,940800000,1295796000,15540000,15540000,0.39,0.39,0.3,57435000,-76766000,36869000,17538000,63572000,76754000,34.79,39.53,30.05,0.2224,0.0625,16.62,2.02,9.06,4.61,0.3383,1.4511,0.2129,0.0268,2.33,-0.5,1.2497
2019-02-02,40142960,40142960,1,2023347000,1128003000,1330306000,638560000,693041000,0,0,0,374100000,1598551000,108047000,108047000,2.69,2.67,0.3,193640000,-95440000,-114104000,-15904000,46034000,82604000,35.67,45.13,26.21,0.2432,0.0814,17.26,2.41,9.8,4.31,0.307,0.5398,0.3425,0.03,2.72,2.77,1.7665
2018-11-03,40048581,40048581,1,2133016000,1277247000,1540284000,745574000,592732000,0,0,0,488000000,1149402000,-6556000,-6556000,-0.16,-0.16,0.3,-70140000,-109607000,183228000,3481000,61938000,76174000,44.84,50.35,39.33,0.2404,0.0837,14.8,2.96,11.5,4.01,0.3037,0.8233,0.2779,0.0291,2.88,-3.65,1.7131
2018-08-04,40033165,40033165,1,1828730000,1053042000,1223005000,622485000,605725000,0,0,0,422913000,1222169000,24164000,24164000,0.59,0.59,0.3,13675000,-105989000,85941000,-6373000,58457000,57902000,41.17,46.15,36.2,0.2602,0.0933,15.13,2.41,10.34,3.71,0.2744,0.6982,0.3312,0.0314,2.97,-1.1,1.6917
2018-05-05,40341282,40341282,1,1726986000,1052171000,1037874000,636312000,689112000,0,0,0,348000000,1267983000,31239000,31239000,0.74,0.74,0.3,96885000,-65437000,-17794000,13654000,64830000,30953000,50.08,59.11,41.04,0.2703,0.0995,17.08,3.16,11.41,3.41,0.2581,0.505,0.399,0.0323,3.08,1.63,1.6535
2018-02-03,42182744,42182744,1,1651726000,1021973000,982139000,589608000,669587000,0,0,0,199800000,1642068000,104828000,104828000,2.5,2.47,0.25,221296000,-63215000,-164917000,-6836000,51176000,47608000,57.55,64.42,50.67,0.3069,0.1135,15.87,4.28,14.68,3.11,0.225,0.2984,0.4054,0.036,3.15,4.12,1.7333
2017-10-28,42032765,42032765,1,1846109000,1214990000,1280445000,731776000,565664000,0,0,0,371900000,1110824000,4372000,4372000,0.1,0.1,0.25,-70890000,-41602000,114495000,2003000,58012000,41599000,50.56,54.18,46.95,0.2853,0.1054,13.46,3.67,13.13,2.86,0.2375,0.6575,0.3064,0.0336,3.14,-2.68,1.6603
2017-07-29,42452285,42452285,1,1591464000,974393000,1006526000,600194000,584938000,0,0,0,226600000,1221301000,29120000,29120000,0.68,0.67,0.25,14508000,-29681000,5451000,-9722000,56009000,29674000,48.44,51.77,45.1,0.2827,0.1036,13.78,3.28,13.16,2.61,0.2349,0.3874,0.3675,0.0331,3.13,-0.36,1.6235
2017-04-29,44212485,44212485,1,1599715000,990135000,945810000,652311000,653905000,0,0,0,231400000,1296787000,51512000,51512000,1.16,1.15,0.25,85454000,-22010000,-48877000,14567000,65731000,22010000,50.97,55.1,46.84,0.2769,0.0992,14.79,3.51,15.35,2.36,0.2364,0.3539,0.4088,0.032,3.1,1.43,1.5179
2017-01-28,44786322,44786322,1,1607707000,994379000,957077000,678595000,650630000,0,0,0,212800000,1579211000,90078000,90078000,2.03,2,0.21,268389000,-12859000,-264109000,-8579000,51164000,12616000,49.56,56.54,42.58,0.2591,0.0914,14.53,4.05,15.39,2.11,0.2449,0.3271,0.4047,0.0294,3.11,5.71,1.4653
2016-10-29,44559880,44559880,1,1847243000,1208331000,1302168000,766584000,545075000,0,0,0,362900000,1105498000,1376000,1376000,0.03,0.03,0.21,-67964000,-26812000,96150000,1374000,59743000,26858000,49.35,56.3,42.4,0.259,0.0936,12.23,4.04,15.62,1.9,0.2382,0.6658,0.2951,0.0302,3.1,-2.13,1.5763
2016-07-30,44517342,44517342,1,1624660000,977043000,1081162000,645755000,543498000,0,0,0,257900000,1203155000,22715000,22715000,0.51,0.5,0.21,32889000,-26278000,-12632000,-6021000,58369000,26422000,47.78,53.95,41.61,0.2449,0.0913,12.21,3.42,15.93,1.69,0.243,0.4745,0.3345,0.0296,3.09,0.15,1.513
2016-04-30,44373821,44373821,1,1606621000,956165000,986547000,654801000,620074000,0,0,0,153800000,1312575000,38659000,38659000,0.8,0.79,0.21,78611000,-18752000,-49613000,10246000,64390000,18825000,41.91,47.95,35.86,0.2281,0.0878,13.97,2.89,14.91,1.48,0.2518,0.248,0.3859,0.0286,3.07,1.35,1.4602
2016-01-30,49683394,49683394,1,1640370000,994432000,919900000,678448000,720470000,0,0,0,62300000,1583967000,94532000,94532000,1.92,1.9,0.19,290034000,-14895000,-282536000,-7397000,54144000,14968000,40.96,48.14,33.78,0.2047,0.0835,14.5,3.19,15.46,1.27,0.2669,0.0865,0.4392,0.0275,3.03,5.54,1.4657
2015-10-31,49552919,49552919,1,1889297000,1267278000,1252025000,728799000,637272000,0,0,0,334900000,1116474000,-1508000,-1508000,-0.03,-0.03,0.19,-64345000,-33996000,102519000,4178000,61541000,34372000,44.96,50.15,39.77,0.1996,0.0835,12.86,3.48,17.16,1.08,0.2652,0.5255,0.3373,0.0275,3.04,-1.99,1.7389
2015-08-01,49567150,49567150,1,1664363000,1028734000,1023831000,594854000,640532000,0,0,0,223200000,1209686000,17636000,17636000,0.35,0.34,0.19,29138000,-35550000,-3416000,-9828000,57363000,37329000,44.95,48.53,41.37,0.1918,0.0818,12.92,2.94,17.03,0.89,0.2665,0.3485,0.3849,0.0271,3.02,-0.17,1.7294
2015-05-02,51880776,51880776,1,1648812000,1021519000,854726000,612313000,794086000,0,0,0,40500000,1280455000,32213000,32213000,0.61,0.6,0.19,87525000,-28752000,-43843000,14930000,67191000,39320000,47.78,51.11,44.45,0.1835,0.0835,15.31,3.26,22.75,0.7,0.263,0.051,0.4816,0.0277,3.02,0.93,1.6683
2015-01-31,53932236,53932236,1,1635891000,1038429000,846341000,587829000,789550000,0,0,0,62100000,1593349000,94431000,94431000,1.78,1.74,0.17,256184000,-18841000,-247570000,-10227000,52261000,18901000,44.95,51.75,38.15,0.1445,0.0665,14.64,3.37,24.97,0.51,0.2431,0.0787,0.4826,0.0221,3.01,4.4,1.7665
2014-11-01,53452301,53452301,1,1933911000,1312722000,1220327000,756324000,713584000,0,0,0,283400000,1107095000,-3441000,-3441000,-0.06,-0.06,0.17,-94791000,-34300000,129546000,455000,62488000,36118000,44.88,48.52,41.23,0.1273,0.0598,13.35,3.06,26.56,0.34,0.1787,0.3972,0.369,0.0201,2.98,-2.45,1.7357
2014-08-02,56049375,56049375,1,1642392000,1036777000,819771000,590691000,822621000,0,0,0,56500000,1195363000,19938000,19938000,0.36,0.36,0.17,55003000,-22124000,-37888000,-5128000,62033000,22401000,41.58,46.39,36.76,0.1163,0.0547,14.68,2.76,25.35,0.17,0.0971,0.0687,0.5009,0.0187,2.92,0.58,1.7552
2014-05-03,55472827,55472827,1,1659062000,1049093000,822520000,590253000,836542000,0,0,0,53600000,1281271000,3348000,3348000,0.06,0.06,0,102166000,-15484000,-93408000,-1468000,67161000,16040000,32.87,40.24,25.5,0.1144,0.0525,15.08,2.12,15.36,0,0,0.0641,0.5042,0.0183,2.88,1.55,1.7774
2014-02-01,58152451,58152451,1,1739599000,1121061000,838172000,577447000,901427000,0,0,0,77000000,1612558000,84353000,84353000,1.47,1.44,0,269432000,-20887000,-246380000,903000,68629000,21080000,32.76,39.02,26.49,0.1506,0.0676,15.5,2.35,11.83,0,0,0.0854,0.5182,0.0236,2.86,4.27,1.9414
2013-11-02,58382022,58382022,1,2134746000,1465914000,1321451000,798144000,813295000,0,0,12944000,324000000,1152444000,-9517000,-9517000,-0.17,-0.17,0,-153116000,-26507000,183546000,3916000,67726000,32016000,34.77,37.98,31.56,0.2025,0.0868,13.93,2.48,12.24,0,0,0.3984,0.381,0.0296,2.93,-3.17,1.8367
2013-08-03,58288947,58288947,1,1801311000,1131362000,983691000,643476000,817620000,0,0,12991000,141700000,1225572000,18126000,18126000,0.32,0.31,0,21835000,-34278000,4802000,-7859000,63810000,34409000,35.2,39.22,31.17,0.2194,0.0896,14.03,2.58,12.18,0,0,0.1733,0.4539,0.0304,2.95,-0.22,1.7582
2013-05-04,58304832,58304832,1,1736763000,1074741000,940850000,607473000,795913000,0,0,13385000,137200000,1311338000,32333000,32333000,0.56,0.56,0,60183000,-15823000,-33164000,11088000,71669000,17281000,34.94,37.81,32.07,0.2346,0.0927,13.65,2.67,11.8,0,0,0.1724,0.4583,0.0311,2.98,0.74,1.7692
2013-02-02,57942982,57942982,1,1753626000,1090630000,995484000,629634000,758142000,0,0,13522000,171200000,1753396000,120287000,120287000,2.09,2.07,0,317038000,-30743000,-291992000,-5676000,60581000,30891000,29.67,32.66,26.69,0.2451,0.0981,13.08,2.71,11.24,0,0,0.2258,0.4323,0.0328,2.99,4.94,1.7322
2012-10-27,57894062,57894062,1,2064902000,1405511000,1432111000,791466000,632791000,0,0,13513000,463100000,1134205000,-5987000,-5987000,-0.1,-0.1,0,-124654000,-39341000,168913000,4578000,66257000,39661000,35.36,42.26,28.46,0.2322,0.0965,10.93,3.05,12.63,0,0,0.7318,0.3065,0.0323,2.99,-2.84,1.7758
2012-07-28,59564223,59564223,1,1725645000,1076776000,1035637000,622635000,690008000,0,0,13428000,242800000,1218037000,22075000,22075000,0.37,0.36,0,-36833000,-42284000,58453000,-20892000,61679000,42433000,37.46,41.42,33.5,0.2366,0.1037,11.58,2.95,12.74,0,0,0.3519,0.3999,0.0342,3.04,-1.33,1.7294
2012-04-28,63704306,63704306,1,1676805000,1044869000,867378000,696058000,809427000,0,0,15030000,0,1294481000,40746000,40746000,0.64,0.63,0,125582000,-17989000,-93648000,14024000,82571000,18288000,40.84,47.22,34.46,0.2442,0.1135,12.71,3.26,13.57,0,0,0,0.4827,0.0371,3.06,1.68,1.5011
2012-01-28,65754099,65754099,1,1641310000,1006656000,818077000,584820000,823233000,0,0,12282000,65900000,1669574000,114720000,114720000,1.79,1.75,0,298907000,-28797000,-261425000,8600000,68547000,28974000,38.73,41.81,35.65,0.2438,0.119,12.52,3.39,14.34,0,0,0.0801,0.5016,0.0398,2.99,4.11,1.7213
2011-10-29,65602976,65602976,1,1962921000,1311874000,1212716000,768703000,750205000,0,0,12423000,285100000,1138286000,4190000,4190000,0.06,0.06,0,-91061000,-54020000,147610000,2529000,59947000,54815000,33.9,38.91,28.89,0.23,0.1166,11.44,2.72,11.81,0,0,0.38,0.3822,0.0401,2.91,-2.22,1.7066
2011-07-30,65552291,65552291,1,1600418000,984011000,783871000,570799000,816547000,0,0,21507000,60400000,1167135000,35683000,35683000,0.51,0.5,0,-14920000,-18796000,-192350000,-226066000,57829000,28307000,36.13,41.42,30.83,0.2399,0.1278,12.46,2.7,12.68,0,0,0.074,0.5102,0.0434,2.94,-0.66,1.7239
2011-04-30,75171381,75171381,1,1757822000,1183102000,751006000,610854000,1006816000,0,0,0,0,1227274000,52471000,52471000,0.71,0.7,0,125545000,-19099000,-90000,106356000,283895000,19197000,38,44.44,31.57,0.2372,0.1299,13.39,3.02,13.43,0,0,0,0.5728,0.0443,2.93,1.41,1.9368
2011-01-29,75188531,75188531,1,1619599000,1051719000,672806000,541931000,946793000,0,0,0,0,1518943000,110055000,110055000,1.47,1.44,0,279041000,-23438000,-128844000,126759000,177539000,23693000,30.3,32.78,27.82,0.2448,0.1339,12.59,2.75,11.31,0,0,0,0.5846,0.0449,2.98,3.4,1.9407
2010-10-30,75468266,75468266,1,1781189000,1199843000,951281000,692035000,829908000,0,0,0,128500000,1055830000,17694000,17694000,0.23,0.23,0,-101456000,-40811000,22336000,-119931000,50780000,41252000,32.63,35.25,30.02,0.2361,0.1301,11,2.7,11.57,0,0,0.1548,0.4659,0.0445,2.92,-1.89,1.7338
2010-07-31,75553416,75553416,1,1589966000,1029364000,678294000,554315000,911672000,0,0,0,0,1142309000,38877000,38877000,0.49,0.48,0,29911000,-38876000,-81272000,-90237000,170711000,31134000,35.09,38.92,31.27,0.2463,0.1403,12.07,3.01,13.09,0,0,0,0.5734,0.0473,2.97,-0.02,1.857
2010-05-01,81163144,81163144,1,1658273000,1123649000,711349000,589567000,946924000,0,0,0,0,1235162000,55898000,55898000,0.69,0.68,0,107761000,-11427000,-119119000,-22785000,260948000,11484000,34.97,41.42,28.51,0.2393,0.1366,11.67,2.81,14.33,0,0,0,0.571,0.0456,2.99,1.19,1.9059
2010-01-30,80406304,80406304,1,1669493000,1122966000,668081000,542520000,1001412000,0,0,0,0,1463280000,105366000,105366000,1.3,1.29,0,252088000,-16797000,2535000,237826000,283733000,16833000,27.21,31.39,23.04,0.226,0.1288,12.45,2.55,12.83,0,0,0,0.5998,0.0424,3.04,2.93,2.0699
2009-10-31,82662327,82662327,1,1654502000,1091588000,771538000,635623000,882964000,0,0,0,0,1035269000,30329000,30329000,0.37,0.37,0,-31262000,-22483000,1377000,-52368000,45907000,23028000,25.32,28.18,22.47,0.2094,0.1161,10.68,2.47,13.33,0,0,0,0.5337,0.0375,3.09,-0.66,1.7174
2009-08-01,82625477,82625477,1,1462983000,898280000,615630000,467734000,847353000,0,0,0,0,1086567000,28443000,28443000,0.35,0.34,0,73327000,-25799000,-355000,47173000,98275000,25984000,23.99,28.5,19.49,0.1985,0.1035,10.26,2.43,12.76,0,0,0,0.5792,0.0337,3.07,0.57,1.9205
2009-05-02,82549151,82549151,1,1435899000,870554000,621523000,478270000,814376000,0,0,0,0,1141656000,36231000,36231000,0.45,0.44,0,97873000,-12858000,-68686000,16329000,51102000,12863000,20.49,28.36,12.62,0.2063,0.1025,9.87,2.18,11.02,0,0,0,0.5672,0.0331,3.1,1.03,1.8202
2009-01-31,82569473,82569473,1,1432458000,870871000,657613000,515095000,774845000,0,0,0,0,1366925000,78765000,78765000,0.98,0.97,0,216584000,-13091000,-207956000,-4463000,34773000,13161000,18.91,24.88,12.93,0.2167,0.1016,9.38,2.21,9.75,0,0,0,0.5409,0.0326,3.11,2.46,1.6907
2008-11-01,82116550,82116550,1,1683023000,1123316000,981616000,850172000,701407000,0,0,0,0,1021580000,12248000,12248000,0.15,0.15,0,-106120000,-22579000,124414000,-4285000,39236000,22726000,27.16,35.33,18.99,0.2477,0.1102,8.54,3.27,14.07,0,0,0,0.4168,0.0351,3.14,-1.57,1.3213
2008-08-02,82025708,82025708,1,1430508000,864909000,749029000,462877000,681479000,0,0,0,147700000,1105189000,26025000,26025000,0.32,0.32,0,41962000,-34426000,-7201000,335000,43521000,34570000,30.46,34.88,26.03,0.244,0.1108,8.31,3.89,16.64,0,0,0.2167,0.4764,0.0355,3.12,0.09,1.8686
2008-05-03,81629668,81629668,1,1422871000,873872000,782607000,476272000,640264000,0,0,0,165400000,1151589000,34509000,34509000,0.43,0.42,0,58637000,-18096000,-34486000,6055000,43186000,18278000,21.82,28.65,15,0.2218,0.1076,7.84,2.78,13.07,0,0,0.2583,0.45,0.0351,3.07,0.49,1.8348
