"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,154519867,154519867,1,20501604000,None,12331317000,None,5836618000,2333669000,200000000,0,2959908000,725767000,100730000,98105000,0.63,0.63,0.95,207234000,-223515000,-190612000,-206893000,432298000,195635000,122.08,136.22,107.94,0.0941,0.0251,36.48,4.72,32.99,73.59,1.1404,0.5251,0.2749,0.1777,0.14,0.08,None
2018-12-31,154509216,154509216,1,19955423000,None,12042509000,None,4200878000,3712036000,200000000,0,2995328000,705157000,151152000,148527000,0.97,0.96,1.1,379618000,-78809000,-85402000,215407000,639191000,13956000,120.28,132.73,107.84,0.1088,0.0293,25.89,3.27,35.27,72.64,0.9444,0.7487,0.2005,0.2106,0.14,2.37,None
2018-09-30,154440500,154440500,1,20137498000,None,11931524000,None,5876566000,2329408000,200000000,0,3137548000,686284000,121743000,119118000,0.77,0.77,0.8,209781000,-534266000,21209000,-303276000,423784000,205203000,126.72,132.82,120.62,0.1021,0.0273,36.76,3.44,37.27,71.54,0.9364,0.5527,0.2819,0.1978,0.14,0.03,None
2018-06-30,154419806,154419806,1,19961163000,None,11747921000,None,5892840000,2320402000,200000000,0,2972052000,664484000,131306000,128681000,0.83,0.83,0.8,335068000,-302013000,238876000,271931000,727060000,285381000,121.09,126.19,116,0.1021,0.0275,36.87,3.29,35.2,70.74,0.9247,0.5221,0.2852,0.1993,0.14,0.32,None
2018-03-31,154363964,154363964,1,19583939000,None,11399849000,None,5879028000,2305062000,200000000,0,3089930000,661151000,178646000,176021000,1.14,1.14,0.8,225778000,-183788000,-92230000,-50240000,455129000,134647000,120.98,130.39,111.57,0.1034,0.028,36.79,5.17,41.29,69.94,0.9012,0.5441,0.29,0.2018,0.14,0.59,None
2017-12-31,154339610,154339610,1,19053430000,None,11269777000,None,3807630000,3976023000,193623000,0,3066559000,655229000,106435000,103810000,0.67,0.67,0.8,314733000,-275387000,-97634000,-58288000,434767000,268790000,125.87,132,119.74,0.0885,0.0241,23.42,3.45,39.21,69.14,1.0407,0.8485,0.1897,0.1737,0.14,0.3,None
2017-09-30,154322266,154322266,1,19308518000,None,11208823000,None,5825218000,2274477000,200000000,0,2982067000,657712000,119962000,117337000,0.76,0.76,0.75,220434000,-82957000,-136857000,620000,493055000,273578000,120.93,125.09,116.77,0.0884,0.0265,36.45,3.32,40.99,68.34,0.9332,0.5301,0.2913,0.1918,0.14,-0.34,None
2017-06-30,154317716,154317716,1,19281762000,None,11208410000,None,5814374000,2258978000,200000000,0,2986283000,656907000,136334000,133709000,0.87,0.87,0.75,125748000,-276877000,340625000,189496000,492435000,256110000,128.44,137.35,119.54,0.0816,0.0245,36.38,3.54,47.39,67.59,0.9818,0.5319,0.2912,0.1783,0.13,-0.84,None
2017-03-31,153857334,153857334,1,18966627000,None,11044189000,None,5775533000,2146905000,200000000,0,2151959000,632228000,99708000,97083000,0.63,0.63,0.75,246530000,-262593000,-37912000,-53975000,302939000,248882000,133.06,140.13,125.99,0.0752,0.0227,36.24,3.66,40.82,66.84,1.0311,0.386,0.294,0.1659,0.13,-0.02,None
2016-12-31,153836251,153836251,1,18851643000,None,10919719000,None,5786295000,2145629000,200000000,0,2031615000,636061000,149892000,147188000,0.96,0.95,0.75,293089000,-224673000,-130825000,-62409000,356914000,271968000,124.58,135.47,113.69,0.0905,0.0271,36.31,3.47,38.93,66.09,0.8264,0.3637,0.2963,0.1969,0.13,0.14,None
2016-09-30,153773460,153773460,1,18789899000,None,10930646000,None,5725931000,2133322000,200000000,0,2077707000,625228000,79342000,76753000,0.5,0.5,0.65,159634000,-678792000,-241563000,-760721000,419323000,183201000,136.75,144.02,129.49,0.0892,0.0267,35.94,3.8,35.06,65.34,1.1999,0.376,0.2941,0.1942,0.13,-0.15,None
2016-06-30,153693464,153693464,1,18963965000,None,11065746000,None,5732897000,2165322000,200000000,0,3189013000,623546000,99186000,96597000,0.63,0.63,0.65,235171000,-316235000,-344570000,-425634000,1180044000,282177000,128.52,133.59,123.45,0.1079,0.0324,36,3.56,33.91,64.69,0.9852,0.5764,0.2918,0.236,0.13,-0.31,None
2016-03-31,153611330,153611330,1,19175830000,None,11246040000,None,5749783000,2180007000,200000000,0,3416622000,665985000,184365000,181747000,1.18,1.18,0.65,348980000,-109357000,642337000,881960000,1605678000,99192000,117.53,127.77,107.28,0.1046,0.0314,36.13,3.28,31.59,64.04,1.014,0.6156,0.2894,0.2297,0.13,1.63,None
2015-12-31,153592481,153592481,1,18379456000,None,10492529000,None,5709435000,2177492000,200000000,0,0,624240000,140528000,137882000,0.89,0.89,1.9,190533000,-679027000,-174795000,-663289000,723718000,-3832000,123.66,130.68,116.64,0.1026,0.0308,35.87,3.36,31.07,63.39,1.0325,0,0.2998,0.2299,0.13,1.27,None
2015-09-30,153576272,153576272,1,18980263000,None,10917504000,None,5851915000,2210844000,200000000,0,0,629884000,186729000,184082000,1.2,1.2,0.65,165802000,219636000,-341182000,44256000,1387007000,-25963000,111.03,127.15,94.91,0.1093,0.0321,36.8,3.05,30.76,61.49,1.7854,0,0.2978,0.2458,0.13,1.25,None
