"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,268597251,268597251,1,29574000000,9066000000,17849000000,9453000000,11402000000,323000000,0,13545000000,5470000000,5280000000,274000000,274000000,1.02,1,0.19,748000000,109000000,-480000000,424000000,2899000000,476000000,60.78,69.45,52.12,0.1108,0.0432,42.45,1.48,11.23,38.12,0.166,0.4797,0.3855,0.0606,0.71,1.01,0.9591
2018-12-31,268271187,268271187,1,28871000000,8522000000,17515000000,8522000000,11022000000,334000000,0,14363000000,5980000000,5178000000,462000000,462000000,1.68,1.66,0.19,150000000,44000000,-497000000,-305000000,2475000000,-265000000,71.92,94.65,49.19,0.13,0.0511,41.09,1.75,11.19,37.93,0.1354,0.5426,0.3818,0.0709,0.72,1.55,1
2018-09-30,280113621,280113621,1,28882000000,8815000000,17045000000,8514000000,11500000000,337000000,0,14019000000,5409000000,5013000000,262000000,262000000,0.93,0.92,0.19,412000000,200000000,-386000000,201000000,2780000000,183000000,88.21,96.75,79.67,0.1507,0.0592,41.05,2.16,13.8,37.74,0.1127,0.4703,0.3982,0.0815,0.73,0.82,1.0354
2018-06-30,281160730,281160730,1,29126000000,8816000000,17312000000,9314000000,11472000000,342000000,0,14350000000,4747000000,5282000000,259000000,259000000,0.91,0.9,0.19,473000000,-284000000,-300000000,-150000000,2579000000,201000000,91.48,105.02,77.95,0.1483,0.057,40.8,1.93,15.15,37.55,0.1121,0.4138,0.3939,0.0774,0.74,0.97,0.9465
2018-03-31,284792350,284792350,1,33921000000,9617000000,20084000000,9852000000,13487000000,350000000,0,17743000000,7060000000,6294000000,560000000,560000000,1.96,1.93,0.18,701000000,-246000000,-754000000,-278000000,2648000000,-396000000,99.73,107.85,91.61,0.1388,0.0531,47.36,2.22,23.09,37.36,0.1172,0.5235,0.3976,0.0713,0.74,3.85,0.9761
2017-12-31,285687865,285687865,1,33582000000,9521000000,20380000000,9638000000,12837000000,365000000,0,17247000000,6367000000,6186000000,776000000,776000000,2.72,2.68,0.18,999000000,-224000000,-515000000,255000000,2926000000,197000000,92.14,99.44,84.85,0.1257,0.046,44.93,2.16,52.95,37.18,0.1422,0.496,0.3823,0.0606,0.76,2.81,0.9879
2017-09-30,285268745,285268745,1,33176000000,9440000000,20669000000,9437000000,12140000000,367000000,0,17162000000,6325000000,6163000000,256000000,256000000,0.9,0.88,0.18,1009000000,-422000000,-453000000,154000000,2671000000,235000000,80.97,86.29,75.64,0.0656,0.0226,42.56,1.92,114.04,37,0.3081,0.521,0.3659,0.0291,0.78,2.71,1.0003
2017-06-30,284689520,284689520,1,31216000000,9575000000,18871000000,8091000000,12005000000,340000000,0,15624000000,6249000000,5913000000,159000000,159000000,0.56,0.55,0.18,534000000,859000000,-168000000,1254000000,2517000000,130000000,74.3,80.83,67.76,0.0411,0.0129,42.17,5.5,None,36.82,0.5998,0.5205,0.3846,0.0158,0.81,1.42,1.1834
2016-12-30,141046304,141046304,1,8302000000,3048000000,6108000000,2656000000,1906000000,288000000,0,3564000000,2217000000,1917000000,31000000,31000000,0.22,0.21,0.14,563000000,-104000000,-304000000,57000000,1111000000,95000000,56.88,63.34,50.41,-0.0474,-0.0112,13.51,3.93,None,36.64,None,1.1632,0.2296,None,0.89,3.32,1.1476
2016-09-30,140815153,140815153,1,8819000000,3326000000,6494000000,2701000000,2041000000,284000000,0,3725000000,2506000000,1871000000,15000000,15000000,0.11,0.1,0.14,192000000,-172000000,22000000,54000000,1054000000,145000000,49.41,53.46,45.37,-0.0398,-0.0098,14.49,3.53,102.94,36.5,None,1.2278,0.2314,None,0.88,0.33,1.2314
2016-07-01,140427072,140427072,1,8857000000,3404000000,6628000000,2763000000,1968000000,261000000,0,3713000000,2543000000,1930000000,-21000000,-21000000,-0.15,-0.15,0.14,50000000,-549000000,354000000,-178000000,1000000000,116000000,42.53,52.55,32.51,0.0303,0.0081,14.01,2.91,24.03,36.36,63.3412,1.2922,0.2222,0.0085,0.95,-0.47,1.232
2016-04-01,138523516,138523516,1,7736000000,3412000000,5704000000,2608000000,2025000000,7000000,0,2605000000,2003000000,1807000000,-119000000,-119000000,-0.86,-0.86,0.14,107000000,-450000000,-296000000,-652000000,1178000000,635000000,29.38,34.49,24.27,0.098,0.028,14.62,1.83,10.92,36.22,17.7133,0.9891,0.2618,0.0278,1.01,-3.81,1.3083
2016-01-01,138066691,138066691,1,7989000000,3861000000,5766000000,2586000000,2216000000,7000000,0,2264000000,1909000000,1750000000,43000000,43000000,0.31,0.3,31.6,254000000,-249000000,24000000,12000000,1830000000,105000000,50.33,71.15,29.51,0.136,0.0396,16.05,2.32,314.56,36.08,11.7634,0.8615,0.2774,0.0374,1.06,1.08,1.493
2015-10-02,138783908,138783908,1,10013000000,4445000000,6967000000,3377000000,3017000000,29000000,0,3158000000,1716000000,2712000000,167000000,167000000,1.21,1.19,0.23,117000000,-397000000,-35000000,-381000000,1818000000,188000000,63.67,68.57,58.77,0.0072,0.0021,21.74,2.95,6367,4.48,5.8111,0.5688,0.3013,0.0019,1.11,-0.51,1.3163
2015-07-03,138331545,138331545,1,10116000000,4796000000,7102000000,3533000000,2990000000,24000000,0,2891000000,1707000000,2761000000,160000000,160000000,1.16,1.14,0.23,324000000,-84000000,-178000000,101000000,2199000000,72000000,67.42,71,63.85,0.0019,0.0006,21.61,3.18,None,4.25,21.3727,0.5709,0.2956,0.0005,1.13,1.82,1.3575
2015-04-03,137679779,137679779,1,10201000000,4905000000,7252000000,3601000000,2921000000,28000000,0,2897000000,1980000000,2909000000,9000000,9000000,0.07,0.06,0.23,290000000,-137000000,-359000000,-295000000,2098000000,513000000,66.55,73.29,59.8,-0.0023,-0.0007,21.22,2.82,24.03,4.02,None,0.6779,0.2863,None,1.14,-1.62,1.3621
2015-01-02,141046567,141046567,1,10653000000,5186000000,7298000000,3190000000,3330000000,25000000,0,2930000000,2170000000,2947000000,-314000000,-314000000,-2.23,-2.23,0.23,653000000,-101000000,-23000000,470000000,2393000000,106000000,60.61,66.99,54.23,0.1151,0.0391,23.61,2.31,10.2,3.79,0.2956,0.6517,0.3126,0.0342,1.14,3.88,1.6257
2014-10-03,140490619,140490619,1,10573000000,5076000000,6854000000,3020000000,3687000000,32000000,0,3005000000,2214000000,3080000000,151000000,151000000,1.05,1.04,0.23,217000000,-184000000,-475000000,-517000000,1923000000,134000000,60.85,65.52,56.19,0.2313,0.0794,26.24,2.2,9.75,3.56,0.1399,0.6005,0.3487,0.0688,1.15,0.59,1.6808
2014-07-04,145064452,145064452,1,11420000000,5649000000,7382000000,3411000000,4011000000,27000000,0,3054000000,2194000000,3237000000,146000000,146000000,1,0.98,0.23,273000000,-114000000,-181000000,-3000000,2440000000,115000000,61.09,64.72,57.46,0.2517,0.0836,27.65,2.26,9.73,3.33,0.129,0.547,0.3512,0.0722,1.16,1.09,1.6561
2014-03-28,144870144,144870144,1,11389000000,5628000000,7445000000,3462000000,3912000000,32000000,0,3017000000,2540000000,3323000000,447000000,447000000,3.06,2.98,0.2,548000000,-189000000,-206000000,159000000,2443000000,761000000,58.51,64.1,52.92,0.2711,0.0856,27,2.31,11.43,3.1,0.1236,0.6493,0.3435,0.0729,1.17,-1.47,1.6256
2013-12-27,145692424,145692424,1,11226000000,5408000000,7501000000,3382000000,3698000000,27000000,0,3039000000,2184000000,3228000000,141000000,141000000,0.96,0.94,0.2,529000000,-301000000,-44000000,189000000,2284000000,167000000,51.35,55.91,46.8,0.2367,0.0708,25.38,2.31,6.89,2.9,0.1513,0.5906,0.3294,0.0597,1.19,2.48,1.5991
2013-09-27,147210799,147210799,1,10773000000,5327000000,7465000000,2837000000,3270000000,38000000,0,2745000000,2448000000,3187000000,203000000,203000000,1.37,1.34,0.2,270000000,25000000,-142000000,166000000,2095000000,149000000,49.39,54.8,43.99,0.3595,0.1042,22.21,2.36,7.12,2.7,0.1041,0.7486,0.3035,0.0844,1.23,0.82,1.8777
2013-06-28,147688288,147688288,1,10866000000,5360000000,7754000000,3079000000,3093000000,19000000,0,2755000000,2461000000,3260000000,156000000,156000000,1.04,1.02,0.2,213000000,-101000000,-207000000,-125000000,1929000000,168000000,46.34,50.26,42.43,0.3478,0.0957,20.94,2.22,7.5,2.5,0.1127,0.7957,0.2846,0.0753,1.27,0.3,1.7408
2013-03-29,150228623,150228623,1,11251000000,5673000000,8091000000,3349000000,3135000000,25000000,0,2863000000,2877000000,3401000000,281000000,281000000,1.84,1.82,0.2,41000000,-18000000,-156000000,-144000000,2054000000,687000000,44.81,50.59,39.02,0.3211,0.0853,20.87,2.09,13.42,2.3,0.1279,0.9177,0.2786,0.0641,1.33,-4.3,1.6939
2012-12-28,153483884,153483884,1,11260000000,5618000000,7943000000,3287000000,3297000000,20000000,0,2931000000,2398000000,3781000000,510000000,510000000,3.29,3.27,0.2,413000000,840000000,-902000000,348000000,2198000000,156000000,35.39,40.63,30.15,0.1797,0.0464,21.48,1.92,None,2.1,0.2373,0.7273,0.2928,0.0332,1.4,1.67,1.7092
2012-09-28,155368699,155368699,1,11649000000,5468000000,8764000000,4015000000,2863000000,22000000,0,3205000000,2399000000,3854000000,130000000,130000000,0.84,0.83,0.2,444000000,-187000000,566000000,850000000,1850000000,166000000,28.47,34.74,22.19,-0.4789,-0.1229,18.43,1.65,None,1.9,None,0.8379,0.2458,None,1.4,1.79,1.3619
2012-06-29,155330902,155330902,1,10926000000,4799000000,8198000000,4409000000,2678000000,50000000,0,3180000000,1461000000,3957000000,40000000,40000000,0.26,0.26,0.2,221000000,-179000000,-97000000,-93000000,1000000000,199000000,26.69,30.28,23.1,None,-0.3769,17.24,1.49,None,1.7,None,0.5456,0.2451,None,1.36,0.14,1.0885
2012-03-30,155201837,155201837,1,11189000000,4883000000,8355000000,4536000000,2779000000,55000000,0,3256000000,1899000000,4114000000,-158000000,-158000000,-1.02,-1.02,0.2,496000000,-220000000,-110000000,195000000,1093000000,1046000000,28.53,33.8,23.27,-0.9241,-0.3261,17.91,1.39,None,1.5,None,0.6833,0.2484,None,1.22,-3.54,1.0765
2011-12-30,155074995,155074995,1,11098000000,4671000000,7852000000,3392000000,3190000000,56000000,0,3248000000,2470000000,3764000000,-1390000000,-1390000000,-8.96,-8.96,0.2,720000000,-185000000,-590000000,-80000000,898000000,446000000,27.96,33.12,22.8,-0.678,-0.2748,20.57,0.93,None,1.3,None,0.7743,0.2874,None,1.12,1.77,1.3771
2011-09-30,155060761,155060761,1,13321000000,6676000000,8585000000,4074000000,4679000000,57000000,0,3396000000,2478000000,3966000000,-2877000000,-2877000000,-18.56,-18.56,0.2,6000000,-569000000,-75000000,-688000000,978000000,140000000,32,38.41,25.6,-0.3371,-0.1481,30.18,0.64,6.41,1.1,None,0.5296,0.3512,None,1.05,-0.86,1.6387
2011-07-01,155049198,155049198,1,16429000000,7780000000,8658000000,4233000000,7713000000,58000000,0,5481000000,2418000000,4033000000,183000000,183000000,1.18,1.17,0.2,-46000000,-334000000,194000000,-171000000,1666000000,161000000,43.86,51.43,36.3,0.1063,0.0479,49.75,0.91,9.27,0.9,0.149,0.3135,0.4695,0.0483,0.99,-1.34,1.8379
2011-04-01,154954273,154954273,1,16120000000,7557000000,8560000000,4178000000,7504000000,56000000,0,5418000000,2409000000,4117000000,171000000,171000000,1.1,1.1,0.2,760000000,-157000000,-413000000,208000000,1837000000,1113000000,51.03,56.61,45.45,0.1052,0.0457,48.43,1.1,9.63,0.7,0.1464,0.321,0.4655,0.0461,0.99,-2.28,1.8088
2010-12-31,155090200,155090200,1,15756000000,7465000000,8534000000,4192000000,7167000000,55000000,0,5097000000,2343000000,4008000000,242000000,242000000,1.57,1.54,0.2,462000000,-277000000,-1216000000,-1028000000,1629000000,230000000,47.22,50.01,44.44,0.1223,0.0508,46.21,1.05,9.22,0.5,0.0934,0.3269,0.4549,0.0512,0.99,1.5,1.7808
2010-10-01,154484208,154484208,1,16887000000,8607000000,9853000000,3979000000,6971000000,63000000,0,5271000000,3835000000,3975000000,184000000,184000000,1.19,1.18,0.15,402000000,-205000000,-49000000,222000000,2657000000,240000000,43.39,47.18,39.61,0.1202,0.0486,45.12,1.03,8.13,0.3,0.0581,0.5501,0.4128,0.0495,0.98,1.05,2.1631
2010-07-02,154384792,154384792,1,16047000000,8149000000,9495000000,3771000000,6494000000,58000000,0,5059000000,3735000000,3942000000,143000000,143000000,0.93,0.91,0.15,-60000000,-253000000,2000000,-349000000,2435000000,249000000,49.95,55.86,44.04,0.1281,0.0511,42.06,1.2,9.46,0.15,0.0279,0.5751,0.4047,0.0513,1,-2,2.161
2010-04-02,154240124,154240124,1,16455000000,8422000000,9947000000,4122000000,6446000000,62000000,0,5019000000,3669000000,4236000000,259000000,259000000,1.7,1.67,0,1236000000,-276000000,-601000000,357000000,2784000000,278000000,54.25,58,50.51,0.1288,0.0506,41.79,1.26,8.86,0,0,0.5692,0.3917,0.0507,1,6.21,2.0432
2010-01-01,153615200,153615200,1,16196000000,8297000000,9516000000,3562000000,6621000000,59000000,0,5041000000,4176000000,3953000000,211000000,211000000,1.38,1.36,0,132000000,-228000000,105000000,20000000,2427000000,295000000,54.17,58.36,49.99,0.1539,0.059,43.1,1.31,9.31,0,0,0.6307,0.4088,0.0588,1,-1.06,2.3293
