"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-03-31,276326625,276326625,1,6732386000,1836861000,11565269000,2094013000,-4832549000,-334000,0,1036924000,8510557000,1640757000,94377000,94377000,0.35,0.34,0,131554000,-148028000,-53348000,-69822000,933457000,148500000,None,None,None,None,0.0333,-17.49,None,None,27.5,0.3685,None,None,0.0345,0.97,-0.06,0.8772
2015-12-31,276659640,276659640,1,6867293000,1875586000,11778877000,2188642000,-4911316000,-268000,0,1038394000,8620404000,1628978000,32118000,32118000,0.11,0.12,0,337779000,-212671000,5535000,130643000,1003279000,212761000,31.18,33.28,29.07,None,0.026,-17.75,None,43.31,27.5,0.7085,None,None,0.027,0.96,0.45,0.857
2015-09-30,276698263,276698263,1,6745748000,1914726000,11703492000,1875332000,-4957446000,-298000,0,1039341000,8974697000,1612601000,23103000,23103000,0.09,0.08,0.15,335781000,-229621000,-30089000,76071000,872636000,222145000,27.32,33.27,21.37,None,0.0296,-17.92,None,30.36,27.5,0.8301,None,None,0.0306,0.97,0.41,1.021
2015-06-30,276474557,276474557,1,6712069000,1896469000,11663248000,1835426000,-4959147000,7968000,0,1043352000,8992322000,1653393000,75595000,75595000,0.28,0.27,0.15,368704000,-212646000,-243915000,-87857000,796565000,212460000,22.1,26.5,17.7,None,0.037,-17.94,None,22.55,27.35,0.6661,None,None,0.038,0.98,0.57,1.0333
2015-03-31,275586280,275586280,1,6701203000,1788426000,11723800000,1737609000,-5031762000,9165000,0,1044871000,9075715000,1614771000,44633000,44633000,0.17,0.16,0.15,215339000,-172895000,-8435000,34009000,884422000,172658000,19.36,21.06,17.66,None,0.0398,-18.26,None,16.83,27.2,0.6165,None,None,0.041,0.97,0.15,1.0292
2014-12-31,274215274,274215274,1,6765171000,1930666000,11797185000,1750168000,-5041469000,9455000,0,1040569000,9134654000,1631036000,55975000,55975000,0.21,0.21,0.15,349104000,-255572000,-56977000,36555000,850413000,261001000,19.45,21.97,16.94,None,0.0469,-18.39,None,17.21,27.05,0.5248,None,None,0.0482,0.97,0.32,1.1031
2014-09-30,273629992,273629992,1,6563745000,1814580000,11631752000,1655641000,-5077472000,9465000,0,1047842000,9179649000,1626187000,71491000,71491000,0.27,0.26,0.15,321276000,-203073000,-211134000,-92931000,813858000,203168000,18.91,20.42,17.41,None,0.0466,-18.56,None,9.6,26.9,0.5286,None,None,0.048,0.97,0.43,1.096
2014-06-30,271133191,271133191,1,6701128000,1954795000,11834342000,1616362000,-5143201000,9987000,0,1049750000,9366790000,1628137000,94210000,94210000,0.36,0.35,0.15,423187000,-238712000,-45808000,138667000,906789000,238155000,16.86,17.79,15.92,None,0.0806,-18.97,None,7.92,26.75,0.3046,None,None,0.0836,0.96,0.68,1.2094
2014-03-31,270596296,270596296,1,6542875000,1718545000,11753796000,1436785000,-5221686000,10765000,0,1051912000,9405779000,1575586000,89763000,89763000,0.34,0.33,0.15,283505000,-184624000,-32983000,65898000,768122000,184369000,16.98,18.28,15.69,None,0.084,-19.3,None,9.76,26.6,0.2817,None,None,0.091,0.92,0.37,1.1961
2013-12-31,267638894,267638894,1,6591076000,1724434000,11865326000,1441052000,-5284330000,10080000,0,1053940000,9419783000,1571029000,51842000,51842000,0.2,0.19,0.15,321456000,-209239000,-234291000,-122074000,702224000,209467000,16.35,18.05,14.65,None,0.067,-19.74,None,8.3,26.45,0.3446,None,None,0.0747,0.9,0.42,1.1966
