"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,1904726061,1904726061,1,256809000000,33671000000,100691000000,29951000000,155045000000,1073000000,0,4507000000,26064000000,35200000000,2649000000,2649000000,1.4,1.39,1.19,5057000000,-2028000000,-3835000000,-786000000,9695000000,2820000000,117.01,126.92,107.1,0.0899,0.054,81.4,1.44,15.12,60.83,0.6275,0.1681,0.6037,0.0845,0.64,1.17,1.1242
2018-12-31,1900062760,1900062760,1,253863000000,34021000000,98221000000,27171000000,154554000000,1088000000,0,4518000000,23857000000,42352000000,3730000000,3730000000,1.97,1.95,1.12,9151000000,-4632000000,-4756000000,-260000000,10481000000,7780000000,113.91,127.6,100.22,0.0971,0.0579,81.34,1.42,15.33,59.64,0.5771,0.1544,0.6088,0.0891,0.65,0.72,1.2521
2018-09-30,1910774369,1910774369,1,256606000000,35583000000,101933000000,29183000000,153575000000,1098000000,0,4518000000,29989000000,43987000000,4047000000,4047000000,2.13,2.11,1.12,9569000000,-2227000000,-5276000000,2043000000,10741000000,5778000000,120.97,128.55,113.39,0.094,0.0554,80.37,1.52,19.05,58.52,0.5976,0.1953,0.5985,0.0879,0.63,1.98,1.2193
2018-06-30,1916147100,1916147100,1,257929000000,34256000000,104549000000,31862000000,152198000000,1182000000,0,4518000000,29919000000,42236000000,3409000000,3409000000,1.79,1.78,1.12,6855000000,-2542000000,-3054000000,1181000000,8698000000,5889000000,120.81,131.08,110.54,0.0811,0.0473,79.43,1.54,22.62,57.4,0.6937,0.1966,0.5901,0.0787,0.6,0.5,1.0751
2018-03-31,1910956734,1910956734,1,256442000000,31726000000,104876000000,30630000000,150356000000,1210000000,0,4531000000,31144000000,37764000000,3638000000,3638000000,1.92,1.9,1.12,5043000000,-2889000000,-613000000,1574000000,7517000000,5936000000,120.95,133.88,108.02,0.0687,0.0398,78.68,1.56,24.94,56.28,0.8178,0.2071,0.5863,0.0695,0.57,-0.47,1.0358
2017-12-31,1910253256,1910253256,1,253806000000,28560000000,104487000000,27737000000,148124000000,1195000000,0,4531000000,33571000000,37616000000,3111000000,3111000000,1.65,1.64,1.08,6230000000,-3239000000,-4822000000,-1828000000,4813000000,7159000000,119.38,126.2,112.57,0.0626,0.036,77.54,1.55,34.8,55.16,0.8926,0.2266,0.5836,0.0649,0.55,-0.49,1.0297
2017-09-30,1899373928,1899373928,1,255160000000,29398000000,107249000000,28223000000,146713000000,1198000000,0,4531000000,34075000000,36205000000,1952000000,1952000000,1.03,1.03,1.08,5370000000,-916000000,-2597000000,1879000000,6641000000,4103000000,110.44,118.33,102.55,0.0444,0.0253,77.24,1.43,35.86,54.08,1.26,0.2323,0.575,0.0479,0.53,0.67,1.0416
2017-06-30,1895002689,1895002689,1,254599000000,26626000000,107211000000,27956000000,146203000000,1185000000,0,4543000000,34082000000,34480000000,1450000000,1450000000,0.77,0.77,1.08,5036000000,-2807000000,-4451000000,-2221000000,4762000000,6120000000,106.61,110.67,102.55,0.0399,0.0226,77.15,1.38,69.68,53,1.3992,0.2331,0.5742,0.045,0.5,-0.57,0.9524
2017-03-31,1894556806,1894556806,1,259111000000,29568000000,111321000000,28426000000,146592000000,1198000000,0,4543000000,36959000000,33421000000,2682000000,2682000000,1.43,1.41,1.08,3879000000,-1239000000,-2684000000,-5000000,6983000000,4671000000,112.41,119,105.82,0.0199,0.0112,77.38,1.46,None,51.92,2.7935,0.2521,0.5657,0.0234,0.48,-0.42,1.0402
2016-12-31,1893102970,1893102970,1,260078000000,29619000000,113356000000,31785000000,145556000000,1166000000,0,4581000000,35286000000,31497000000,415000000,415000000,0.22,0.22,1.08,3863000000,-2923000000,-1251000000,-363000000,6988000000,7602000000,109.31,119,99.61,-0.0034,-0.0019,76.89,1.41,None,50.84,None,0.2424,0.5597,None,0.44,-1.98,0.9319
2016-09-30,1887769320,1887769320,1,259863000000,28873000000,111911000000,24744000000,146800000000,1152000000,0,4581000000,39528000000,30140000000,1283000000,1283000000,0.68,0.68,1.07,5311000000,-5263000000,-1465000000,-1413000000,7351000000,7306000000,102.56,107.58,97.53,-0.0101,-0.0057,77.76,1.31,None,49.76,None,0.2693,0.5649,None,0.43,-1.06,1.1669
2016-06-30,1886520448,1886520448,1,261478000000,32471000000,113153000000,24927000000,147163000000,1162000000,0,4581000000,39555000000,29282000000,-1470000000,-1470000000,-0.78,-0.78,1.07,2531000000,-3157000000,830000000,202000000,8764000000,7835000000,98.72,105,92.43,-0.0049,-0.0028,78.01,1.24,143.07,48.69,None,0.2688,0.5628,None,0.44,-2.81,1.3026
2016-03-31,1884702387,1884702387,1,263842000000,31713000000,112366000000,29162000000,150307000000,1169000000,0,4588000000,32709000000,23553000000,-725000000,-725000000,-0.39,-0.39,1.07,1141000000,-5509000000,1911000000,-2460000000,8562000000,10881000000,86.62,97.91,75.33,0.0085,0.0049,79.75,1.07,35.36,47.62,6.223,0.2176,0.5697,0.0102,0.48,-5.17,1.0875
2015-12-31,1883156295,1883156295,1,266103000000,35347000000,112217000000,26464000000,152716000000,1170000000,0,4588000000,33664000000,29247000000,-588000000,-588000000,-0.31,-0.31,1.07,4557000000,-7208000000,756000000,-1911000000,11022000000,14375000000,87.97,98.64,77.31,0.0297,0.0171,81.1,1.07,19.08,46.55,1.7559,0.2204,0.5739,0.0331,0.52,-5.21,1.3357
2015-09-30,1882036704,1882036704,1,268449000000,39819000000,112511000000,30144000000,154912000000,1026000000,0,4588000000,29296000000,34315000000,2037000000,2037000000,1.09,1.09,1.07,5360000000,-6279000000,1887000000,777000000,12933000000,13178000000,83.13,96.67,69.58,0.0557,0.0323,82.31,1.01,12.85,45.48,0.9312,0.1891,0.5771,0.0557,0.58,-4.15,1.321
2015-06-30,1881734623,1881734623,1,266455000000,40738000000,110564000000,28268000000,154669000000,1222000000,0,4588000000,29289000000,40357000000,571000000,571000000,0.3,0.3,1.07,7220000000,-3715000000,-3988000000,-519000000,12156000000,11255000000,104.21,112.2,96.22,0.0785,0.0457,82.19,1.26,11.39,44.41,0.6606,0.1894,0.5805,0.0695,0.66,-2.14,1.4411
2015-03-31,1880477711,1880477711,1,269604000000,41270000000,112603000000,29445000000,155803000000,1198000000,0,4588000000,30025000000,34558000000,2567000000,2567000000,1.38,1.37,1.07,2319000000,-6606000000,4160000000,-110000000,12675000000,14248000000,105.94,113,98.88,0.1115,0.0651,82.85,1.28,10.45,43.34,0.4671,0.1927,0.5779,0.0895,0.73,-6.34,1.4016
2014-12-31,1880180422,1880180422,1,266026000000,42232000000,109835000000,31926000000,155028000000,1163000000,0,4593000000,24028000000,46088000000,3471000000,3471000000,1.86,1.85,1.07,6497000000,-6742000000,-1148000000,-1430000000,12785000000,16435000000,110.16,120.17,100.15,0.1251,0.0732,82.45,1.33,10.14,42.27,0.4142,0.155,0.5828,0.0908,0.81,-5.29,1.3228
2014-09-30,1890424385,1890424385,1,265431000000,47083000000,108124000000,37088000000,156140000000,1167000000,0,4621000000,20044000000,54679000000,5593000000,5593000000,2.97,2.95,1.07,8680000000,-7373000000,-1019000000,256000000,14215000000,15615000000,126.88,135.1,118.66,0.1359,0.0797,82.6,1.57,12.11,41.2,0.3801,0.1284,0.5883,0.0932,0.85,-3.67,1.2695
2014-06-30,1898931825,1898931825,1,262045000000,48920000000,107298000000,36328000000,153581000000,1166000000,0,4621000000,20050000000,57938000000,5665000000,5665000000,3,2.98,1.07,7881000000,-7198000000,-2371000000,-1653000000,13959000000,16594000000,125.03,133.57,116.5,0.1341,0.0785,80.88,1.58,12.17,40.13,0.3873,0.1306,0.5861,0.0888,0.88,-4.59,1.3466
2014-03-31,1903650099,1903650099,1,258238000000,49749000000,106428000000,35652000000,150661000000,1149000000,0,4639000000,20046000000,53265000000,4512000000,4512000000,2.38,2.36,1,8417000000,-8580000000,-461000000,-633000000,15612000000,16885000000,117.29,125.32,109.27,0.1345,0.0787,79.14,1.5,10.58,39.06,0.3881,0.1331,0.5834,0.0877,0.9,-4.45,1.3954
2013-12-31,1909130328,1909130328,1,253753000000,50250000000,103326000000,33018000000,149113000000,1314000000,0,4639000000,20057000000,56158000000,4930000000,4930000000,2.6,2.57,1,10452000000,-9831000000,-1263000000,-769000000,16245000000,22893000000,120.05,125.65,114.44,0.1485,0.0872,78.11,1.59,9.82,38.06,0.3505,0.1345,0.5876,0.0936,0.93,-6.52,1.5219
2013-09-30,1923173013,1923173013,1,247838000000,53503000000,101765000000,33470000000,144779000000,1294000000,0,4640000000,18054000000,58503000000,4950000000,4950000000,2.58,2.57,1,10316000000,-9307000000,-4594000000,-3616000000,17014000000,18888000000,122.53,127.83,117.22,0.1683,0.0987,75.28,1.66,9.93,37.06,0.3096,0.1247,0.5842,0.1018,0.97,-4.46,1.5985
2013-06-30,1932023723,1932023723,1,244048000000,56104000000,99884000000,33413000000,142841000000,1323000000,0,4640000000,18051000000,57369000000,5365000000,5365000000,2.8,2.77,1,8520000000,-8012000000,2841000000,3256000000,20630000000,16627000000,120.76,127.4,114.12,0.1741,0.1022,73.93,1.67,9.13,36.06,0.2989,0.1264,0.5853,0.1033,0.99,-4.2,1.6791
2013-03-31,1938977775,1938977775,1,237410000000,54696000000,95924000000,34685000000,140134000000,1352000000,0,4640000000,12053000000,56818000000,6178000000,6178000000,3.2,3.18,0.9,5714000000,-8459000000,-805000000,-3565000000,17374000000,16271000000,115.15,121.56,108.74,0.1919,0.113,72.27,1.64,8.64,35.06,0.2712,0.086,0.5903,0.1088,1.04,-5.44,1.5769
2012-12-31,1942697787,1942697787,1,232982000000,55720000000,95150000000,34212000000,136524000000,1308000000,0,4640000000,12065000000,60552000000,7245000000,7245000000,3.73,3.7,0.9,12780000000,-10075000000,-3090000000,-374000000,20939000000,19891000000,109.52,118.38,100.66,0.1995,0.1171,70.28,1.61,8.98,34.16,0.2626,0.0884,0.586,0.1082,1.08,-3.66,1.6287
2012-09-30,1957181104,1957181104,1,226864000000,58465000000,92642000000,35669000000,132941000000,1281000000,0,4640000000,10164000000,58044000000,5253000000,5253000000,2.71,2.69,0.9,7730000000,-7242000000,-464000000,104000000,21313000000,14481000000,110.91,118.53,103.29,0.1887,0.1105,67.92,1.67,8.26,33.26,0.2796,0.0765,0.586,0.0997,1.11,-3.45,1.6391
