"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,145437765,145437765,1,8776050000,2623251000,5820779000,1955115000,2955271000,0,0,4924940000,2946493000,1810706000,198085000,198085000,1.36,1.35,0.48,208709000,-69755000,-60596000,78312000,321326000,51507000,94.59,100.43,88.75,0.2132,0.0704,20.32,4.85,26.35,37.96,0.4636,0.997,0.3367,0.0885,0.79,1.08,1.3417
2019-03-31,145329437,145329437,1,8657911000,2529466000,5820458000,1946922000,2837453000,0,0,4926413000,2940967000,1724757000,105705000,105705000,0.73,0.72,0.48,24524000,-217690000,36067000,-153207000,243014000,36952000,81.83,94.57,69.09,0.1946,0.0641,19.52,4.28,22.06,37.48,0.5123,1.0365,0.3277,0.0801,0.8,-0.09,1.2992
2018-12-31,144940620,144940620,1,8365771000,2503754000,5597105000,1827421000,2768666000,0,0,4811584000,2943660000,1525042000,141568000,141568000,0.96,0.91,0.48,364161000,-35355000,-148525000,186944000,396221000,35211000,77.72,89.61,65.83,0.1782,0.0636,19.1,4.14,16.61,37,0.4944,1.0632,0.331,0.0816,0.78,2.27,1.3701
2018-09-30,146332674,146332674,1,8461770000,2459049000,5713836000,1890305000,2747934000,0,0,4915448000,2981923000,1747403000,157305000,157305000,1.07,1.05,0.48,240398000,-35922000,-232476000,-33537000,209277000,35922000,81.05,90.26,71.84,0.2012,0.0761,18.78,4.21,16.99,36.52,0.3929,1.0852,0.3247,0.0969,0.79,1.4,1.3009
2018-06-30,147703621,147703621,1,8473170000,2447728000,5632579000,1813927000,2840591000,0,0,4943970000,2974940000,1798094000,139959000,139959000,0.92,0.91,0.47,158881000,-61886000,-227734000,-124408000,242814000,37957000,85.17,98.63,71.71,0.1873,0.0744,19.23,2.96,17.38,36.04,0.3856,1.0473,0.3352,0.0964,0.77,0.82,1.3494
2018-03-31,154677787,154677787,1,10543040000,2951999000,6097418000,2080588000,4445622000,0,0,6292667000,3032003000,1921579000,131435000,131435000,0.85,0.84,0.47,35195000,-136022000,-289103000,-386742000,367222000,55996000,101.69,109.06,94.33,0.1795,0.0734,28.74,3.58,19.75,35.57,0.3723,0.682,0.4217,0.0971,0.76,-0.13,1.4188
2017-12-31,154424436,154424436,1,10657653000,3207120000,6274473000,2298193000,4383180000,0,0,6201839000,2986702000,2017438000,296448000,296448000,1.9,1.88,0.47,319594000,201158000,-87539000,431925000,753964000,39870000,95.47,101.44,89.5,0.1946,0.0779,28.38,3.48,22.1,35.1,0.3484,0.6814,0.4113,0.1037,0.75,1.81,1.3955
2017-09-30,155791090,155791090,1,10493390000,2868771000,6217700000,2167256000,4275690000,0,0,6374879000,2985048000,2006275000,178912000,178912000,1.15,1.14,0.47,268017000,-55428000,-197634000,20451000,322039000,55428000,86.47,92.74,80.21,0.168,0.0658,27.45,3.31,21.56,34.63,0.412,0.6981,0.4075,0.0891,0.74,1.36,1.3237
2017-06-30,155734275,155734275,1,10292423000,2759584000,6219989000,2215346000,4072434000,0,0,6321941000,2925472000,1993351000,164058000,164058000,1.05,1.04,0.44,155877000,-51137000,-216273000,-113942000,301588000,45129000,80.44,84.4,76.47,0.1608,0.0628,26.15,3.17,21.57,34.16,0.4363,0.7184,0.3957,0.0861,0.73,0.71,1.2457
2017-03-31,155669697,155669697,1,10238308000,2761919000,6284893000,2319203000,3953415000,0,0,6290827000,2887962000,1813372000,172247000,172247000,1.11,1.09,0.44,78071000,81780000,-93293000,66384000,415530000,40986000,78.99,82.56,75.42,0.1525,0.0602,25.4,3.23,24.08,33.72,0.4649,0.7305,0.3861,0.0833,0.72,0.24,1.1909
