"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-03-31,180221324,180221324,1,10179000000,1246000000,7693000000,1624000000,2486000000,0,0,7348000000,4135000000,1594000000,159000000,159000000,0.88,0.88,0.58,103000000,-68000000,-73000000,-37000000,121000000,43000000,110.63,126.65,94.61,0.459,0.1043,13.79,8.11,18.72,13.72,0.3959,1.6633,0.2442,0.1562,0.67,0.33,0.7672
2017-12-31,179744078,179744078,1,10022000000,1117000000,7571000000,1238000000,2451000000,0,0,7342000000,4400000000,1643000000,508000000,508000000,2.82,2.82,0.58,306000000,-120000000,-190000000,-7000000,158000000,118000000,90.53,97.84,83.23,0.4821,0.1066,13.64,7.68,22.69,13.14,0.3912,1.7952,0.2446,0.1608,0.66,1.05,0.9023
2017-09-30,180541455,180541455,1,10039000000,1266000000,7910000000,1359000000,2129000000,0,0,7345000000,4399000000,1740000000,203000000,203000000,1.12,1.11,0.58,322000000,-48000000,-497000000,-222000000,165000000,42000000,90.53,93.77,87.28,0.3405,0.073,11.79,7.63,21.71,12.56,0.5645,2.0662,0.2121,0.1106,0.66,1.55,0.9316
2017-06-30,181724713,181724713,1,10319000000,1555000000,8164000000,1580000000,2155000000,0,0,7352000000,4391000000,1797000000,188000000,188000000,1.02,1.02,0.58,313000000,-26000000,-78000000,211000000,387000000,29000000,94.67,99.47,89.88,0.3577,0.0794,11.86,7.94,20.85,11.98,0.5278,2.0376,0.2088,0.1173,0.68,1.56,0.9842
2017-03-31,183814527,183814527,1,10008000000,1247000000,7815000000,1147000000,2193000000,0,0,7344000000,4467000000,1510000000,177000000,177000000,0.97,0.96,0.58,97000000,-1569000000,-142000000,-1611000000,176000000,16000000,93.62,98.17,89.06,0.3917,0.0913,11.93,8.03,20.62,11.4,0.4742,2.0369,0.2191,0.1303,0.7,0.44,1.0872
2016-12-31,183094247,183094247,1,9791000000,2736000000,7657000000,1051000000,2134000000,0,0,5649000000,4468000000,1578000000,165000000,165000000,0.9,0.9,0.53,256000000,-70000000,984000000,1167000000,1787000000,69000000,86.09,91.14,81.05,0.3983,0.0962,11.66,7.43,18.67,10.82,0.4618,2.0937,0.218,0.1315,0.73,1.02,2.6032
2016-09-30,183715145,183715145,1,8673000000,1602000000,6544000000,1483000000,2129000000,0,0,5651000000,2956000000,1680000000,240000000,240000000,1.3,1.29,0.53,276000000,-40000000,141000000,375000000,620000000,42000000,94.13,98.8,89.45,0.4053,0.1011,11.59,8.15,21.54,10.29,0.443,1.3884,0.2455,0.1353,0.75,1.27,1.0802
2016-06-30,185404580,185404580,1,8406000000,1325000000,6264000000,1170000000,2142000000,0,0,5644000000,2921000000,1695000000,260000000,260000000,1.4,1.39,0.53,230000000,-39000000,-220000000,-30000000,245000000,39000000,91.34,96.65,86.03,0.3845,0.0979,11.55,8.08,22.17,9.76,0.4552,1.3637,0.2548,0.1304,0.75,1.03,1.1325
2016-03-31,185812016,185812016,1,8364000000,1283000000,6262000000,1176000000,2102000000,0,0,5650000000,2907000000,1487000000,182000000,182000000,0.97,0.96,0.53,177000000,-40000000,-775000000,-636000000,275000000,26000000,91.53,95.87,87.18,0.3609,0.0936,11.31,7.86,23.06,9.23,0.4698,1.383,0.2513,0.1249,0.75,0.81,1.091
2015-12-31,187349988,187349988,1,8869000000,1817000000,6686000000,1583000000,2183000000,0,0,5651000000,2875000000,1546000000,185000000,185000000,0.97,0.97,0.48,268000000,-99000000,534000000,704000000,911000000,100000000,86.64,95.26,78.01,0.3448,0.0909,11.65,7.45,23.04,8.7,0.4768,1.317,0.2461,0.1216,0.75,0.9,1.1478
