"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,183301732,183301732,1,36851000000,2726000000,26282000000,3654000000,10396000000,173000000,0,3130000000,13569000000,2888000000,182000000,182000000,0.99,0.99,1.89,615000000,-766000000,152000000,1000000,62000000,542000000,126.96,131.87,122.05,0.1069,0.0306,56.72,2.21,19.96,56.98,0.626,1.3052,0.2821,0.0807,0.38,0.4,0.746
2019-03-31,183212427,183212427,1,36434000000,2840000000,25414000000,3647000000,10545000000,475000000,0,3139000000,12776000000,3514000000,401000000,400000000,2.2,2.19,0.945,752000000,-748000000,-19000000,-15000000,61000000,531000000,116.7,126.07,107.33,0.1134,0.0326,57.56,2.07,18.91,55.09,0.5766,1.2116,0.2894,0.0829,0.39,1.21,0.7787
2018-12-31,181923685,181923685,1,36288000000,3260000000,25571000000,4438000000,10237000000,480000000,0,3142000000,12134000000,3750000000,191000000,191000000,1.04,1.04,0.95,633000000,-1011000000,350000000,-28000000,76000000,741000000,114.11,121,107.22,0.1113,0.0321,56.27,2.03,16.98,54.14,0.5856,1.1853,0.2821,0.0787,0.41,-0.59,0.7346
2018-09-30,181925024,181925024,1,35292000000,3103000000,24602000000,2117000000,10207000000,483000000,0,3157000000,13620000000,3550000000,334000000,333000000,1.84,1.84,0,614000000,-956000000,360000000,18000000,104000000,423000000,108.09,114.31,101.88,0.1231,0.0354,56.11,2,16.92,53.19,0.5285,1.3344,0.2892,0.0884,0.4,1.05,1.4658
2018-06-30,181772574,181772574,1,34330000000,2895000000,24012000000,2499000000,9844000000,474000000,0,3155000000,12705000000,3159000000,234000000,234000000,1.29,1.29,1.77,595000000,-794000000,99000000,-100000000,86000000,455000000,100.25,106.24,94.25,0.1191,0.0341,54.16,1.84,16.46,53.19,0.6866,1.2906,0.2867,0.0856,0.4,0.77,1.1585
2018-03-31,181483163,181483163,1,33841000000,2957000000,23478000000,2541000000,9888000000,475000000,0,3160000000,12185000000,3753000000,361000000,360000000,2.01,2,0.8825,838000000,-586000000,-155000000,97000000,186000000,370000000,104.07,110.49,97.66,0.1155,0.0329,54.48,1.96,16.47,51.42,0.5634,1.2323,0.2922,0.0833,0.39,2.58,1.1637
2017-12-31,179385962,179385962,1,33767000000,3081000000,23777000000,2812000000,9512000000,478000000,0,3160000000,12185000000,3271000000,287000000,287000000,1.59,1.59,0.89,567000000,-760000000,196000000,3000000,66000000,471000000,111.47,116.74,106.21,0.1218,0.0345,53.03,2.13,20.42,50.54,0.5333,1.281,0.2817,0.0898,0.38,0.54,1.0957
2017-09-30,179390286,179390286,1,33071000000,2815000000,23218000000,2598000000,9373000000,480000000,0,3176000000,11795000000,3245000000,270000000,269000000,1.51,1.51,0.825,367000000,-555000000,189000000,1000000,63000000,366000000,108.95,113.71,104.19,0.1065,0.0301,52.25,2.15,18.69,49.65,0.6075,1.2584,0.2834,0.0799,0.38,0.01,1.0835
2017-06-30,179393579,179393579,1,32582000000,2631000000,23011000000,2747000000,9088000000,483000000,0,3181000000,11358000000,2855000000,177000000,177000000,0.99,0.99,0.825,396000000,-608000000,192000000,-20000000,62000000,329000000,106.16,111.35,100.97,0.1148,0.0331,50.66,2.07,18.69,48.83,0.558,1.2498,0.2789,0.0879,0.38,0.37,0.9578
2017-03-31,179387424,179387424,1,32149000000,2567000000,22461000000,1834000000,9194000000,494000000,0,3129000000,11758000000,3236000000,400000000,399000000,2.23,2.23,0.825,787000000,-641000000,-156000000,-10000000,82000000,408000000,99.76,102.96,96.56,0.113,0.0334,51.25,1.99,20.7,48,0.555,1.2789,0.286,0.0903,0.37,2.11,1.3997
2016-12-31,179432999,179432999,1,32041000000,2762000000,22542000000,2437000000,9011000000,488000000,0,3128000000,11269000000,2874000000,131000000,131000000,0.74,0.73,0.83,317000000,-1885000000,1594000000,26000000,92000000,498000000,94.79,99.92,89.66,0.097,0.0292,50.22,1.86,20.92,47.18,0.6326,1.2506,0.2812,0.0817,0.36,-1.01,1.1334
2016-09-30,179434907,179434907,1,29462000000,2595000000,20313000000,1969000000,9130000000,19000000,0,2109000000,9478000000,2928000000,338000000,338000000,1.88,1.88,0.77,495000000,-565000000,104000000,34000000,66000000,359000000,95.53,100.45,90.61,0.0919,0.0283,50.88,1.95,23.19,46.35,0.6501,1.0381,0.3099,0.0798,0.35,0.76,1.3179
2016-06-30,179435004,179435004,1,28769000000,2258000000,19970000000,1883000000,8778000000,21000000,0,2115000000,9343000000,2262000000,152000000,152000000,0.84,0.84,0.73,531000000,-501000000,-33000000,-3000000,32000000,325000000,91.95,99.13,84.77,0.0844,0.0259,48.92,1.86,23.64,45.58,0.7043,1.0644,0.3051,0.0751,0.35,1.15,1.1992
