"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,728046950,728046950,1,151136000000,9168000000,106091000000,12282000000,45030000000,15000000,974000000,19303000000,53681000000,1744000000,900000000,900000000,1.24,1.24,0.9275,1239000000,-2713000000,1433000000,-41000000,550000000,2536000000,87.06,91.67,82.46,0.068,0.0203,60.51,1.44,23.15,80.75,0.8984,1.2185,0.2915,0.1202,0.17,-1.78,0.7465
2018-12-31,727010882,727010882,1,145392000000,9714000000,101558000000,15041000000,43817000000,17000000,0,19549000000,51123000000,18996000000,464000000,464000000,0.66,0.66,0.93,1519000000,-2790000000,1413000000,142000000,591000000,2596000000,84.94,91.35,78.52,0.0623,0.0188,60.27,1.41,20.72,79.82,0.9734,1.1667,0.3014,0.1087,0.17,-1.48,0.6458
2018-09-30,712877558,712877558,1,143165000000,9520000000,100152000000,13922000000,42995000000,18000000,0,19303000000,50507000000,2090000000,1082000000,1082000000,1.51,1.51,0.9275,2365000000,-2625000000,282000000,22000000,449000000,2334000000,80.84,83.77,77.9,0.0687,0.0208,60.31,1.35,20.47,78.89,0.8751,1.1747,0.3003,0.1476,0.14,0.04,0.6838
2018-06-30,712354724,712354724,1,140259000000,8476000000,97744000000,12791000000,42507000000,8000000,0,19396000000,49863000000,1672000000,500000000,500000000,0.71,0.71,0.89,1911000000,-2381000000,318000000,-152000000,427000000,2250000000,76.41,80.85,71.96,0.0662,0.0201,59.67,1.28,18.11,77.97,0.9017,1.1731,0.3031,0.1408,0.14,-0.48,0.6627
2018-03-31,701007267,701007267,1,138541000000,8279000000,96743000000,12998000000,41792000000,6000000,0,19396000000,49030000000,1763000000,620000000,620000000,0.88,0.88,0.89,1391000000,-2264000000,947000000,74000000,579000000,2168000000,78.68,84.42,72.93,0.0712,0.0216,59.62,1.32,18.05,77.08,0.8331,1.1732,0.3017,0.1255,0.17,-1.11,0.6369
2017-12-31,700092667,700092667,1,137914000000,8453000000,96177000000,12482000000,41739000000,-2000000,0,19626000000,49035000000,14158000000,703000000,703000000,1,1,0.89,1623000000,-2090000000,543000000,76000000,358000000,2211000000,87.66,91.8,83.52,0.0738,0.0225,59.62,1.47,28.93,76.19,0.7986,1.1748,0.3026,0.1298,0.17,-0.84,0.6772
2017-09-30,699975614,699975614,1,136325000000,7706000000,94683000000,10820000000,41631000000,11000000,0,19418000000,48929000000,2136000000,954000000,954000000,1.36,1.36,0.89,2255000000,-2036000000,-235000000,-16000000,282000000,1910000000,85.56,88.4,82.72,0.0516,0.0158,59.47,1.45,25.39,75.3,1.1341,1.1753,0.3054,0.1497,0.11,0.49,0.7122
2017-06-30,699950383,699950383,1,135004000000,7673000000,93710000000,12466000000,41284000000,10000000,0,19425000000,46043000000,5555000000,686000000,686000000,0.98,0.98,0.855,1467000000,-1925000000,-122000000,-580000000,298000000,1771000000,84.38,87.49,81.27,0.0573,0.0177,58.98,1.43,26.96,74.41,1.0126,1.1153,0.3058,0.1243,0.14,-0.43,0.6155
2017-03-31,699883528,699883528,1,134108000000,8005000000,92922000000,10941000000,41179000000,7000000,0,19425000000,47021000000,1716000000,716000000,716000000,1.02,1.02,0.855,1289000000,-2399000000,1596000000,486000000,878000000,2160000000,79.87,83.59,76.14,0.0535,0.0167,58.84,1.36,25.6,73.55,1.0812,1.1419,0.3071,0.1154,0.15,-1.24,0.7317
2016-12-31,699607929,699607929,1,132761000000,8039000000,91720000000,11551000000,41033000000,8000000,0,19651000000,45576000000,4816000000,-227000000,-227000000,-0.33,-0.33,0.85,None,None,None,-5313000000,392000000,1247000000,76.41,80.49,72.34,0.0534,0.017,58.65,1.3,18.41,72.7,1.0783,1.1107,0.3091,0.0946,0.18,None,0.696
2016-09-30,688941372,688941372,1,129686000000,13534000000,89140000000,12076000000,40489000000,57000000,0,16354000000,43964000000,6821000000,1176000000,1176000000,1.7,1.7,0.855,2386000000,-1947000000,5064000000,5503000000,6179000000,1845000000,82.83,87.75,77.9,0.0714,0.0231,58.77,1.43,21.8,71.85,0.8043,1.0858,0.3122,0.1228,0.19,0.79,1.1207
