"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,615026583,615026583,1,21071000000,7152000000,12499000000,6714000000,8526000000,46000000,0,9210000000,3786000000,4570000000,520000000,520000000,0.85,0.84,0.49,533000000,-318000000,-96000000,136000000,1384000000,119000000,63.83,69.42,58.23,0.2713,0.1124,13.86,4.76,17.78,28.52,0.522,0.4441,0.4046,0.1281,0.88,0.67,1.0652
2018-12-31,614619859,614619859,1,20429000000,6658000000,12153000000,7540000000,8236000000,40000000,0,9182000000,2641000000,4147000000,465000000,465000000,0.74,0.74,0.49,323000000,-259000000,98000000,155000000,1248000000,155000000,67.54,79.7,55.38,0.2671,0.1123,13.4,4.73,19.52,28.03,0.5326,0.3207,0.4032,0.1283,0.88,0.27,0.883
2018-09-30,626158598,626158598,1,20390000000,6619000000,11400000000,6164000000,8947000000,43000000,0,9206000000,3137000000,4888000000,617000000,617000000,0.98,0.97,0.48,1024000000,-1788000000,-1532000000,-2318000000,1093000000,303000000,73.28,78.75,67.81,0.2577,0.1094,14.29,5.47,22.41,27.54,0.5533,0.3506,0.4388,0.1266,0.86,1.15,1.0738
2018-06-30,628465551,628465551,1,20487000000,8576000000,12027000000,6954000000,8413000000,47000000,0,7902000000,3126000000,4456000000,712000000,712000000,1.13,1.12,0.485,924000000,-147000000,283000000,967000000,3411000000,120000000,69.75,74.36,65.14,0.2461,0.1049,13.39,5.17,25,27.06,0.5868,0.3716,0.4107,0.1233,0.85,1.28,1.2332
2018-03-31,630090112,630090112,1,19785000000,7725000000,11248000000,5945000000,8492000000,45000000,0,8024000000,3357000000,4248000000,482000000,482000000,0.76,0.76,0.485,497000000,-393000000,-812000000,-652000000,2444000000,98000000,70.22,74.45,66,0.2137,0.0911,13.48,5.34,28.31,26.58,0.6861,0.3953,0.4292,0.1083,0.84,0.63,1.2994
2017-12-31,634837581,634837581,1,19858000000,8152000000,11470000000,6192000000,8349000000,39000000,0,7734000000,3375000000,3816000000,392000000,392000000,0.61,0.61,0.485,447000000,-392000000,-31000000,34000000,3096000000,96000000,63.84,70.21,57.47,0.1938,0.0841,13.15,4.7,27.17,26.09,0.7698,0.4042,0.4204,0.1009,0.83,0.55,1.3165
2017-09-30,641819838,641819838,1,19589000000,8252000000,10819000000,5045000000,8718000000,52000000,0,7206000000,3794000000,4435000000,504000000,504000000,0.78,0.78,0.48,854000000,-177000000,-814000000,-78000000,3062000000,176000000,61,64.18,57.81,0.1874,0.0823,13.58,4.9,27.11,25.61,0.8131,0.4352,0.445,0.0994,0.83,1.06,1.6357
2017-06-30,640019616,640019616,1,19402000000,8554000000,11380000000,5370000000,7966000000,56000000,0,7164000000,3797000000,4039000000,413000000,413000000,0.64,0.64,0.48,648000000,-3100000000,505000000,-1899000000,3140000000,106000000,59.2,61.63,56.77,0.1858,0.0765,12.45,4.77,25.19,25.13,0.8504,0.4767,0.4106,0.0984,0.78,0.85,1.5929
2017-03-31,644480132,644480132,1,17277000000,9446000000,9220000000,3771000000,8006000000,51000000,0,4760000000,3816000000,3574000000,292000000,292000000,0.45,0.45,0.48,172000000,1033000000,-362000000,888000000,5039000000,94000000,59.88,64.36,55.4,0.1947,0.0773,12.42,5.01,24.24,24.65,0.8124,0.4766,0.4634,0.0958,0.81,0.12,2.5049
2016-12-31,645064675,645064675,1,17471000000,8877000000,9717000000,4146000000,7713000000,41000000,0,4740000000,3815000000,3216000000,309000000,309000000,0.48,0.48,0.48,238000000,3758000000,-2920000000,969000000,4151000000,100000000,53.75,58.28,49.22,0.2066,0.0768,11.96,4.57,21.33,24.17,0.7708,0.4946,0.4415,0.0927,0.83,0.21,2.1411
