"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2012-03-31,774039108,774039108,1,24378000000,1615000000,17096000000,1936000000,4496000000,2786000000,0,0,12620000000,1260000000,86000000,86000000,0.11,0.11,0.01,516000000,-457000000,52000000,111000000,305000000,509000000,28.05,30.3,25.8,0.0369,0.0066,5.81,4.98,155.83,4.77,0.1872,2.8069,0.1844,0.0322,0.21,0.01,0.8342
2011-12-31,772860126,772860126,1,24314000000,1577000000,17179000000,2148000000,4354000000,2781000000,0,0,12605000000,1232000000,185000000,185000000,0.24,0.24,0.01,484000000,-715000000,35000000,-196000000,194000000,1350000000,21.46,26.62,16.3,0.032,0.0056,5.63,3.78,715.33,4.76,0.2187,2.895,0.1791,0.029,0.19,-1.12,0.7342
2011-09-30,771195525,771195525,1,24078000000,1627000000,16923000000,2242000000,4376000000,2779000000,0,0,12531000000,1403000000,-368000000,-368000000,-0.48,-0.48,0.01,621000000,-484000000,-7000000,130000000,390000000,403000000,18.91,21.18,16.64,0.0042,0.0011,5.67,3.12,27.01,4.75,1.6751,2.8636,0.1817,0.0039,0.18,0.28,0.7257
2011-06-30,770247634,770247634,1,26958000000,1552000000,19511000000,2567000000,4670000000,2777000000,0,0,13594000000,1236000000,262000000,262000000,0.34,0.34,0.01,465000000,-1010000000,563000000,18000000,260000000,927000000,19.13,21.54,16.72,0.1247,0.0209,6.06,3.5,33.56,4.74,0.0568,2.9109,0.1732,0.1174,0.17,-0.6,0.6046
2011-03-31,768967144,768967144,1,25857000000,1391000000,19200000000,2410000000,4210000000,2447000000,0,0,13566000000,989000000,62000000,62000000,0.09,0.08,0.01,531000000,-1089000000,453000000,-105000000,242000000,1089000000,16.09,18.77,13.42,0.1029,0.0175,5.47,2.89,16.09,4.73,0.0713,3.2223,0.1628,0.0961,0.17,-0.73,0.5772
2010-12-31,704754155,704754155,1,25270000000,1552000000,19206000000,2565000000,3917000000,2147000000,0,0,13517000000,984000000,71000000,62000000,0.09,0.09,0.01,341000000,-1241000000,438000000,-462000000,347000000,899000000,13.04,14.08,12,0.1911,0.0315,5.56,2.38,10.03,4.72,0.0391,3.4509,0.155,0.1562,0.19,-0.79,0.6051
2010-09-30,704142559,704142559,1,24507000000,1969000000,18906000000,2714000000,3849000000,1752000000,0,0,13134000000,1213000000,142000000,133000000,0.19,0.19,0.01,518000000,-1122000000,706000000,102000000,809000000,1117000000,11.77,12.93,10.6,0.257,0.0411,5.47,2.22,9.89,4.71,0.0304,3.4123,0.1571,0.1915,0.21,-0.85,0.7255
2010-06-30,704007309,704007309,1,23375000000,1880000000,18302000000,2693000000,3728000000,1345000000,0,0,13083000000,1018000000,157000000,147000000,0.21,0.21,0.01,416000000,-451000000,27000000,-8000000,707000000,761000000,11.59,13,10.17,0.2519,0.0388,5.3,2.26,10.63,4.7,0.0661,3.5094,0.1595,0.1848,0.2,-0.49,0.6981
2010-03-31,703741156,703741156,1,23191000000,2095000000,18567000000,2699000000,3601000000,1023000000,0,0,13416000000,1401000000,388000000,379000000,0.54,0.51,0.01,570000000,-839000000,349000000,80000000,715000000,833000000,10.57,11.59,9.55,0.2455,0.0366,5.12,2.31,None,4.69,0.1078,3.7256,0.1553,0.1717,0.2,-0.37,0.7762
2009-12-31,701318796,701318796,1,22505000000,2008000000,18514000000,2686000000,3206000000,785000000,0,0,13391000000,1193000000,274000000,265000000,0.39,0.39,0.01,334000000,-779000000,-41000000,-486000000,635000000,729000000,10.15,11.37,8.94,-0.1906,-0.0243,4.57,2.42,None,4.68,None,4.1769,0.1425,None,0.21,-0.56,0.7476
2009-09-30,701270947,701270947,1,22157000000,2425000000,18433000000,2455000000,2946000000,778000000,0,0,13633000000,981000000,67000000,58000000,0.08,0.08,0.05,608000000,-736000000,279000000,151000000,1121000000,718000000,9.43,10.85,8,-0.783,-0.1108,4.2,2.22,None,4.67,None,4.6276,0.133,None,0.21,-0.16,0.9878
2009-06-30,701196377,701196377,1,21643000000,2471000000,17924000000,2062000000,2970000000,749000000,0,0,13477000000,973000000,89000000,79000000,0.11,0.11,0.05,364000000,-530000000,-705000000,-871000000,970000000,604000000,8.5,10.91,6.1,-0.5347,-0.0898,4.24,2.01,None,4.62,None,4.5377,0.1372,None,0.23,-0.34,1.1984
2009-03-31,701004510,701004510,1,22424000000,3550000000,18898000000,2842000000,2963000000,563000000,0,0,13541000000,1484000000,-969000000,-978000000,-1.41,-1.41,0.05,809000000,-536000000,544000000,817000000,1841000000,759000000,7.37,9.52,5.22,-0.4422,-0.0823,4.23,1.28,None,4.57,None,4.57,0.1321,None,0.23,0.07,1.2491
2008-12-31,698613542,698613542,1,23668000000,3051000000,19072000000,3243000000,4035000000,561000000,0,0,12818000000,1343000000,-1678000000,-1687000000,-2.44,-2.44,0.05,319000000,-831000000,376000000,-136000000,1024000000,852000000,8.95,12.57,5.32,-0.1654,-0.0329,5.78,1.02,6.68,4.52,None,3.1767,0.1705,None,0.21,-0.76,0.9408
2008-09-30,698562656,698562656,1,26426000000,2999000000,19752000000,3380000000,6115000000,559000000,0,0,12258000000,1598000000,445000000,436000000,0.63,0.58,0.05,733000000,-708000000,861000000,886000000,1160000000,730000000,16.86,22.47,11.25,0.1774,0.0402,8.75,2.22,17.56,4.47,0.1218,2.0046,0.2314,0.1852,0.21,0,0.8873
2008-06-30,701202029,701202029,1,25226000000,2374000000,19357000000,4067000000,5324000000,545000000,0,0,11223000000,1153000000,191000000,191000000,0.27,0.25,0.04,684000000,-618000000,-290000000,-224000000,274000000,644000000,18.95,22.1,15.8,0.1314,0.0294,7.59,2.5,20.38,4.42,0.1631,2.108,0.2111,0.1419,0.2,0.06,0.5837
2008-03-31,702325215,702325215,1,24666000000,2128000000,18790000000,2670000000,5329000000,547000000,0,0,12322000000,1269000000,219000000,200000000,0.29,0.29,0.04,634000000,-191000000,-230000000,213000000,498000000,531000000,16.55,18.27,14.83,0.1275,0.0291,7.59,2.2,10.82,4.38,0.1718,2.3123,0.216,0.1334,0.2,0.15,0.797
2007-12-31,700784034,700784034,1,24579000000,1712000000,18734000000,2413000000,5280000000,565000000,0,0,12483000000,1262000000,160000000,151000000,0.21,0.22,0.04,343000000,-704000000,257000000,-104000000,285000000,699000000,16.83,18.37,15.29,0.2162,0.0472,7.53,2.35,15.73,4.34,0.1045,2.3642,0.2148,0.2309,0.2,-0.51,0.7095
