"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,127453654,127453654,1,8132514000,None,5358702000,None,2384149000,389663000,0,0,5104672000,311546000,94770000,94603000,0.74,0.74,0.86,169339000,-246975000,51774000,-25862000,46828000,229580000,94.88,102.78,86.99,0.1766,0.0536,18.71,5,29.02,21.82,1.037,2.1411,0.2932,0.3444,0.16,-0.47,None
2018-12-31,127298501,127298501,1,7847978000,None,5062556000,None,2413724000,371698000,0,0,4811515000,307353000,101462000,101329000,0.81,0.8,0.86,148768000,-126869000,-15792000,6107000,72690000,115380000,91.84,99.99,83.7,0.1746,0.0539,18.96,4.85,22.24,20.96,1.0262,1.9934,0.3076,0.3465,0.16,0.26,None
2018-09-30,126515354,126515354,1,7798690000,None,5028596000,None,2395719000,374375000,0,0,4761455000,306953000,130418000,130199000,1.03,1.02,0.86,189285000,-87934000,-103874000,-2523000,66583000,56011000,93.23,101.14,85.33,0.2243,0.0696,18.94,5.04,24.22,20.1,0.7834,1.9875,0.3072,0.4516,0.15,1.05,None
2018-06-30,126502100,126502100,1,7721949000,None,5006147000,None,2341950000,373852000,0,0,4767495000,296813000,95153000,94960000,0.75,0.75,0.86,168134000,-198167000,45075000,15042000,69106000,179907000,93.34,101.95,84.73,0.2128,0.0663,18.51,5.02,24.63,19.24,0.8203,2.0357,0.3033,0.4286,0.15,-0.09,None
2018-03-31,126109268,126109268,1,7470624000,None,4753978000,None,2343754000,372892000,0,0,4514363000,285485000,88256000,88078000,0.7,0.7,0.78,171608000,-30928000,-172660000,-31980000,54064000,87606000,83,88.48,77.53,0.212,0.0668,18.59,4.45,22.25,18.38,0.8124,1.9261,0.3137,0.4293,0.16,0.67,None
2017-12-31,126037528,126037528,1,7455137000,None,4731330000,None,2350751000,373056000,0,0,4554217000,281842000,215961000,215581000,1.7,1.66,0.78,147746000,-281812000,126017000,-8049000,55683000,253805000,82.56,88.56,76.55,0.2119,0.067,18.65,4.7,30.46,17.6,0.8224,1.9373,0.3153,0.4326,0.15,-0.84,None
2017-09-30,126007803,126007803,1,7086955000,None,4513230000,None,2215266000,358459000,0,0,4313012000,284156000,93764000,93573000,0.74,0.74,0.78,160580000,-38710000,-89786000,32084000,63732000,37846000,78.47,83.23,73.7,0.1546,0.0489,17.58,4.45,27.06,16.82,1.1402,1.9469,0.3126,0.3179,0.15,0.97,None
2017-06-30,126000114,126000114,1,7037463000,None,4458780000,None,2221791000,356892000,0,0,4288709000,276003000,87006000,86799000,0.69,0.69,0.78,175928000,-48944000,-124647000,2337000,31648000,43260000,76.28,81.21,71.34,0.1658,0.053,17.63,4.3,26.58,16.04,1.0648,1.9303,0.3157,0.349,0.15,1.05,None
2017-03-31,125964453,125964453,1,7034357000,None,4448542000,None,2236116000,349699000,0,0,4291455000,263008000,82282000,82085000,0.65,0.64,0.78,113121000,-90000,-127578000,-14547000,29311000,45674000,75.91,80.36,71.47,0.166,0.0535,17.75,4.26,26.27,15.26,1.0759,1.9192,0.3179,0.3559,0.15,0.54,None
2016-12-31,125912481,125912481,1,7091446000,None,4495280000,None,2244892000,351274000,0,0,4306223000,261016000,82403000,82238000,0.66,0.64,0.78,153104000,-327725000,199787000,25166000,43858000,330214000,73.22,77.66,68.78,0.1679,0.0551,17.83,4.19,31.7,14.48,1.0082,1.9182,0.3166,0.3683,0.15,-1.41,None
