"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,101197031,101197031,1,1688050000,338372000,573534000,151809000,710540000,403976000,0,1148063000,125000000,321479000,62724000,60320000,0.62,0.62,0.27,95665000,-16089000,-31590000,45476000,180564000,3804000,31.59,33.77,29.4,0.3136,0.1492,7.02,4.49,14.9,21.41,0.4755,0.1759,0.4209,0.1842,0.78,0.91,2.2289
2019-03-31,101226123,101226123,1,1635176000,278351000,551237000,131692000,711539000,372400000,0,1156809000,130000000,307050000,54546000,52411000,0.54,0.54,0.27,16758000,-5441000,-35919000,-22338000,135088000,5060000,27.59,30.58,24.59,0.2757,0.1435,7.03,4.12,12.66,21.14,0.5281,0.1827,0.4351,0.1749,0.79,0.12,2.1137
2018-12-31,100801549,100801549,1,1543683000,304101000,504049000,181180000,674608000,365026000,0,1149247000,135000000,307216000,61536000,59720000,0.61,0.61,0.27,119912000,-11014000,-63884000,45014000,157426000,5374000,24.66,27.18,22.14,0.2776,0.1579,6.69,3,8.62,20.87,0.505,0.2001,0.437,0.1864,0.81,1.14,1.6784
2018-09-30,100500180,100500180,1,1523657000,271622000,503549000,164301000,827364000,192744000,0,1160824000,160000000,308616000,59608000,56773000,0.59,0.59,0.27,-50016000,-157932000,-50284000,-258232000,117523000,6503000,23.77,25.48,22.06,0.3554,0.2207,8.23,3.08,8.4,20.6,0.3765,0.1934,0.543,0.2519,0.84,-0.56,1.6532
2018-06-30,100772162,100772162,1,1276315000,484180000,456206000,135060000,778141000,41968000,0,736629000,178000000,255993000,38822000,37293000,0.38,0.38,0.27,88290000,-2404000,-36347000,49539000,375755000,2291000,28.14,33.47,22.82,0.3727,0.2334,7.72,3.7,9.44,20.33,0.3731,0.2288,0.6097,0.2566,0.87,0.85,3.5849
2018-03-31,101445577,101445577,1,1235327000,441013000,407053000,99635000,770966000,57308000,0,736772000,165000000,263852000,60331000,57956000,0.6,0.6,0.25,48096000,-3089000,-35600000,9407000,326216000,3106000,33.91,36.76,31.07,0.412,0.2523,7.6,4.5,11.82,20.06,0.3487,0.214,0.6241,0.2654,0.91,0.44,4.4263
2017-12-31,100993808,100993808,1,1231410000,437274000,440032000,128849000,761215000,30163000,0,736915000,170000000,278312000,131810000,126733000,1.29,1.29,0.25,79654000,109996000,-34796000,154854000,316264000,3008000,33.16,36.67,29.66,0.421,0.2486,7.54,5.12,15.64,19.81,0.362,0.2233,0.6182,0.2538,0.94,0.76,3.3937
2017-09-30,100902690,100902690,1,1181508000,385689000,498720000,115814000,653797000,28991000,0,737059000,350000000,278315000,56439000,54219000,0.56,0.56,0.25,91795000,-162000,-45391000,46242000,161410000,3330000,28.23,30.03,26.42,0.333,0.187,6.48,4.53,13.44,19.56,0.9791,0.5353,0.5534,0.1862,0.97,0.88,3.3302
2017-06-30,101454914,101454914,1,1140791000,344383000,478500000,94679000,631629000,30662000,0,737202000,178500000,272796000,53451000,51292000,0.53,0.53,0.25,65904000,2821000,-48186000,20539000,115168000,1328000,26.78,28.32,25.24,0.3275,0.1837,6.23,4.46,12.88,19.31,0.987,0.2826,0.5537,0.1824,0.97,0.64,3.6374
2017-03-31,101959188,101959188,1,1133216000,335474000,490336000,127573000,612690000,30190000,0,660040000,159375000,273501000,49641000,47677000,0.49,0.49,0.25,33024000,5314000,-48548000,-10210000,94629000,2133000,27.05,29.17,24.93,0.3218,0.1808,6.01,4.62,13.33,19.06,0.9924,0.2601,0.5407,0.1795,0.97,0.3,2.6297
2016-12-31,101706183,101706183,1,1155107000,359760000,527961000,162538000,594826000,32320000,0,660859000,165750000,289904000,56027000,54369000,0.54,0.54,1.25,77253000,-3510000,-154008000,-80265000,104839000,2448000,27.24,29.96,24.52,0.3092,0.175,5.85,4.1,14.04,18.81,1.0158,0.2787,0.515,0.176,0.96,0.74,2.2134
2016-09-30,102221183,102221183,1,1230517000,432491000,519679000,152334000,679660000,31178000,0,659189000,172125000,294620000,54925000,52890000,0.54,0.54,0.25,86366000,3779000,-58901000,31244000,185104000,3314000,30.41,33.13,27.69,0.2902,0.1668,6.65,4.69,16.71,17.56,0.5359,0.2533,0.5523,0.1757,0.91,0.81,2.8391
2016-06-30,103122637,103122637,1,1199837000,406439000,501060000,135076000,667784000,30993000,0,659189000,178500000,286738000,52709000,50591000,0.51,0.51,0.25,63507000,-4433000,-52976000,6098000,153860000,3820000,29.71,32.81,26.6,0.2791,0.1603,6.48,4.67,17.37,17.31,0.5692,0.2673,0.5566,0.1758,0.88,0.58,3.009
2016-03-31,103984987,103984987,1,1190614000,398590000,501884000,131626000,661382000,27348000,0,659315000,184875000,272109000,45258000,43437000,0.44,0.44,0.25,25645000,-4030000,-46481000,-24866000,147762000,3257000,25.96,29.16,22.76,0.2668,0.1529,6.36,4.16,16.02,17.06,0.6062,0.2795,0.5555,0.1756,0.84,0.22,3.0282
2015-12-31,103860327,103860327,1,1187203000,395828000,529497000,159208000,647816000,9890000,0,734492000,0,243639000,47610000,45832000,0.45,0.45,0.25,80961000,1578000,-51068000,31471000,172628000,1408000,29.76,32.01,27.51,0.2576,0.1475,6.24,4.87,19.32,16.81,0.6397,0,0.5457,0.1761,0.8,0.77,2.4862
2015-09-30,104112163,104112163,1,1156700000,362894000,510545000,141661000,635611000,10544000,0,659315000,0,234321000,44131000,42440000,0.42,0.42,0.25,79643000,-2161000,-45412000,32070000,141157000,1388000,31.41,34.53,28.28,0.2492,0.142,6.11,5.21,21.22,16.56,0.673,0,0.5495,0.1726,0.79,0.75,2.5617
