"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,780866098,780866098,1,27575000000,6311000000,14054000000,3416000000,13425000000,96000000,2300000000,3178000000,6080000000,2940000000,105000000,68000000,0.09,0.09,0.2,153000000,-551000000,131000000,-278000000,1178000000,570000000,31.97,35.34,28.6,0.1239,0.0559,14.25,2.22,13.9,9.06,0.4247,0.5465,0.4034,0.1195,0.43,-0.53,1.8475
2019-03-31,784754231,784754231,1,27321000000,6349000000,13615000000,3059000000,13607000000,99000000,2300000000,3195000000,6018000000,2812000000,499000000,475000000,0.61,0.55,0.2,-29000000,-483000000,-393000000,-899000000,1456000000,524000000,31.66,35.31,28,0.1789,0.0803,14.41,2.17,30.74,8.86,0.2862,0.5322,0.4139,0.1772,0.43,-0.7,2.0755
2018-12-31,786761073,786761073,1,27505000000,7034000000,13619000000,3311000000,13792000000,94000000,2300000000,3228000000,5994000000,3035000000,292000000,266000000,0.34,0.3,0.18,941000000,-621000000,121000000,452000000,2355000000,613000000,31.8,35.92,27.67,0.0828,0.0399,14.61,2.2,None,8.66,0.6002,0.5216,0.4178,0.0857,0.42,0.42,2.1244
2018-09-30,800399090,800399090,1,26392000000,6632000000,12414000000,3112000000,13890000000,88000000,2300000000,3239000000,5056000000,3008000000,625000000,601000000,0.75,0.67,0.18,943000000,-511000000,-538000000,-120000000,1903000000,452000000,31.89,36.56,27.22,-0.0605,-0.0239,14.48,2.23,None,8.48,None,0.4362,0.4391,None,0.41,0.61,2.1311
2018-06-30,810015005,810015005,1,26140000000,6484000000,12189000000,2908000000,13877000000,74000000,2300000000,3250000000,5099000000,2747000000,738000000,714000000,0.87,0.78,0.18,715000000,-1111000000,-619000000,-1073000000,2023000000,522000000,27.61,29.1,26.11,-0.0745,-0.0322,14.29,1.89,None,8.3,None,0.4404,0.4429,None,0.39,0.24,2.2297
2018-03-31,830348853,830348853,1,26834000000,7663000000,12346000000,2995000000,14413000000,75000000,2300000000,2549000000,4808000000,2500000000,-589000000,-613000000,-0.72,-0.72,0.18,320000000,-644000000,-959000000,-1221000000,3096000000,655000000,31.15,35.1,27.19,-0.0903,-0.0425,14.59,1.99,None,8.12,None,0.3969,0.4514,None,0.37,-0.4,2.5586
2017-12-31,857453098,857453098,1,27494000000,8827000000,11724000000,3209000000,15698000000,72000000,2300000000,2563000000,4749000000,2637000000,-1412000000,-1438000000,-1.66,-1.66,0.16,888000000,-492000000,-29000000,452000000,4317000000,557000000,31.16,32.81,29.52,-0.0396,-0.0178,15.63,1.8,14.04,7.94,None,0.3545,0.4873,None,0.36,0.39,2.7507
2017-09-30,869057436,869057436,1,28094000000,8254000000,10711000000,3065000000,17317000000,66000000,2300000000,2575000000,3994000000,2607000000,390000000,366000000,0.41,0.39,0.155,645000000,-584000000,-457000000,-324000000,3865000000,486000000,29.94,32.17,27.71,0.1533,0.0887,17.28,1.72,14.33,7.78,0.2291,0.266,0.5345,0.1967,0.43,0.18,2.693
2017-06-30,903183646,903183646,1,27830000000,8431000000,9750000000,2808000000,18012000000,68000000,2300000000,2450000000,3302000000,2497000000,439000000,415000000,0.46,0.42,0.155,280000000,-308000000,-750000000,-655000000,4189000000,397000000,28.45,30.59,26.32,0.1456,0.0844,17.4,1.64,8.04,7.62,0.237,0.2102,0.5646,0.1895,0.43,-0.13,3.0025
2017-03-31,920231627,920231627,1,28305000000,8718000000,9926000000,2421000000,18308000000,71000000,2300000000,2444000000,3669000000,2375000000,86000000,62000000,0.07,0.07,0.155,191000000,-326000000,-388000000,-447000000,4844000000,364000000,26.24,28.36,24.12,0.2519,0.1435,17.4,1.56,8.44,7.47,0.1335,0.2292,0.5656,0.3877,0.36,-0.19,3.601
