"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,503465078,503465078,1,104306000000,None,88714000000,None,13757000000,1835000000,0,0,0,2156000000,168000000,168000000,0.33,0.33,0,661000000,-628000000,-320000000,-283000000,1938000000,0,3.46,4.03,2.89,0.0122,0.0016,27.32,0.13,9.61,1.36,0,0,0.1319,0.0187,0.08,1.31,None
2019-03-31,503314344,503314344,1,102188000000,None,87306000000,None,13074000000,1808000000,0,265000000,4035000000,2204000000,174000000,174000000,0.35,0.34,0,134000000,277000000,-375000000,44000000,2221000000,0,4.29,5.02,3.55,0.0141,0.0018,25.98,0.17,17.88,1.36,0,0.3086,0.1279,0.0212,0.08,0.27,None
2018-12-31,500900866,500900866,1,100923000000,None,86734000000,None,12450000000,1739000000,0,347000000,4025000000,2013000000,-329000000,-329000000,-0.65,-0.65,0,660000000,-691000000,-271000000,-328000000,2177000000,0,4.26,4.93,3.6,0.0093,0.0012,24.86,0.17,2.66,1.36,0,0.3233,0.1234,0.0141,0.08,1.32,None
2018-09-30,500757037,500757037,1,102121000000,None,87500000000,None,12798000000,1823000000,0,355000000,4051000000,2143000000,146000000,146000000,0.29,0.29,0,412000000,267000000,-407000000,262000000,2505000000,0,4.37,4.75,3.98,0.0614,0.0077,25.56,0.17,2.88,1.36,0,0.3165,0.1253,0.0989,0.08,0.82,None
2018-06-30,500679748,500679748,1,102477000000,None,87736000000,None,12910000000,1831000000,0,354000000,4047000000,2159000000,190000000,190000000,0.38,0.38,0,452000000,-31000000,-990000000,-600000000,2243000000,0,3.79,4.92,2.66,0.0582,0.0073,25.78,0.15,2.46,1.36,0,0.3135,0.126,0.0932,0.08,0.9,None
2018-03-31,500624199,500624199,1,103773000000,None,88911000000,None,13018000000,1844000000,0,339000000,4654000000,2115000000,112000000,112000000,0.22,0.22,0,109000000,-167000000,47000000,-32000000,2843000000,0,3.04,3.4,2.67,0.0589,0.0074,26,0.11,1.87,1.36,0,0.3575,0.1254,0.0939,0.08,0.22,None
2017-12-31,499195293,499195293,1,105297000000,None,89969000000,None,13418000000,1910000000,0,301000000,4224000000,1686000000,353000000,353000000,0.72,0.71,0,622000000,-81000000,-498000000,39000000,2875000000,0,3.57,4.03,3.11,0.0625,0.0078,26.88,0.14,5.41,1.36,0,0.3148,0.1274,0.0985,0.08,1.25,None
2017-09-30,499158848,499158848,1,104629000000,None,89542000000,None,13069000000,2018000000,0,315000000,4224000000,2215000000,107000000,107000000,0.21,0.21,0,624000000,-155000000,-515000000,-17000000,2836000000,0,3.72,4.15,3.29,0.0265,0.0033,26.18,0.14,None,1.36,0,0.3232,0.1249,0.0388,0.08,1.25,None
2017-06-30,499143133,499143133,1,105016000000,None,90020000000,None,13018000000,1978000000,0,334000000,4205000000,2223000000,202000000,202000000,0.4,0.4,0,653000000,-381000000,-451000000,-165000000,2853000000,0,3.84,4.23,3.45,-0.0109,-0.0014,26.08,0.15,None,1.36,None,0.323,0.124,None,0.08,1.31,None
2017-03-31,498948884,498948884,1,104686000000,None,89970000000,None,12812000000,1904000000,0,381000000,4194000000,2171000000,155000000,155000000,0.31,0.31,0,655000000,-142000000,-304000000,234000000,3018000000,0,3.71,4.18,3.23,-0.0126,-0.0016,25.68,0.15,None,1.36,None,0.3273,0.1224,None,0.08,1.31,None
2016-12-31,498424216,498424216,1,104658000000,None,90191000000,None,12644000000,1823000000,0,348000000,4180000000,2198000000,-122000000,-122000000,-0.26,-0.26,0,54000000,-70000000,-232000000,-294000000,2784000000,0,4.54,5.27,3.81,-0.0195,-0.0026,25.37,0.15,None,1.36,None,0.3306,0.1208,None,0.08,0.11,None
2016-09-30,498369894,498369894,1,108852000000,None,92103000000,None,14871000000,1878000000,0,258000000,4194000000,2150000000,-380000000,-380000000,-0.76,-0.76,0,732000000,-766000000,-351000000,-379000000,3078000000,0,3.75,5.23,2.26,-0.0314,-0.0042,29.84,0.12,None,1.36,None,0.282,0.1366,None,0.08,1.47,None
2016-06-30,498336235,498336235,1,108206000000,None,91197000000,None,15133000000,1876000000,0,267000000,4191000000,2236000000,172000000,172000000,0.35,0.34,0,810000000,-1029000000,-407000000,-627000000,3457000000,0,3.32,4.2,2.43,-0.0253,-0.0033,30.37,0.12,None,1.36,None,0.2769,0.1399,None,0.08,1.63,None
2016-03-31,498470047,498470047,1,107173000000,None,91200000000,None,14055000000,1918000000,0,291000000,4542000000,1785000000,53000000,53000000,0.11,0.11,0,256000000,-255000000,-1941000000,-1909000000,4084000000,0,2.73,3.88,1.57,-0.0529,-0.0066,28.2,0.11,None,1.36,None,0.3232,0.1311,None,0.07,0.51,None
