"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,146078369,146078369,1,14639472000,8184670000,10951497000,6498228000,3665328000,22647000,0,3847167000,2871106000,4934260000,224430000,224430000,1.54,1.53,0.7625,239645000,-279960000,243487000,205626000,562551000,61091000,105.2,115.2,95.21,0.2218,0.0586,25.09,4.33,19.52,40.55,0.5476,0.7833,0.2504,0.0417,1.41,1.22,1.2595
2019-03-31,146063911,146063911,1,14070530000,7886391000,10497698000,6545334000,3550931000,21901000,0,3641995000,2389244000,4736833000,160250000,160250000,1.1,1.09,0.7625,61730000,-184038000,145679000,23378000,356925000,45621000,102.58,112.18,92.97,0.2249,0.0611,24.31,4.34,18.65,39.79,0.5387,0.6729,0.2524,0.0421,1.45,0.11,1.2049
2018-12-31,145943765,145943765,1,12683040000,7575690000,9211049000,5900733000,3450451000,21540000,0,3540418000,2432133000,4603792000,186699000,186699000,1.28,1.27,0.72,219638000,-250194000,13217000,-25558000,333547000,125815000,98.47,105.89,91.04,0.2302,0.064,23.64,4,19.85,39.03,0.5208,0.7049,0.2721,0.0433,1.48,0.64,1.2839
2018-09-30,146759273,146759273,1,12657119000,7550495000,8994040000,5661189000,3611054000,52025000,0,3518470000,2463452000,4722922000,220227000,220227000,1.5,1.49,0.72,470451000,-98239000,-366169000,3964000,359105000,26796000,96.43,102.49,90.37,0.2085,0.0581,24.61,4.03,21.19,38.31,0.5674,0.6822,0.2853,0.0399,1.46,3.02,1.3337
2018-06-30,146752732,146752732,1,12566522000,7523369000,9004195000,5656894000,3511972000,50355000,0,3498971000,2490552000,4822065000,226972000,226972000,1.55,1.54,0.72,316708000,-77470000,-200393000,29168000,355141000,33513000,90.66,95.52,85.8,0.1941,0.0568,23.93,3.79,21.08,37.59,0.6097,0.7092,0.2795,0.0378,1.5,1.93,1.3299
2018-03-31,146737803,146737803,1,12759394000,7581612000,9198013000,5757472000,3510079000,51302000,0,3618426000,2564111000,4586294000,176576000,176576000,1.2,1.2,0.72,138367000,-70221000,-55485000,11074000,325973000,31633000,97.1,107.75,86.45,0.1864,0.0575,23.92,4.18,23.23,36.87,0.635,0.7305,0.2751,0.0373,1.54,0.73,1.3168
2017-12-31,146734604,146734604,1,12412381000,7312893000,8948225000,5474025000,3412152000,52004000,0,3554380000,2550020000,4207076000,108183000,108183000,0.74,0.73,0.67,272686000,-1243746000,1073749000,104817000,314899000,38304000,91.67,98.63,84.71,0.1855,0.0609,23.25,3.98,20.51,36.15,0.6419,0.7473,0.2749,0.0378,1.61,1.6,1.3359
2017-09-30,146613496,146613496,1,9494234000,6316608000,6104106000,4802667000,3378235000,11893000,0,1713569000,550000000,4095906000,158442000,158442000,1.08,1.08,0.675,197073000,-92223000,-102760000,6937000,210082000,43086000,88.75,97.65,79.86,0.2022,0.0716,23.04,3.96,19.17,35.48,0.5982,0.1628,0.3558,0.0416,1.72,1.05,1.3152
2017-06-30,146830997,146830997,1,9412144000,6301416000,6110801000,4801167000,3288124000,13219000,0,1677748000,550000000,4100178000,189972000,189972000,1.29,1.29,0.675,243464000,-163269000,-57738000,25228000,203145000,29289000,92.38,95.87,88.88,0.2113,0.076,22.39,4.23,20,34.8,0.5732,0.1673,0.3493,0.0437,1.74,1.46,1.3125
2017-03-31,147394019,147394019,1,9166826000,6194062000,5934482000,4579833000,3218973000,13371000,0,1608466000,550000000,3905641000,160160000,160160000,1.08,1.08,0.675,101820000,-131042000,-41192000,-64962000,177917000,24806000,96.42,100.9,91.93,0.2126,0.0779,21.84,4.48,21.01,34.13,0.5703,0.1709,0.3512,0.0444,1.75,0.52,1.3525
