"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,377971511,377971511,1,13620000000,4212000000,10049000000,2831000000,3571000000,0,0,0,1249000000,3706000000,227000000,227000000,0.6,0.6,0.2425,29000000,-340000000,-151000000,-462000000,958000000,288000000,27.86,31.39,24.33,0.3067,0.1126,9.45,2.97,10.76,9.32,0.3455,0.3498,0.2622,0.0646,1.74,-0.69,1.4878
2019-02-02,378598205,378598205,1,8049000000,4251000000,4496000000,2174000000,3553000000,0,0,201000000,1249000000,4623000000,276000000,276000000,0.73,0.72,0.24,814000000,-188000000,-185000000,444000000,1420000000,195000000,26.34,28.44,24.25,0.2965,0.1261,9.38,2.92,11.02,9.08,0.3695,0.3515,0.4414,0.0605,2.08,1.63,1.9554
2018-11-03,381434098,381434098,1,8173000000,4714000000,4733000000,2393000000,3440000000,0,0,0,1249000000,4089000000,266000000,266000000,0.69,0.69,0.2425,21000000,-195000000,-188000000,-364000000,976000000,184000000,29.13,32.98,25.27,0.2841,0.1174,9.02,3.36,12.78,8.84,0.3962,0.3631,0.4209,0.0557,2.11,-0.43,1.9699
2018-08-04,384708284,384708284,1,8010000000,4590000000,4670000000,2341000000,3340000000,0,0,0,1249000000,4085000000,297000000,297000000,0.77,0.76,0.2425,612000000,-309000000,-183000000,111000000,1340000000,188000000,30.89,34.21,27.58,0.2818,0.1137,8.68,3.74,14.04,8.6,0.4092,0.374,0.417,0.0543,2.09,1.1,1.9607
2018-05-05,387469526,387469526,1,7585000000,4187000000,4388000000,2058000000,3197000000,0,0,0,1249000000,3783000000,164000000,164000000,0.42,0.42,0.2425,-66000000,-309000000,-193000000,-570000000,1229000000,138000000,31.41,34.71,28.12,0.2824,0.1118,8.25,3.89,14.68,8.35,0.4179,0.3907,0.4215,0.0536,2.08,-0.53,2.0345
2018-02-03,389318839,389318839,1,7989000000,4568000000,4845000000,2461000000,3144000000,0,0,204000000,1249000000,4778000000,205000000,205000000,0.52,0.52,0.23,780000000,-262000000,-100000000,430000000,1783000000,268000000,30.52,35.68,25.36,0.2833,0.1097,8.08,3.92,14.06,8.11,0.4248,0.3973,0.3935,0.0535,2.05,1.32,1.8562
2017-10-28,388857073,388857073,1,7895000000,4483000000,4871000000,2596000000,3024000000,0,0,0,1248000000,3838000000,229000000,229000000,0.59,0.58,0.23,114000000,-187000000,-182000000,-256000000,1353000000,188000000,25.8,29.77,21.84,0.2942,0.1131,7.78,3.44,12.29,7.88,0.4202,0.4127,0.383,0.0557,2.03,-0.19,1.7269
2017-07-29,392158760,392158760,1,7617000000,4258000000,4672000000,2399000000,2945000000,0,0,0,1248000000,3799000000,271000000,271000000,0.69,0.68,0.23,395000000,-120000000,-256000000,26000000,1609000000,165000000,23.95,26.88,21.02,0.2931,0.1094,7.51,3.31,13.84,7.65,0.4355,0.4238,0.3866,0.0542,2.02,0.59,1.7749
2017-04-29,395759031,395759031,1,7411000000,4119000000,4549000000,2302000000,2862000000,0,0,0,1248000000,3440000000,143000000,143000000,0.36,0.36,0.23,91000000,-99000000,-193000000,-200000000,1583000000,110000000,24.38,26.72,22.03,0.2505,0.09,7.23,3.36,14.43,7.42,0.5295,0.4361,0.3862,0.0446,2.02,-0.05,1.7893
2017-01-28,399843485,399843485,1,7610000000,4315000000,4706000000,2453000000,2904000000,0,0,109000000,1248000000,4429000000,220000000,220000000,0.55,0.55,0.23,919000000,-145000000,-510000000,261000000,1783000000,141000000,26.49,30.74,22.25,0.2525,0.0876,7.26,3.88,15.77,7.19,0.5427,0.4298,0.3816,0.0436,2.01,1.95,1.7591
