"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,198077418,198077418,1,5524783000,2460578000,1373817000,1027701000,4150966000,0,0,653014000,0,954840000,223656000,223656000,1.18,1.17,2.28,110636000,-313778000,-95496000,-295845000,820254000,30617000,82.88,89.72,76.03,0.1781,0.1387,20.96,3.8,22.28,23.06,1.0492,0,0.7513,0.2132,0.65,0.4,2.3943
2019-03-30,198077418,198077418,1,5280145000,2512137000,964859000,622526000,4315286000,0,0,411162000,0,766050000,140173000,140173000,0.74,0.74,0.53,164582000,-32621000,-213381000,-85706000,1116099000,30460000,73.94,86.69,61.18,0.1742,0.1359,21.79,3.52,20.2,20.78,0.6014,0,0.8173,0.2072,0.66,0.68,4.0354
2018-12-29,198077418,198077418,1,5382858000,2665368000,1219884000,921313000,4162974000,0,0,417080000,0,932109000,190150000,190150000,1,1.01,0.59,217738000,-68688000,2373000,145263000,1201805000,34223000,65.38,70.77,59.98,0.1749,0.1366,21.02,3.28,19.34,20.25,0.605,0,0.7734,0.2073,0.66,0.93,2.893
2018-09-29,198077418,198077418,1,5095967000,2400619000,1143259000,854026000,3952708000,0,0,424776000,0,810011000,184214000,184214000,0.98,0.97,0.51,263719000,-52921000,-99690000,109675000,1056542000,30290000,65.42,70.75,60.09,0.1657,0.1289,19.96,3.45,20.51,19.66,0.6287,0,0.7757,0.1945,0.66,1.18,2.8109
2018-06-30,198077418,198077418,1,4988720000,2323582000,1229839000,929147000,3758881000,0,0,409459000,0,894452000,190342000,190342000,1.01,1,0.51,223873000,-73270000,-88062000,47607000,946867000,66405000,59.89,62.78,57.01,0.1595,0.1231,18.98,2.97,19.32,19.15,0.6669,0,0.7535,0.1872,0.66,0.79,2.5008
2018-03-31,198077418,198077418,1,4855222000,2191283000,858029000,557843000,3997193000,0,0,421006000,0,710872000,129374000,129374000,0.69,0.68,0.51,214190000,-112624000,-100782000,7501000,899260000,27837000,61.81,65.96,57.66,0.1572,0.1206,20.18,3.22,16.8,18.64,0.6889,0,0.8233,0.1856,0.65,0.94,3.9281
2017-12-30,198077418,198077418,1,5010260000,2363925000,1207794000,828656000,3802466000,0,0,409801000,0,888496000,138780000,138780000,0.74,0.73,0.51,198265000,-105450000,-93300000,209000,891488000,57551000,58.38,62.92,53.83,0.19,0.1448,19.2,3.18,15.86,18.13,0.5814,0,0.7589,0.2251,0.64,0.71,2.8527
2017-09-30,198077418,198077418,1,4835391000,2332474000,1195706000,846045000,3639685000,0,0,313269000,0,743077000,147413000,147413000,0.79,0.78,0.51,198750000,-70398000,-106198000,31719000,891279000,47989000,52.02,54.04,49.99,0.1945,0.1481,18.38,2.96,14.61,17.62,0.5833,0,0.7527,0.2265,0.65,0.76,2.7569
2017-07-01,198077418,198077418,1,4748772000,2304934000,1264325000,928509000,3484447000,0,0,309318000,0,816885000,170950000,170950000,0.91,0.91,0.51,143432000,-5408000,-121561000,25983000,859560000,19274000,51.13,53.58,48.69,0.192,0.1452,17.59,2.74,14.61,17.11,0.6027,0,0.7338,0.2206,0.66,0.63,2.4824
2017-04-01,198077418,198077418,1,4600681000,2156910000,898619000,571459000,3702062000,0,0,303414000,0,638546000,237812000,237812000,1.26,1.26,0.51,120395000,-13280000,-127353000,-13306000,833577000,26753000,50.75,54.15,47.35,0.1928,0.1448,18.69,2.94,18.8,16.6,0.6195,0,0.8047,0.2178,0.66,0.47,3.7744
