"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2012-03-31,125919381,125919381,1,10923900000,5585800000,6892300000,2108000000,3992300000,39300000,0,2926200000,2362300000,2152600000,188200000,188200000,1.48,1.46,0.29,-177500000,-71700000,-37700000,-282900000,704100000,71200000,124.88,126.44,123.31,0.2101,0.0763,31.71,4.25,19.73,18.32,0.1811,0.5917,0.3655,0.0965,0.79,-1.98,2.6498
2011-12-31,125801407,125801407,1,10713700000,5464600000,6975200000,2075600000,3700100000,38400000,0,2908200000,2374400000,2145000000,237900000,237900000,1.88,1.86,0.29,594500000,-139300000,-38000000,415200000,987000000,138800000,121.4,123.79,119,0.2178,0.0794,29.41,4,21.52,18.03,0.1792,0.6417,0.3454,0.1004,0.79,3.62,2.6328
2011-09-30,125203607,125203607,1,10245700000,5011700000,6414100000,1966000000,3796000000,35600000,0,2944500000,2391700000,2032600000,201100000,201100000,1.59,1.57,0.29,247700000,-134100000,-48700000,53800000,571800000,79100000,101.2,122.33,80.07,0.1984,0.0732,30.32,3.32,19.02,17.74,0.2014,0.6301,0.3705,0.0932,0.79,1.35,2.5492
2011-06-30,125005231,125005231,1,10256300000,4933400000,6408000000,1949800000,3812000000,36300000,0,2970100000,2384600000,2001400000,176600000,176600000,1.39,1.38,0.29,241100000,-519900000,-15800000,-293100000,518000000,62300000,89.66,96.12,83.21,0.1937,0.0701,30.49,3.13,17.31,17.45,0.2099,0.6256,0.3717,0.0912,0.77,1.43,2.5302
2011-03-31,124870523,124870523,1,9597400000,4898700000,5977500000,1693600000,3577900000,42000000,0,2446000000,2352700000,1895900000,194800000,194800000,1.53,1.52,0.29,96300000,-27700000,-61800000,12200000,811100000,35500000,86.91,94.12,79.71,0.2007,0.071,28.65,3.26,19.19,17.16,0.2119,0.6576,0.3728,0.0924,0.77,0.49,2.8925
2010-12-31,125605938,125605938,1,9271600000,4671100000,5883800000,1592400000,3346900000,40900000,0,2438000000,2352800000,1806200000,148300000,148300000,1.16,1.17,0.29,8800000,-123200000,-437000000,-552400000,798900000,122700000,80.77,88.6,72.93,0.1841,0.0635,26.65,3.07,19.37,16.87,0.2383,0.703,0.361,0.0831,0.76,-0.91,2.9334
2010-09-30,125375457,125375457,1,9664000000,5128900000,6319600000,1905300000,3303500000,40900000,0,2452400000,2353000000,1748000000,160200000,160200000,1.26,1.25,0.27,252200000,-328700000,554800000,484900000,1351300000,47200000,70.1,75.77,64.44,0.1763,0.0596,26.35,2.96,17.27,16.58,0.2527,0.7123,0.3418,0.0787,0.76,1.64,2.6919
2010-06-30,125282498,125282498,1,8791500000,4595700000,5779800000,1718000000,2971400000,40300000,0,2201900000,2007900000,1717500000,159000000,159000000,1.25,1.24,0.27,223300000,-92800000,-35400000,88000000,866400000,30700000,70.53,77.89,63.17,0.1776,0.0603,23.72,2.99,16.71,16.31,0.2545,0.6757,0.338,0.0777,0.78,1.54,2.675
2010-03-31,125178657,125178657,1,8727900000,4508100000,5729200000,1674000000,2950100000,48600000,0,2176500000,2007300000,1695200000,111200000,111200000,0.88,0.87,0.27,29300000,-21300000,-33200000,-32600000,778400000,20800000,66.45,72.8,60.1,0.189,0.0638,23.57,2.85,14.14,16.04,0.2407,0.6804,0.338,0.0806,0.79,0.07,2.693
2009-12-31,125165336,125165336,1,8741400000,4414400000,5773800000,1613100000,2921000000,46600000,0,2220200000,2008100000,1642300000,105000000,105000000,0.84,0.81,0.27,229400000,-416700000,208700000,21400000,811000000,54000000,58.95,65.93,51.97,0.2238,0.0726,23.34,2.55,11.23,15.77,0.2124,0.6875,0.3342,0.0893,0.81,1.4,2.7366
