"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,875932261,875932261,1,26880000000,11220000000,17356000000,4955000000,9508000000,16000000,0,2825000000,10307000000,5930000000,75000000,75000000,0.09,0.09,0.18,451000000,-400000000,-253000000,-204000000,1176000000,364000000,26.64,32.3,20.98,0.1409,0.0502,10.85,2.42,13.25,9.87,0.4749,1.084,0.3537,0.0558,0.9,0.1,2.2644
2019-03-31,873978485,873978485,1,26989000000,11188000000,17364000000,5047000000,9605000000,20000000,0,2824000000,10307000000,5737000000,152000000,152000000,0.17,0.17,0.18,-44000000,-411000000,-155000000,-628000000,1380000000,394000000,29.36,32.71,26.01,0.1908,0.0675,10.99,2.69,15.53,9.69,0.3578,1.0731,0.3559,0.0734,0.92,-0.5,2.2168
2018-12-31,872542842,872542842,1,25982000000,11151000000,16438000000,4802000000,9522000000,22000000,0,0,10421000000,5936000000,664000000,664000000,0.76,0.76,0.18,852000000,-554000000,-338000000,-49000000,2008000000,491000000,33.63,42.57,24.7,0.1855,0.0645,10.91,3.27,177,9.51,0.3809,1.0944,0.3665,0.069,0.93,0.41,2.3222
2018-09-30,876046271,876046271,1,25751000000,11436000000,16734000000,4953000000,8998000000,19000000,0,2800000000,10424000000,6172000000,435000000,435000000,0.5,0.5,0.18,777000000,-2000000,-751000000,-1000000,2057000000,372000000,41.39,47.03,35.75,0.0195,0.0066,10.27,4.13,376.27,9.33,3.7573,1.1585,0.3494,0.007,0.94,0.46,2.3089
2018-06-30,879895611,879895611,1,25765000000,11436000000,16922000000,5107000000,8823000000,20000000,0,2824000000,10427000000,6147000000,511000000,511000000,0.58,0.58,0.18,956000000,-1063000000,-151000000,-274000000,2058000000,491000000,49.66,54.91,44.41,0.0113,0.0038,10.03,5.2,None,9.15,6.4347,1.1818,0.3424,0.0042,0.91,0.53,2.2393
2018-03-31,875976391,875976391,1,25191000000,11035000000,16800000000,4969000000,8365000000,26000000,0,2707000000,10428000000,5740000000,46000000,46000000,0.05,0.05,0.18,572000000,-374000000,-179000000,-5000000,2332000000,454000000,51.03,57.86,44.21,-0.0442,-0.0152,9.55,5.37,None,8.97,None,1.2466,0.3321,None,0.87,0.13,2.2208
2017-12-31,874909834,874909834,1,25085000000,10777000000,16736000000,4862000000,8322000000,27000000,0,2693000000,10430000000,5940000000,-824000000,-824000000,-0.94,-0.94,0.18,1011000000,-420000000,-151000000,439000000,2337000000,392000000,45,49.29,40.72,-0.0523,-0.0183,9.51,4.26,187.5,8.79,None,1.2533,0.3318,None,0.82,0.71,2.2166
2017-09-30,872540903,872540903,1,25790000000,10144000000,16544000000,4601000000,9217000000,29000000,0,2685000000,10423000000,5444000000,365000000,365000000,0.42,0.42,0.18,1106000000,-962000000,-369000000,-241000000,1898000000,307000000,42.18,46.18,38.18,0.0232,0.0082,10.56,4.12,None,8.61,2.9538,1.1308,0.3574,0.0113,0.73,0.92,2.2047
2017-06-30,871595410,871595410,1,25325000000,10260000000,16372000000,4068000000,8917000000,36000000,0,2407000000,10816000000,4957000000,28000000,28000000,0.03,0.03,0.18,346000000,-308000000,18000000,32000000,2139000000,292000000,46.31,51.26,41.36,-0.0159,-0.0057,10.23,4.49,None,8.43,None,1.213,0.3521,None,0.66,0.06,2.5221
2017-03-31,867868425,867868425,1,24885000000,9828000000,15896000000,3842000000,8951000000,38000000,0,2419000000,10812000000,4279000000,-32000000,-32000000,-0.04,-0.04,0.18,5000000,-237000000,-1659000000,-1902000000,2107000000,224000000,53.15,58.78,47.52,-0.3582,-0.1272,10.31,4.9,None,8.25,None,1.2079,0.3597,None,0.6,-0.25,2.558
