"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,126200837,126200837,1,5038610000,2830095000,3322741000,1072696000,1715869000,0,0,1155979000,1695833000,984537000,13433000,13433000,0.11,0.11,0.68,71782000,-33475000,-86177000,-45592000,1151042000,32994000,96.73,108.86,84.61,0.1784,0.0603,13.6,7.36,34.3,22,1.0562,0.9883,0.3405,0.0669,0.9,0.31,2.6383
2019-03-31,125854116,125854116,1,4934773000,2631858000,3280242000,948725000,1654531000,0,0,1167591000,1695462000,732510000,26727000,26727000,0.21,0.21,0.68,264494000,-27001000,-220379000,14263000,1196634000,25201000,85.27,93.19,77.34,0.2037,0.0691,13.15,6.12,49.87,21.32,0.9023,1.0247,0.3353,0.0783,0.88,1.9,2.7741
2018-12-30,125842470,125842470,1,5262988000,3082504000,3508502000,1274324000,1754486000,0,0,1179723000,1695092000,1389161000,8766000,8766000,0.06,0.07,0.63,471251000,-35598000,-158551000,275264000,1182371000,36411000,92.2,107.57,76.84,0.1263,0.0428,13.94,6.18,57.99,20.64,1.4411,0.9661,0.3334,0.0481,0.89,3.46,2.4189
2018-09-30,126507478,126507478,1,5495329000,3192450000,3608048000,1321923000,1887281000,0,0,1304622000,1694721000,1569686000,263861000,263861000,2.08,2.06,0.63,-66055000,-27057000,-157325000,-251965000,907107000,32260000,100.65,109.6,91.7,0.117,0.04,14.92,7.23,62.13,20.01,1.4981,0.898,0.3434,0.0431,0.93,-0.78,2.415
2018-07-01,126938974,126938974,1,5113856000,2827633000,3347106000,1052444000,1766750000,0,0,1313564000,1694350000,904458000,60299000,60299000,0.48,0.48,0.63,-76938000,-197594000,-145501000,-439872000,1159072000,43520000,86,93,79,0.1168,0.0403,13.92,6.84,51.5,19.38,1.4439,0.959,0.3455,0.0415,0.97,-0.95,2.6867
2018-04-01,124937746,124937746,1,4729072000,3021837000,3157713000,852526000,1571359000,0,0,784478000,1693977000,716341000,-112492000,-112492000,-0.9,-0.9,0.63,317739000,-26228000,-275724000,17710000,1598944000,28235000,93.47,103.39,83.56,0.1199,0.0421,12.58,6.34,30.05,18.75,1.3539,1.078,0.3323,0.0425,0.99,2.32,3.5446
2017-12-31,124177681,124177681,1,5289983000,3633926000,3460026000,1251697000,1829957000,0,0,790445000,1693609000,1596111000,-5298000,-5298000,-0.05,-0.05,0.57,522582000,-34485000,-150920000,336456000,1581234000,50965000,93.55,99.17,87.92,0.2124,0.0778,14.74,5.95,20.21,18.12,0.7169,0.9255,0.3459,0.0761,1.02,3.8,2.9032
2017-10-01,124555586,124555586,1,5544648000,3762240000,3588396000,1484757000,1956252000,0,0,796457000,1693261000,1791502000,265583000,265583000,2.12,2.09,0.57,-164310000,-29210000,-797000,-188722000,1244778000,36191000,103.88,116.2,91.57,0.317,0.1178,15.71,7.09,22.73,17.55,0.4657,0.8656,0.3528,0.1134,1.04,-1.61,2.5339
2017-07-02,125081081,125081081,1,4912743000,3094805000,3080249000,1472247000,1832494000,0,0,802331000,1199114000,972506000,67723000,67723000,0.54,0.53,0.57,-45822000,-36762000,51244000,-29581000,1433500000,36078000,104.13,113.49,94.76,0.3221,0.1197,14.65,7.03,23.4,16.98,0.4594,0.6544,0.373,0.1144,1.05,-0.65,2.1021
2017-04-02,125003385,125003385,1,4645870000,2799733000,2794226000,1201814000,1851644000,0,0,809006000,1198896000,849663000,68599000,68599000,0.55,0.54,0.57,411928000,-31024000,-211700000,180796000,1463081000,30243000,89.14,101.08,77.2,0.3232,0.12,14.81,5.95,20.78,16.41,0.4591,0.6475,0.3986,0.1134,1.06,3.05,2.3296
