"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,209578918,209578918,1,7793560000,2093558000,6109479000,2387427000,1675120000,8961000,0,3063823000,2888043000,1767217000,312840000,312840000,1.54,1.48,0.722,349368000,-94763000,-357585000,-100002000,365963000,83377000,126.19,139.34,113.05,0.851,0.1562,7.99,18.61,23.54,30.65,0.4958,1.7241,0.2149,0.1551,1.01,1.27,0.8769
2019-03-31,208799510,208799510,1,7857376000,2216929000,6434016000,2398185000,1414737000,8623000,0,3071434000,3236317000,2016488000,304358000,304358000,1.49,1.45,0.722,329960000,-111623000,-341145000,-122033000,465965000,92739000,107.87,114.94,100.8,0.8879,0.147,6.78,16.08,19.4,29.93,0.521,2.2876,0.1801,0.1444,1.02,1.14,0.9244
2018-12-31,208519794,208519794,1,7703020000,2239181000,6295754000,2418566000,1398721000,8545000,0,3079395000,3254280000,1987902000,336791000,336791000,2.14,1.58,0.72,707132000,-530655000,-412908000,-235789000,587998000,84280000,104.72,110.3,99.15,0.9309,0.1556,6.71,17.78,21.82,29.21,0.5318,2.3266,0.1816,0.1391,1.03,2.99,0.9258
2018-09-30,209807788,209807788,1,7836189000,2794046000,6586917000,2758826000,1234902000,14370000,0,2685152000,3253879000,2079593000,263713000,263713000,1.29,1.25,0.722,289979000,92041000,-24143000,356435000,823787000,74766000,98.64,106.76,90.52,0.8895,0.1453,5.89,19.65,20.42,28.49,0.6089,2.6349,0.1576,0.1198,1.1,1.03,1.0128
2018-07-01,209312712,209312712,1,7405653000,2365105000,6341836000,2514257000,1049944000,13873000,0,2691278000,3249689000,1751615000,226855000,226855000,1.11,1.08,0.656,250825000,-82521000,-172746000,-9082000,467352000,59775000,95.08,101.07,89.1,0.9196,0.159,5.02,20.45,20.23,27.77,0.6381,3.0951,0.1418,0.1123,1.19,0.91,0.9407
2018-04-01,209266949,209266949,1,7332798000,2270496000,6343143000,3705507000,972128000,17527000,0,2678122000,2059934000,1971959000,350203000,256122000,1.71,1.65,0.656,352057000,-981759000,725905000,96255000,476434000,60021000,104.92,114.63,95.21,0.9436,0.1686,4.65,24.12,28.9,27.11,0.6487,2.119,0.1326,0.1106,1.27,1.4,0.6127
2017-12-31,210483774,210483774,1,5553726000,2001910000,4622161000,2076543000,915338000,16227000,0,1190217000,2061023000,1939636000,181133000,181133000,1.34,0.82,0.66,623616000,-141522000,-378049000,105123000,380179000,102901000,109.17,115.82,102.52,0.7907,0.1428,4.35,27.92,32.59,26.46,0.7977,2.2517,0.1648,0.0901,1.37,2.47,0.9641
2017-10-01,210695396,210695396,1,5655477000,2214454000,4816501000,2337670000,823270000,15706000,0,1197803000,2054132000,2033121000,273303000,200480000,1.32,1.28,0.656,290165000,-80905000,-150579000,60994000,275056000,63343000,107.23,110.69,103.77,0.7438,0.1313,3.91,26.61,34.26,25.8,0.8696,2.4951,0.1456,0.0812,1.38,1.08,0.9473
2017-07-02,212446809,212446809,1,5380228000,1911529000,4510246000,1742205000,855305000,14677000,0,1196339000,2349756000,1662991000,203501000,203501000,0.98,0.95,0.618,101272000,-65553000,-58266000,-20969000,214062000,51086000,111.25,116.49,106,0.7598,0.1218,4.03,28.53,38.9,25.14,0.8219,2.7473,0.159,0.0851,1.36,0.24,1.0972
2017-04-02,212786698,212786698,1,5342385000,1873861000,4496932000,1710917000,830078000,15375000,0,1196598000,2350941000,1879678000,125044000,91766000,0.6,0.58,0.618,234462000,-40684000,-256874000,-61936000,235031000,32736000,105.75,109.9,101.61,0.7186,0.1105,3.9,28.58,31.66,24.52,0.8912,2.8322,0.1554,0.0777,1.34,0.95,1.0952
