"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,106691137,106691137,1,13211420000,2925825000,6942231000,1144134000,6143211000,125978000,0,8408177000,4421430000,1297402000,111214000,108829000,0.97,0.96,0.73,47232000,-90299000,-112179000,-151393000,497129000,53639000,134.26,146.67,121.85,0.0711,0.0318,57.58,2.37,32.43,33.65,0.9026,0.7197,0.465,0.0735,0.43,-0.06,2.5572
2018-12-31,106633296,106633296,1,12889395000,2941860000,6764215000,1128311000,6032951000,92229000,0,8417710000,4504417000,1219047000,15500000,15500000,0.09,0.09,0.73,235617000,-4910948000,49608000,-4625937000,648522000,63784000,137.72,150.57,124.88,0.1,0.0427,56.58,3.64,38.9,32.92,0.779,0.7466,0.4681,0.0854,0.5,1.61,2.6073
2018-09-30,106619224,106619224,1,9615542000,6946827000,5577593000,758456000,4031814000,6135000,0,1538439000,4331242000,907548000,95716000,95716000,1.18,1.17,0.73,146789000,-32820000,4845632000,4952036000,5274459000,34657000,132.2,141.68,122.72,0.123,0.0482,37.82,5.97,35.16,32.19,0.8493,1.0743,0.4193,0.0786,0.61,1.05,9.1592
2018-06-30,79047426,79047426,1,4673442000,2026580000,2917239000,699370000,1749855000,6348000,0,1540012000,1717189000,920016000,99149000,99149000,1.25,1.25,0.69,66564000,-34228000,-9922000,17147000,322423000,33991000,132.81,143.51,122.11,0.1715,0.0647,22.14,5.91,34.14,31.46,0.7298,0.9813,0.3744,0.0835,0.77,0.41,2.8977
2018-03-31,78943811,78943811,1,4681276000,1970341000,2902314000,716752000,1773150000,5812000,0,1580077000,1676211000,930928000,129416000,129416000,1.63,1.63,0.69,-11395000,-35239000,-14615000,-62770000,305276000,32812000,144.94,157.4,132.49,0.1796,0.0672,22.46,6.79,39.07,30.77,0.6917,0.9453,0.3788,0.0883,0.76,-0.56,2.749
2017-12-31,78927638,78927638,1,4598926000,1896544000,2909632000,768768000,1684202000,5092000,0,1572075000,1632186000,854625000,-40155000,-40155000,-0.51,-0.51,0.69,191267000,-36750000,-100054000,52044000,368046000,36791000,149.81,156.64,142.98,0.1754,0.0657,21.34,6.73,28.7,30.08,0.7104,0.9691,0.3662,0.087,0.76,1.96,2.467
2017-09-30,78977158,78977158,1,4520438000,1849747000,2757950000,696127000,1757313000,5175000,0,1577757000,1625502000,872940000,110261000,110261000,1.39,1.39,0.69,141568000,-31153000,-286115000,-175384000,316002000,30363000,138.41,145.89,130.94,0.2488,0.0955,22.25,6.53,27.96,29.39,0.4959,0.925,0.3887,0.1257,0.76,1.41,2.6572
2017-06-30,78975735,78975735,1,4618875000,1993926000,2938789000,861223000,1674358000,5728000,0,1571229000,1636338000,842861000,109795000,109795000,1.39,1.38,0.64,36220000,-69839000,229884000,191319000,491386000,19637000,134.43,140.44,128.42,0.2388,0.0931,21.2,6.53,26.73,28.7,0.5123,0.9773,0.3625,0.1231,0.76,0.21,2.3152
2017-03-31,78971175,78971175,1,4252259000,1711433000,2620742000,985824000,1626077000,5440000,0,1510683000,1186417000,828293000,115764000,115764000,1.46,1.45,0.64,21701000,-162188000,113727000,-23925000,300067000,26043000,125.1,137.04,113.16,0.243,0.0974,20.59,6.08,24.77,28.06,0.4886,0.7296,0.3824,0.1272,0.77,-0.05,1.736
2016-12-31,79037680,79037680,1,4016984000,1609014000,2385850000,898297000,1626244000,4890000,0,1365906000,1066855000,762559000,79918000,79918000,1,1,0.64,206053000,-289228000,-85469000,-174738000,323992000,53041000,130.14,143.64,116.64,0.2446,0.0986,20.58,6.1,25.82,27.42,0.4706,0.656,0.4048,0.13,0.76,1.94,1.7912
2016-09-30,79423806,79423806,1,4097129000,1857035000,2398931000,855924000,1693776000,4422000,0,1226119000,1110201000,777001000,89777000,89777000,1.13,1.12,0.64,174803000,-25988000,-187350000,-41262000,498730000,26909000,134.1,143.43,124.77,0.2455,0.1002,21.33,6.38,25.64,26.78,0.457,0.6555,0.4134,0.1317,0.76,1.86,2.1696
2016-06-30,79591844,79591844,1,4154628000,1929434000,2476696000,688251000,1673872000,4060000,0,1229381000,1357684000,793478000,116733000,116733000,1.46,1.46,0.56,122935000,-19101000,-86154000,11115000,539992000,18460000,122.98,131.3,114.65,0.2596,0.1056,21.03,6.01,24.3,26.14,0.4249,0.8111,0.4029,0.1377,0.77,1.31,2.8034
2016-03-31,79713873,79713873,1,4162460000,1891529000,2526900000,712748000,1630364000,5196000,0,1253265000,1372751000,783312000,118603000,118603000,1.48,1.47,0.56,31615000,-21146000,339279000,346889000,528877000,21146000,109.81,122.38,97.24,0.2546,0.106,20.45,5.52,21.28,25.58,0.4204,0.842,0.3917,0.1351,0.78,0.13,2.6539
2015-12-31,79867884,79867884,1,3721454000,1455884000,2126464000,742128000,1590318000,4672000,0,1247393000,941123000,715649000,79168000,79168000,0.99,0.99,0.56,138883000,-31089000,-198174000,-90288000,181988000,33527000,114.78,122.64,106.91,0.2632,0.1134,19.91,5.79,21.78,25.02,0.3949,0.5918,0.4273,0.1387,0.82,1.32,1.9618
2015-09-30,80250212,80250212,1,3911685000,1638751000,2315536000,687320000,1591872000,4277000,0,1255361000,1061717000,765092000,106447000,106447000,1.32,1.31,0.56,128377000,-331093000,113845000,-104978000,272276000,26779000,109.44,118.87,100.02,0.2731,0.1181,19.84,5.43,20.77,24.46,0.3691,0.667,0.407,0.1404,0.84,1.27,2.3843
2015-06-30,80585508,80585508,1,3653628000,1722254000,2026954000,523521000,1623000000,3674000,0,908974000,993442000,767541000,105374000,105374000,1.3,1.29,0.47,134842000,-197043000,-7425000,-66435000,377254000,18491000,114.72,120.61,108.82,0.2717,0.122,20.14,5.92,21.52,23.9,0.3523,0.6121,0.4442,0.1403,0.87,1.44,3.2898
2015-03-31,80886358,80886358,1,3507172000,1755110000,1935075000,487320000,1567317000,4780000,0,750201000,939898000,774907000,128258000,128258000,1.58,1.57,0.47,31476000,-17931000,-39542000,-34884000,443689000,17931000,110.34,123.08,97.59,0.2758,0.1257,19.38,5.87,21.81,23.43,0.334,0.5997,0.4469,0.141,0.89,0.17,3.6016
2014-12-31,80742973,80742973,1,3494621000,1710027000,1971932000,518808000,1518561000,4128000,0,752041000,939437000,756082000,90136000,90136000,1.11,1.1,0.47,200887000,-40797000,-74208000,73737000,478573000,44573000,97.82,104,91.64,0.2643,0.1211,18.81,4.83,20.77,22.96,0.3362,0.6186,0.4345,0.1342,0.9,1.94,3.2961
