"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,4430000000,4430000000,1,130759000000,29239000000,55565000000,19705000000,74947000000,247000000,0,35832000000,25089000000,16505000000,4179000000,4179000000,0.94,0.92,0,7587000000,-3288000000,-4586000000,-287000000,2867000000,3554000000,51.23,59.59,42.86,0.2681,0.1529,16.92,3.11,11.56,11.91,0.2815,0.3348,0.5732,0.2805,0.55,0.91,1.4838
2019-03-30,4477000000,4477000000,1,129458000000,29060000000,55522000000,18911000000,73661000000,275000000,0,35978000000,25737000000,16061000000,3974000000,3974000000,0.88,0.87,0.63,4959000000,-2722000000,-2102000000,135000000,3154000000,3321000000,49.69,54.99,44.39,0.284,0.1608,16.45,3,11.07,11.91,0.2702,0.3494,0.569,0.2904,0.55,0.37,1.5367
2018-12-29,4497000000,4497000000,1,127963000000,28787000000,52981000000,16626000000,74563000000,419000000,0,36349000000,25098000000,18657000000,5195000000,5195000000,1.15,1.13,0,6900000000,-1820000000,-5468000000,-388000000,3019000000,3890000000,46.42,50.49,42.36,0.2942,0.1649,16.58,2.96,14.46,11.28,0.2629,0.3366,0.5827,0.2972,0.55,0.67,1.7314
2018-09-29,4564000000,4564000000,1,128242000000,29590000000,56244000000,19574000000,71483000000,515000000,0,36513000000,24823000000,19163000000,6398000000,6398000000,1.4,1.38,0.6,8835000000,-3435000000,-4607000000,793000000,3407000000,3851000000,48.68,53.3,44.06,0.2162,0.1199,15.66,3.2,17.57,11.28,0.3648,0.3473,0.5574,0.2625,0.46,1.09,1.5117
2018-06-30,4611000000,4611000000,1,125972000000,27603000000,55271000000,17571000000,70047000000,654000000,0,36449000000,24632000000,16962000000,5006000000,5006000000,1.08,1.05,0,7413000000,-1193000000,-7160000000,-940000000,2614000000,4530000000,52.45,57.6,47.29,0.1897,0.1053,15.19,3.48,22.8,10.68,0.4023,0.3516,0.5561,0.2426,0.43,0.63,1.5709
2018-03-31,4660000000,4660000000,1,128596000000,31630000000,57630000000,19961000000,70165000000,801000000,0,36701000000,24770000000,16066000000,4454000000,4454000000,0.95,0.93,0.6,6284000000,-4791000000,-1372000000,121000000,3554000000,2910000000,47.91,53.78,42.04,0.1592,0.0885,15.06,3.24,24.2,10.68,0.4821,0.353,0.5456,0.2109,0.42,0.72,1.5846
2017-12-30,4668000000,4668000000,1,123249000000,29500000000,53364000000,17421000000,69019000000,866000000,0,37134000000,25037000000,5602000000,-687000000,-687000000,-0.15,-0.15,-0,7241000000,-5230000000,-7653000000,-5642000000,3433000000,4069000000,42.86,47.64,38.08,0.1394,0.0787,14.79,2.83,14.93,10.08,0.5268,0.3628,0.56,0.1871,0.42,0.68,1.6934
2017-09-30,4680000000,4680000000,1,127088000000,33154000000,55282000000,20689000000,70936000000,870000000,0,37447000000,27498000000,16149000000,4516000000,4516000000,0.96,0.94,0.545,6264000000,-6316000000,-2560000000,-2612000000,9075000000,2979000000,35.69,38.15,33.23,0.2032,0.1159,15.16,2.44,13.62,10.08,0.3652,0.3876,0.5582,0.2231,0.52,0.7,1.6025
2017-07-01,4699000000,4699000000,1,122107000000,40617000000,52608000000,18782000000,68625000000,874000000,0,22969000000,27855000000,14763000000,2808000000,2808000000,0.6,0.58,0,4707000000,-1438000000,3484000000,6753000000,11687000000,2663000000,35.42,37.5,33.34,0.192,0.1098,14.6,2.5,15.33,9.53,0.3911,0.4059,0.562,0.206,0.53,0.43,2.1625
2017-04-01,4709000000,4709000000,1,115648000000,36058000000,47926000000,21305000000,66844000000,878000000,0,23256000000,20678000000,14796000000,2964000000,2964000000,0.63,0.61,0.5325,3898000000,-2778000000,-1746000000,-626000000,4934000000,2067000000,36.55,38.45,34.66,0.1745,0.0996,14.19,2.61,17.24,9.53,0.4426,0.3093,0.578,0.1857,0.54,0.39,1.6925
2016-12-31,4728000000,4728000000,1,113327000000,35508000000,46219000000,20302000000,66226000000,882000000,0,23593000000,20649000000,16374000000,3562000000,3562000000,0.76,0.74,0,8150000000,-3444000000,-3898000000,808000000,5560000000,3530000000,35.86,38.1,33.61,0.1638,0.0936,14.01,2.69,17,9,0.4769,0.3118,0.5844,0.1737,0.54,0.98,1.749
2016-10-01,4739000000,4739000000,1,112217000000,36216000000,49102000000,20093000000,63115000000,0,0,23392000000,24043000000,15778000000,3378000000,3378000000,0.71,0.69,0.52,5758000000,-2683000000,-2208000000,867000000,4752000000,2463000000,35.22,37.75,32.68,0.1681,0.0963,13.32,2.72,17.1,9,0.4746,0.3809,0.5624,0.179,0.54,0.7,1.8024
2016-07-02,4731000000,4731000000,1,109831000000,31188000000,48464000000,18711000000,61367000000,0,0,27813000000,24053000000,13533000000,1330000000,1330000000,0.28,0.27,0,3845000000,-4170000000,1149000000,824000000,3885000000,2286000000,31.31,32.99,29.63,0.1678,0.0969,12.97,2.42,13.38,8.48,0.4675,0.392,0.5587,0.1784,0.54,0.33,1.6668
2016-04-02,4722000000,4722000000,1,105467000000,27397000000,44293000000,17526000000,61174000000,0,0,28082000000,21775000000,13702000000,2046000000,2046000000,0.43,0.42,0.52,4055000000,-15520000000,-782000000,-12247000000,3061000000,1346000000,31.83,35.44,28.22,0.1936,0.1154,12.96,2.46,13.66,8.48,0.4114,0.356,0.58,0.2039,0.57,0.57,1.5632
2015-12-26,4724000000,4724000000,1,103065000000,40356000000,41980000000,15667000000,61085000000,0,0,15265000000,20036000000,14914000000,3613000000,3613000000,0.77,0.73,0,5427000000,2728000000,88000000,8243000000,15308000000,2448000000,32.03,35.3,28.76,0.1979,0.1197,12.93,2.65,13.75,7.96,0.3977,0.328,0.5927,0.2063,0.58,0.63,2.5759
2015-09-26,4719000000,4719000000,1,98552000000,36205000000,41455000000,15080000000,57097000000,0,0,15048000000,20059000000,14465000000,3109000000,3109000000,0.65,0.64,0.48,5735000000,-9167000000,6043000000,2611000000,7065000000,1206000000,28.21,30.56,25.87,0.2034,0.1238,12.1,2.32,12,7.96,0.3961,0.3513,0.5794,0.2079,0.6,0.96,2.4009
2015-06-27,4754000000,4754000000,1,90492000000,26710000000,32797000000,13529000000,57695000000,0,0,15263000000,12116000000,13195000000,2706000000,2706000000,0.57,0.55,0,3440000000,-1295000000,-1945000000,210000000,4454000000,1767000000,32.63,34.46,30.81,0.208,0.1288,12.14,2.82,13.89,7.48,0.3814,0.21,0.6376,0.2113,0.61,0.35,1.9743
2015-03-28,4744000000,4744000000,1,89566000000,26466000000,34642000000,15035000000,54924000000,0,0,14977000000,12112000000,12781000000,1992000000,1992000000,0.42,0.41,0.48,4415000000,-449000000,-2274000000,1683000000,4244000000,2025000000,33.53,37.18,29.89,0.2081,0.1293,11.58,2.84,14.45,7.48,0.3785,0.2205,0.6132,0.2105,0.61,0.5,1.7603
2014-12-27,4736000000,4736000000,1,91956000000,27730000000,36091000000,16019000000,55865000000,0,0,15307000000,12107000000,14721000000,3661000000,3661000000,0.77,0.73,0,5771000000,-1904000000,-4439000000,-582000000,2561000000,2235000000,34.26,37.67,30.85,0.2042,0.1278,11.8,2.95,16.24,7,0.3773,0.2167,0.6075,0.2095,0.61,0.75,1.7311
2014-09-27,4835000000,4835000000,1,90616000000,27509000000,34543000000,14904000000,56073000000,0,0,14935000000,12103000000,14554000000,3317000000,3317000000,0.68,0.66,0.45,5693000000,-986000000,-4607000000,94000000,3143000000,2445000000,33.06,35.33,30.79,0.1842,0.1164,11.6,2.76,16.29,7,0.4139,0.2158,0.6188,0.194,0.6,0.67,1.8457
2014-06-28,4951000000,4951000000,1,91793000000,29006000000,32546000000,12251000000,59247000000,0,0,15318000000,13180000000,13831000000,2796000000,2796000000,0.56,0.55,0,5453000000,-4266000000,-2915000000,-1728000000,3049000000,2828000000,28.37,30.93,25.81,0.1784,0.1124,11.97,2.43,15.17,6.55,0.4346,0.2225,0.6454,0.1911,0.59,0.53,2.3676
2014-03-29,4978000000,4978000000,1,91932000000,30554000000,33894000000,13552000000,58038000000,0,0,15580000000,13172000000,12764000000,1930000000,1930000000,0.39,0.38,0.45,3501000000,-2749000000,-1650000000,-897000000,4777000000,2689000000,25.09,26.67,23.52,0.1685,0.1055,11.66,2.14,13.28,6.55,0.471,0.227,0.6313,0.1797,0.59,0.16,2.2546
2013-12-28,4972000000,4972000000,1,92358000000,32084000000,34102000000,13568000000,58256000000,0,0,15663000000,13165000000,13834000000,2625000000,2625000000,0.54,0.52,0,6038000000,-3921000000,-1322000000,793000000,5674000000,2948000000,24.09,25.7,22.48,0.1759,0.1094,11.72,2.16,13.02,6.1,0.4651,0.226,0.6308,0.1825,0.6,0.62,2.3647
2013-09-28,4971000000,4971000000,1,90551000000,31350000000,35099000000,13875000000,55452000000,0,0,15901000000,13157000000,13483000000,2950000000,2950000000,0.59,0.58,0.45,5731000000,-3323000000,-1306000000,1103000000,4881000000,2868000000,23.09,24.25,21.92,0.1788,0.1101,11.16,2.14,12.48,6.1,0.4728,0.2373,0.6124,0.1808,0.61,0.58,2.2595
2013-06-29,4982000000,4982000000,1,85661000000,29048000000,31821000000,11389000000,53840000000,0,0,15625000000,13150000000,12811000000,2000000000,2000000000,0.4,0.39,0,4722000000,-5512000000,-1132000000,-1920000000,3778000000,2724000000,23.2,25.47,20.94,0.1846,0.1158,10.81,2.25,11.6,5.65,0.4719,0.2442,0.6285,0.1813,0.64,0.4,2.5505
2013-03-30,4971000000,4971000000,1,83083000000,28677000000,31889000000,11798000000,51194000000,0,0,15563000000,13143000000,12580000000,2045000000,2045000000,0.41,0.4,0.45,4285000000,-5317000000,-1738000000,-2780000000,5698000000,2207000000,21.45,22.68,20.23,0.2058,0.1313,10.3,2.07,10.07,5.65,0.4341,0.2567,0.6162,0.1945,0.67,0.42,2.4307
2012-12-29,4946000000,4946000000,1,84351000000,31358000000,33148000000,12898000000,51203000000,0,0,15945000000,13136000000,13477000000,2468000000,2468000000,0.5,0.48,0,6026000000,-5332000000,4267000000,4958000000,8478000000,2754000000,21.1,22.84,19.36,0.2246,0.1453,10.35,2.13,9.21,5.2,0.3955,0.2565,0.607,0.2063,0.7,0.66,2.4312
2012-09-29,4976000000,4976000000,1,74441000000,23014000000,25172000000,11953000000,49269000000,0,0,15844000000,7100000000,13457000000,2972000000,2972000000,0.59,0.58,0.45,5147000000,-4852000000,-2004000000,-1703000000,3520000000,3452000000,24.71,26.88,22.54,0.2495,0.1643,9.9,2.53,10.47,5.2,0.3658,0.1441,0.6619,0.2213,0.74,0.34,1.9254
2012-06-30,5003000000,5003000000,1,72352000000,25785000000,23573000000,10538000000,48779000000,0,0,15416000000,7093000000,13501000000,2827000000,2827000000,0.56,0.54,0,4739000000,-1765000000,-2176000000,794000000,5223000000,2662000000,27.11,29.18,25.04,0.2643,0.1734,9.75,2.92,11.49,4.75,0.3431,0.1454,0.6742,0.2273,0.76,0.42,2.4469
2012-03-31,5031000000,5031000000,1,71817000000,25421000000,25057000000,11941000000,46760000000,0,0,15452000000,7088000000,12906000000,2738000000,2738000000,0.55,0.53,0.42,2972000000,-2111000000,-1495000000,-636000000,4429000000,2974000000,26.37,28.19,24.54,0.2671,0.1791,9.29,2.87,11.03,4.75,0.3396,0.1516,0.6511,0.2316,0.77,-0,2.1289
2011-12-31,4996000000,4996000000,1,71119000000,25872000000,25208000000,12028000000,45911000000,0,0,15521000000,7084000000,13887000000,3360000000,3360000000,0.65,0.64,0,6630000000,-4767000000,-3850000000,-1992000000,5065000000,2844000000,23.14,25.66,20.62,0.2752,0.1894,9.19,2.55,10.06,4.33,0.3137,0.1543,0.6456,0.2397,0.79,0.76,2.151
2011-10-01,5092000000,5092000000,1,70551000000,26698000000,24434000000,11909000000,46117000000,0,0,15583000000,7076000000,14233000000,3468000000,3468000000,0.67,0.65,0.42,6349000000,-4107000000,183000000,2422000000,7057000000,2713000000,21.21,23.23,19.19,0.2664,0.1924,9.06,2.29,9.77,4.33,0.3181,0.1534,0.6537,0.2475,0.78,0.71,2.2418
2011-07-02,5251000000,5251000000,1,66089000000,23102000000,17366000000,10354000000,48723000000,0,0,15841000000,2090000000,13032000000,2954000000,2954000000,0.56,0.54,0,3971000000,-783000000,-2745000000,447000000,4635000000,2484000000,21.68,23.88,19.49,0.2536,0.1918,9.28,2.43,10.13,3.91,0.3003,0.0429,0.7372,0.2529,0.76,0.28,2.2312
2011-04-02,5302000000,5302000000,1,65552000000,22795000000,18203000000,11565000000,47349000000,0,0,15941000000,2083000000,12847000000,3160000000,3160000000,0.58,0.56,0.3624,4013000000,-644000000,-4688000000,-1310000000,4188000000,2723000000,20.93,22.14,19.72,0.256,0.1973,8.93,2.32,10.41,3.91,0.302,0.044,0.7223,0.2638,0.75,0.24,1.971
2010-12-25,5488000000,5488000000,1,63186000000,31611000000,13756000000,9327000000,49430000000,0,0,5391000000,2077000000,11457000000,3180000000,3180000000,0.57,0.55,0,5550000000,-2972000000,-2597000000,-19000000,5498000000,1869000000,20.42,22.07,18.77,0.2467,0.1933,9.01,2.39,11.04,3.55,0.3062,0.042,0.7823,0.2628,0.74,0.67,3.3892
2010-09-25,5578000000,5578000000,1,60588000000,29499000000,12892000000,8837000000,47696000000,0,0,5250000000,2073000000,11102000000,2955000000,2955000000,0.53,0.52,0.315,3577000000,-2925000000,-649000000,3000000,5517000000,1362000000,19.94,22.28,17.6,0.2373,0.1861,8.55,2.42,12.01,3.55,0.4054,0.0435,0.7872,0.2472,0.75,0.4,3.3381
2010-06-26,5568000000,5568000000,1,57691000000,26464000000,11850000000,7937000000,45841000000,0,0,5263000000,2058000000,10765000000,2887000000,2887000000,0.52,0.51,0,3486000000,-1970000000,-990000000,526000000,5514000000,1048000000,22.05,24.37,19.74,0.2234,0.1741,8.23,2.86,20.42,3.23,0.4301,0.0449,0.7946,0.2308,0.75,0.44,3.3343
2010-03-27,5564000000,5564000000,1,55773000000,23724000000,12873000000,8912000000,42900000000,0,0,4452000000,2052000000,10299000000,2442000000,2442000000,0.44,0.43,0.315,4079000000,-2672000000,-406000000,1001000000,4988000000,928000000,20.85,22.75,18.95,0.152,0.1184,7.71,2.76,27.43,3.23,0.6587,0.0478,0.7692,0.1615,0.73,0.57,2.662
2009-12-26,5524000000,5524000000,1,53095000000,21157000000,11391000000,7591000000,41704000000,0,0,4421000000,2049000000,10569000000,2282000000,2282000000,0.41,0.39,0.14,3405000000,-2769000000,-758000000,-122000000,3987000000,1081000000,19.66,20.83,18.5,0.11,0.0867,7.55,2.78,47.95,2.92,0.7099,0.0491,0.7855,0.1244,0.7,0.42,2.7871
2009-09-26,5522000000,5522000000,1,50996000000,19247000000,11963000000,7749000000,39033000000,0,0,4421000000,2201000000,9389000000,1856000000,1856000000,0.34,0.33,0.28,4003000000,-3380000000,-340000000,283000000,4109000000,944000000,18.13,20.32,15.94,0.0594,0.0466,7.07,2.6,42.16,2.78,1.3385,0.0564,0.7654,0.0708,0.66,0.55,2.4838
2009-06-27,5598000000,5598000000,1,49061000000,18467000000,10014000000,7079000000,39047000000,0,0,3932000000,1174000000,8024000000,-398000000,-398000000,-0.07,-0.07,0,3384000000,-2225000000,-869000000,290000000,3826000000,981000000,15.69,16.66,14.72,0.0635,0.0493,6.98,2.24,20.12,2.5,0.9436,0.0301,0.7959,0.0738,0.67,0.43,2.6087
2009-03-28,5585000000,5585000000,1,48454000000,18142000000,9390000000,6341000000,39064000000,0,0,3932000000,1170000000,7145000000,629000000,629000000,0.11,0.11,0.14,378000000,409000000,-601000000,186000000,3536000000,1509000000,13.95,15.82,12.08,0.1138,0.0877,6.99,1.98,15.16,2.5,0.6982,0.03,0.8062,0.1277,0.69,-0.2,2.8611
2008-12-27,5562000000,5562000000,1,50715000000,19871000000,11627000000,7818000000,39088000000,0,0,3932000000,1886000000,8226000000,234000000,234000000,0.04,0.04,0.14,2596000000,-1989000000,-961000000,-354000000,3350000000,1765000000,15.48,18.73,12.23,0.1331,0.1012,7.03,2.21,12.29,2.36,0.5816,0.0483,0.7707,0.1408,0.72,0.15,2.5417
2008-09-27,5562000000,5562000000,1,52719000000,21423000000,13808000000,10068000000,38911000000,0,0,3924000000,1889000000,10217000000,2014000000,2014000000,0.36,0.35,0.14,3287000000,-1332000000,-2330000000,-375000000,3704000000,1374000000,21.51,24.52,18.5,0.1802,0.1369,7,3,17.78,2.22,0.4005,0.0485,0.7381,0.1829,0.75,0.34,2.1278
2008-06-28,5622000000,5622000000,1,52392000000,19778000000,12031000000,8032000000,40361000000,0,0,3915000000,1892000000,9470000000,1601000000,1601000000,0.28,0.28,0.14,2828000000,-1623000000,-3009000000,-1804000000,4079000000,1151000000,22.84,25,20.69,0.1726,0.1325,7.18,3.22,19.86,2.08,0.3961,0.0469,0.7704,0.1779,0.75,0.3,2.4624
2008-03-29,5728000000,5728000000,1,53387000000,22064000000,12727000000,8668000000,40660000000,0,0,3916000000,1990000000,9673000000,1443000000,1443000000,0.25,0.25,0.128,2215000000,-921000000,-2718000000,-1424000000,5883000000,907000000,22.64,26.66,18.63,0.1654,0.1278,7.1,3.06,19.19,1.94,0.3958,0.0489,0.7616,0.1732,0.74,0.23,2.5455
2007-12-29,5788000000,5788000000,1,55651000000,23885000000,12889000000,8571000000,42762000000,0,0,3916000000,1980000000,10712000000,2271000000,2271000000,0.39,0.38,0.11,4772000000,-2162000000,-1147000000,1463000000,7307000000,1273000000,26.18,27.98,24.37,0.1734,0.1343,7.39,3.74,24.7,1.81,0.3734,0.0463,0.7684,0.182,0.74,0.6,2.7867
