"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,241158226,241158226,1,19781000000,7084700000,12858200000,4488500000,6885800000,37000000,0,9577100000,5226500000,3575900000,199900000,199900000,0.82,0.82,0.53,-52600000,-76400000,1130100000,1004000000,1907400000,60800000,98.78,108.46,89.09,0.2024,0.0762,28.55,3.41,18.39,27.8,0.3504,0.759,0.3481,0.0894,0.85,-0.47,1.5784
2018-12-31,242168631,242168631,1,17914900000,5732000000,10850100000,4315700000,7022700000,42100000,0,9594200000,3740700000,3895100000,254000000,254000000,1.04,1.03,0.53,510400000,-108800000,-509900000,-119100000,903400000,457900000,96.12,107.08,85.15,0.1897,0.0733,29,3.23,15.6,27.27,0.3591,0.5327,0.392,0.0854,0.86,0.22,1.3282
2018-09-30,245656287,245656287,1,18304500000,6082600000,10961300000,4324000000,7308100000,35100000,0,9668700000,3739800000,4030900000,515100000,515100000,2.1,2.07,0,519700000,-75700000,-377500000,53000000,1022500000,87800000,96.41,104.55,88.26,0.218,0.0843,29.75,3.48,17.47,26.74,0.3009,0.5117,0.3993,0.1003,0.84,1.76,1.4067
2018-06-30,245309566,245309566,1,18377900000,6161700000,11554200000,4752700000,6787100000,36600000,0,9706000000,3738900000,4357700000,448100000,448100000,1.81,1.79,0.98,443900000,-187200000,-395000000,-205600000,969500000,111300000,86.52,93.41,79.63,0.2009,0.0768,27.67,3.03,16.93,26.74,0.4134,0.5509,0.3693,0.0928,0.83,1.36,1.2965
2018-03-31,247965196,247965196,1,18365100000,6071500000,11224700000,4320700000,7080700000,59700000,0,9875200000,3745500000,3384500000,120400000,120400000,0.48,0.48,0.45,-66200000,-257700000,-96400000,-374300000,1175100000,52100000,90.63,97.67,83.6,0.1884,0.0725,28.56,3.17,17.84,25.76,0.3354,0.529,0.3856,0.0896,0.81,-0.48,1.4052
2017-12-31,249889299,249889299,1,18173300000,6119100000,10966400000,4828000000,7140300000,66600000,0,9678600000,2957000000,3618100000,459900000,459900000,1.83,1.82,0.45,650300000,-168300000,-210000000,290400000,1549400000,292300000,89.77,96.23,83.3,0.1914,0.0735,28.57,3.31,22.33,25.31,0.3292,0.4141,0.3929,0.0917,0.8,1.43,1.2674
2017-09-30,249867865,249867865,1,17722800000,5813900000,10878400000,4688600000,6776200000,68200000,0,9592100000,2955900000,3670500000,367000000,367000000,1.46,1.43,0.45,467700000,-87500000,-455600000,-51100000,1259000000,69800000,88.73,94.39,83.07,0.1559,0.0594,27.12,3.35,21.96,24.86,0.4034,0.4362,0.3823,0.0747,0.79,1.59,1.24
2017-06-30,253667886,253667886,1,17773500000,5855000000,10979500000,3903500000,6721600000,72400000,0,9530000000,3704500000,3908400000,358600000,358600000,1.4,1.38,0.4,448900000,-74300000,-425400000,-12400000,1310100000,44200000,86.83,93.17,80.48,0.1575,0.06,26.5,3.38,15.73,24.41,0.3711,0.5511,0.3782,0.076,0.79,1.6,1.4999
2017-03-31,256022329,256022329,1,17259500000,5414000000,10605600000,3534100000,6583800000,70100000,0,9452100000,3711100000,3000600000,117100000,117100000,0.45,0.45,0.4,-43400000,-44600000,-341500000,-392200000,1322500000,34800000,78.26,82.17,74.35,0.2183,0.0826,25.72,3.06,13.85,24.01,0.2578,0.5637,0.3815,0.1058,0.78,-0.31,1.5319
2016-12-31,259508972,259508972,1,17397400000,5579300000,10679100000,3590300000,6643800000,74500000,0,9443500000,3709400000,3358800000,198800000,198800000,0.77,0.76,0.4,397800000,-48300000,-73600000,210100000,1714700000,231000000,71.54,79.21,63.87,0.2305,0.085,25.6,2.73,12.4,23.61,0.2381,0.5583,0.3819,0.1093,0.78,0.64,1.554
2016-09-30,258330846,258330846,1,17719900000,5714500000,10888800000,3703400000,6764100000,67000000,0,9604300000,3708900000,3567800000,377400000,377400000,1.46,1.45,0.32,682700000,-44300000,-68800000,575800000,1504600000,44300000,65.69,68.97,62.4,0.2438,0.0878,26.18,2.64,12.08,23.21,0.2132,0.5483,0.3817,0.1121,0.78,2.47,1.543
2016-06-30,257998407,257998407,1,17430500000,5393000000,10952500000,3767100000,6414400000,63600000,0,9629900000,3724800000,3688200000,747600000,747600000,2.89,2.86,0.32,431700000,372800000,-469000000,315900000,928800000,40500000,63.29,67.48,59.1,0.2415,0.0832,24.86,2.81,22.05,22.89,0.2197,0.5807,0.368,0.1071,0.78,1.52,1.4316
2016-03-31,257463751,257463751,1,16952500000,4812900000,11099800000,3930100000,5792800000,59900000,0,9687500000,3714600000,2894100000,152400000,152400000,0.58,0.58,0.32,-12000000,-40100000,-93800000,-123900000,612900000,40100000,54.78,62.48,47.08,0.1322,0.0441,22.5,2.42,22.09,22.57,0.4042,0.6412,0.3417,0.0575,0.77,-0.2,1.2246
2015-12-31,256847948,256847948,1,16738800000,4609400000,10859600000,3648400000,5816700000,62500000,0,9656300000,3734800000,3325800000,233500000,233500000,0.9,0.88,0.29,598100000,-82400000,-414200000,85300000,736800000,322200000,55.09,60.43,49.74,0.115,0.0381,22.65,2.51,21.6,22.25,0.4573,0.6421,0.3475,0.05,0.76,1.07,1.2634
2015-09-30,261048995,261048995,1,17824100000,5534800000,12027400000,4536000000,5738400000,58300000,0,9731800000,3734600000,3486900000,300900000,300900000,1.13,1.12,0.29,83000000,-59200000,-125900000,-128100000,651500000,48900000,59.54,69.28,49.8,0.118,0.039,21.98,2.71,23.82,21.96,0.4301,0.6508,0.3219,0.0519,0.75,0.13,1.2202
2015-06-30,265352974,265352974,1,17886800000,5528600000,11999300000,4457700000,5827600000,59900000,0,9781100000,3734600000,3600200000,78900000,78900000,0.29,0.29,0.29,295200000,-57900000,-207000000,45700000,779600000,57900000,68.2,70.93,65.47,0.1137,0.039,21.96,3.15,20.48,21.67,0.4224,0.6408,0.3258,0.0516,0.76,0.89,1.2402
2015-03-31,264719259,264719259,1,17409000000,5104800000,11622500000,3977500000,5724200000,62300000,0,9766200000,3741700000,2887800000,51300000,51300000,0.19,0.19,0.29,-125200000,-993400000,256800000,-971300000,733900000,51700000,64.58,69.01,60.15,0.1484,0.0526,21.62,2.84,18.88,21.38,0.3051,0.6537,0.3288,0.0692,0.76,-0.67,1.2834
2014-12-31,263321574,263321574,1,17298500000,5707900000,11253100000,3666100000,5987400000,58000000,0,9173700000,3741700000,3240600000,255400000,255400000,0.96,0.95,0.25,475600000,-76000000,428500000,768500000,1705200000,308500000,58.98,64.59,53.37,0.1495,0.0547,22.74,2.5,22.43,21.09,0.2861,0.6249,0.3461,0.0723,0.76,0.63,1.5569
2014-09-30,265471878,265471878,1,16865600000,5170100000,10531900000,4130000000,6274100000,59600000,0,9266400000,2646600000,3385000000,291300000,291300000,1.09,1.07,0.25,377500000,-56800000,-232800000,6900000,936700000,54400000,60.43,64.5,56.36,0.1113,0.0423,23.63,2.53,28.5,20.84,5.5691,0.4218,0.372,0.0646,0.65,1.22,1.2518
2014-06-30,267507567,267507567,1,17159400000,5326500000,10719300000,4254100000,6382300000,57800000,0,9383900000,2646500000,3542900000,306000000,306000000,1.13,1.12,0.25,246100000,-12000000,-203600000,31900000,929800000,44500000,59.19,63.99,54.39,0.0892,0.0339,23.86,2.54,28.87,20.59,6.726,0.4147,0.3719,0.0517,0.66,0.75,1.2521
2014-03-31,269902667,269902667,1,16774000000,4886400000,10424300000,3402600000,6285200000,64500000,0,9422000000,3152300000,2722900000,79000000,79000000,0.28,0.28,0.25,-126000000,-52200000,-851600000,-1039300000,897900000,45200000,59.29,62.88,55.7,0.0886,0.0331,23.29,2.33,28.78,20.34,6.593,0.5015,0.3747,0.051,0.65,-0.63,1.4361
2013-12-31,278035707,278035707,1,17658100000,5716700000,10526800000,3408600000,7068900000,62400000,0,9462600000,3153500000,1555900000,47700000,47700000,0.17,0.16,13.78,219300000,-64900000,868900000,1027000000,1937200000,304900000,63.29,71.75,54.83,0.0868,0.0328,25.42,2.57,23.62,20.09,6.3881,0.4461,0.4003,0.0501,0.65,-0.31,1.6771
2013-09-30,288086571,288086571,1,19002000000,5629700000,11815400000,3848600000,7094700000,91900000,0,10160900000,3154100000,3749500000,165900000,165900000,0.57,0.56,0.21,522300000,-20000000,-1567500000,-1116600000,1083900000,20300000,60.97,66.62,55.32,0.1128,0.0423,24.63,2.5,19.36,6.31,0.2867,0.4446,0.3734,0.0566,0.75,1.74,1.4628
2013-06-30,291028149,291028149,1,20273700000,6828500000,13097500000,5146900000,7094100000,82100000,0,10240300000,3155100000,3932700000,317200000,317200000,1.07,1.05,0.21,436800000,-63300000,1018600000,1367600000,2200500000,67700000,55.48,58.92,52.03,0.133,0.0506,24.38,2.28,17.02,6.1,0.2275,0.4447,0.3499,0.0682,0.74,1.27,1.3267
2013-03-31,298892270,298892270,1,18593300000,5117400000,11245800000,4170900000,7261000000,86500000,0,10261900000,2271100000,3112400000,88000000,88000000,0.29,0.29,0,-8000000,-67200000,26600000,-49200000,832900000,67200000,52.42,56.77,48.06,0.1387,0.0543,24.29,2.17,15.98,5.89,0.2049,0.3128,0.3905,0.0722,0.75,-0.25,1.2269
2012-12-31,296317386,296317386,1,18492900000,4942700000,11263600000,4161300000,7147800000,81500000,0,10339800000,2269300000,3470100000,235600000,235600000,0.78,0.78,0.37,445400000,-24300000,-466500000,-47500000,882100000,347900000,46.94,50.03,43.85,0.14,0.0545,24.12,1.9,14.35,5.89,0.2033,0.3175,0.3865,0.0726,0.75,0.33,1.1878
2012-09-30,301001865,301001865,1,18660300000,5229600000,11130300000,4326100000,7445800000,84200000,0,10343400000,2271600000,3592800000,321600000,321600000,1.05,1.03,0.16,429900000,-56300000,-357100000,26200000,929600000,56300000,43.46,47.71,39.21,0.142,0.0546,24.74,1.84,17.45,5.52,0.1763,0.3051,0.399,0.0713,0.77,1.24,1.2088
2012-06-30,308252270,308252270,1,18738700000,5371100000,11352000000,3909200000,7295600000,91100000,0,10309800000,2871500000,3821300000,365800000,365800000,1.18,1.16,0.16,289200000,-16100000,-438400000,-186100000,903400000,52100000,41.93,45.62,38.24,0.1089,0.0416,23.67,1.74,26.37,5.36,0.2153,0.3936,0.3893,0.0536,0.78,0.77,1.374
2012-03-31,298724314,298724314,1,18910500000,5367800000,11612000000,4100400000,7207300000,91200000,0,10456500000,2879300000,3150700000,95600000,95600000,0.32,0.31,0,16400000,-49700000,-41900000,-71200000,1089500000,49700000,36.61,41.98,31.24,0.0689,0.0266,24.13,1.57,34.54,5.2,0.3107,0.3995,0.3811,0.0349,0.76,-0.11,1.3091
2011-12-31,297375890,297375890,1,18754200000,5182600000,11741800000,4124500000,6924300000,88100000,0,10442200000,2879300000,3823300000,242300000,242300000,0.79,0.77,0.28,446000000,-92000000,-596100000,-243100000,1160700000,111100000,30.33,34.18,26.48,0.0444,0.0174,23.28,1.25,33.33,5.2,0.535,0.4158,0.3692,0.0232,0.75,1.13,1.2565
2011-09-30,312176652,312176652,1,19502400000,5936100000,11823700000,4333300000,7589300000,89400000,0,10546100000,2881000000,3928500000,86200000,86200000,0.26,0.25,0.12,408300000,302600000,-554500000,144000000,1403800000,35800000,36.67,47.22,26.13,0.0392,0.0156,24.31,1.47,27.37,4.92,0.3942,0.3796,0.3891,0.0214,0.73,1.19,1.3699
2011-06-30,330976917,330976917,1,20540500000,6812200000,12175500000,4607300000,8278200000,86800000,0,10699500000,2881300000,3892200000,92300000,92300000,0.28,0.26,0.12,395000000,37900000,-96400000,341700000,1259800000,6600000,47.54,52.33,42.75,0.0575,0.0227,25.01,1.94,28.64,4.8,0.2367,0.3481,0.403,0.0318,0.71,1.17,1.4786
2011-03-31,331218706,331218706,1,20124500000,6355900000,11918800000,4346600000,8108500000,97200000,0,10701300000,2888300000,3138000000,-77600000,-77600000,-0.23,-0.22,0.07,-62500000,-41000000,600000,-96200000,918100000,37400000,46.52,49.07,43.97,0.0734,0.0279,24.48,1.92,24.74,4.68,0.1625,0.3562,0.4029,0.0395,0.71,-0.3,1.4623
2010-12-31,329577804,329577804,1,19990900000,5370700000,11931800000,4224900000,7964300000,94800000,0,11433100000,2922300000,3692000000,212200000,212200000,0.65,0.62,0.07,178500000,-68400000,87000000,203600000,1014300000,59900000,41.63,47.36,35.91,0.0868,0.032,24.17,1.78,25.23,4.61,0.1415,0.3669,0.3984,0.0456,0.7,0.36,1.2712
2010-09-30,324010700,324010700,1,20235300000,5514900000,12561800000,4338100000,7573800000,99700000,0,11476600000,2922800000,3730300000,232200000,232200000,0.72,0.68,0.07,258100000,-37400000,-250300000,-10900000,810700000,38100000,35.34,38.15,32.53,0.0792,0.0284,23.38,1.62,21.81,4.54,0.1586,0.3859,0.3743,0.0416,0.68,0.68,1.2713
2010-06-30,322818986,322818986,1,20357300000,5781700000,13201100000,4877500000,7051400000,104800000,0,11372300000,2909900000,3703400000,196400000,196400000,0.61,0.58,0.07,321200000,-36900000,-57200000,222500000,821600000,34400000,37.25,40.01,34.49,0.0784,0.0276,21.84,1.71,26.23,4.47,0.1626,0.4127,0.3464,0.0412,0.67,0.89,1.1854
2010-03-31,321903126,321903126,1,19716700000,4820000000,12592400000,4206400000,7017400000,106900000,0,11531300000,2923700000,2953400000,1400000,1400000,0,0,0.07,-62400000,-35900000,-183200000,-277600000,599100000,32600000,34.38,37.51,31.26,0.0686,0.0239,21.8,1.55,25.66,4.4,0.2605,0.4166,0.3559,0.0363,0.66,-0.3,1.1459
2009-12-31,321072029,321072029,1,19991000000,4827300000,12785300000,3978200000,7101800000,103900000,0,11648800000,3219900000,3305900000,139300000,139300000,0.43,0.39,0.07,254400000,-45400000,-49600000,132800000,876700000,44900000,33.19,37.6,28.77,0.0661,0.0223,22.12,1.5,None,4.33,0.354,0.4534,0.3552,0.0342,0.65,0.65,1.2134
2009-09-30,320059548,320059548,1,20133100000,4772200000,12947200000,4030000000,7081500000,104400000,0,11766900000,3210000000,3482700000,216600000,216600000,0.67,0.65,0.07,600800000,-38200000,-616700000,-49000000,743900000,38200000,26.22,32.95,19.48,-0.4432,-0.1456,22.13,1.24,None,4.26,None,0.4533,0.3517,None,0.66,1.76,1.1842
2009-06-30,319200181,319200181,1,20426100000,5074000000,13589200000,4370400000,6735900000,101000000,0,11748500000,3454600000,3473800000,122100000,122100000,0.38,0.38,0.18,838500000,-48800000,-511000000,299300000,792900000,48700000,18.84,24.02,13.65,-0.3891,-0.1357,21.1,0.94,None,4.19,None,0.5129,0.3298,None,0.66,2.47,1.161
2009-03-31,319097397,319097397,1,20356600000,5016300000,13857900000,4629100000,6399900000,98800000,0,11704200000,3449100000,2932900000,-26700000,-26700000,-0.08,-0.08,0.18,40900000,-50300000,-30800000,-56600000,493600000,50200000,15.83,20.2,11.46,-0.3279,-0.1219,20.06,0.76,None,4.01,None,0.5389,0.3144,None,0.6,-0.03,1.0836
2008-12-31,318864140,318864140,1,20924500000,5399700000,14162400000,5511400000,6661400000,100700000,0,11834200000,2773700000,3670100000,-3290200000,-3290200000,-10.32,-10.32,0.18,355700000,-95300000,-424700000,-191300000,550200000,92100000,21.18,30.6,11.75,-0.2878,-0.1212,20.89,0.63,1.87,3.83,None,0.4164,0.3184,None,0.61,0.83,0.9797
2008-09-30,318786336,318786336,1,25775100000,6123500000,14968900000,6234800000,10702800000,103400000,0,15487600000,2785100000,4313200000,227700000,227700000,0.71,0.7,0.18,500500000,-34500000,-482200000,-45800000,741500000,54800000,35.16,41.14,29.18,0.3376,0.159,33.57,1.04,3.05,3.65,0.0669,0.2602,0.4152,0.2846,0.56,1.4,0.9821
2008-06-30,318526858,318526858,1,25883700000,6575000000,14987700000,8219900000,10792500000,103500000,0,15398300000,1189900000,3080800000,256100000,256100000,0.89,0.88,0.18,160400000,-7124600000,3697700000,-3281000000,787300000,46400000,41.69,46.84,36.54,0.4002,0.1933,33.88,1.37,3.02,3.47,0.0635,0.1103,0.417,0.3536,0.55,0.36,0.7999
2008-03-31,272885519,272885519,1,14052100000,7157100000,5636700000,2498500000,8318600000,96800000,0,4851200000,712700000,2163300000,181600000,181600000,0.66,0.66,0.18,-685700000,-52000000,-12700000,-667000000,4068300000,35300000,40.52,46.57,34.46,0.5769,0.2954,30.48,1.4,2.93,3.29,0.0506,0.0857,0.592,0.476,0.62,-2.64,2.8646
2007-12-31,272645080,272645080,1,14376200000,7700700000,6370800000,3235700000,7907900000,97500000,0,4717900000,712700000,1631400000,2518500000,2518500000,9.2,9.06,0.18,439300000,4827300000,-1004400000,4297300000,4735300000,27200000,49.44,55.94,42.94,0.6524,0.3076,29,2.59,8.97,3.11,0.0514,0.0901,0.5501,0.4527,0.68,1.51,2.3799
2007-09-30,272428065,272428065,1,12389300000,5522000000,7194800000,4199400000,5194500000,0,0,4655500000,901700000,2239000000,266600000,266600000,0.94,0.92,0.18,258600000,-41100000,-330000000,-104900000,438000000,29500000,50.59,56.66,44.52,0.3062,0.1354,19.07,2.49,9.46,2.93,0.1259,0.1736,0.4193,0.1667,0.81,0.84,1.3149
2007-06-30,286657308,286657308,1,12406300000,5664400000,6573900000,3578300000,5832400000,0,0,4584500000,894500000,2224600000,964100000,964100000,3.21,3.17,0.18,152400000,1265800000,-1186700000,238300000,460200000,4000000,50.01,56.63,43.39,0.2955,0.1352,20.35,2.8,15.98,2.75,0.1314,0.1534,0.4701,0.1562,0.87,0.52,1.583
2007-03-31,301626886,301626886,1,12411000000,4578400000,7024900000,3551200000,5386100000,0,0,5266000000,903000000,2668100000,217500000,217500000,0.71,0.7,0.18,45800000,-57300000,-42000000,-51200000,304600000,44800000,41.94,45.62,38.25,0.177,0.0829,17.86,2.39,13.15,2.57,0.2171,0.1677,0.434,0.0877,0.95,0,1.2893
2006-12-31,307801047,307801047,1,12145900000,4095900000,6741100000,3613600000,5404800000,0,0,5341000000,905200000,2890400000,222000000,222000000,0.72,0.72,0.18,458500000,-129600000,-241000000,96900000,362300000,60800000,38.96,41.21,36.71,0.1792,0.0866,17.56,2.1,11.66,2.39,0.208,0.1675,0.445,0.0905,0.96,1.29,1.1335
