"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,323478160,323478160,1,15187000000,6289000000,12092000000,2188000000,3091000000,4000000,0,5431000000,7809000000,3609000000,623000000,623000000,1.92,1.91,1,685000000,-79000000,-675000000,-78000000,1677000000,73000000,147.81,158.69,136.92,0.7536,0.1624,9.56,15.07,19.68,28.05,0.5015,2.5264,0.2035,0.1717,0.95,1.89,2.8743
2019-03-31,325775111,325775111,1,15326000000,6075000000,12126000000,3961000000,3196000000,4000000,0,5665000000,5981000000,3552000000,597000000,597000000,1.82,1.81,1,616000000,-72000000,-295000000,251000000,1755000000,75000000,134.77,146.96,122.58,0.7282,0.1644,9.81,13.59,17.73,27.05,0.4682,1.8714,0.2085,0.1721,0.96,1.66,1.5337
2018-12-31,328108383,328108383,1,14870000000,5778000000,11612000000,3542000000,3254000000,4000000,0,5717000000,6029000000,3580000000,607000000,607000000,1.84,1.83,1,809000000,-67000000,-821000000,-85000000,1504000000,70000000,131.39,145.04,117.75,0.6955,0.1657,9.92,12.3,23.67,26.05,0.4341,1.8528,0.2188,0.1736,0.95,2.25,1.6313
2018-09-30,331801491,331801491,1,15319000000,5940000000,11773000000,3663000000,3542000000,4000000,0,5785000000,6054000000,3613000000,638000000,638000000,1.91,1.9,0.78,844000000,-93000000,-761000000,-39000000,1589000000,95000000,141.81,149.16,134.45,0.4679,0.1179,10.68,12.56,25.78,25.05,0.5591,1.7092,0.2312,0.1269,0.93,2.26,1.6216
2018-06-30,335352977,335352977,1,15523000000,6119000000,11735000000,3547000000,3785000000,3000000,0,5852000000,6069000000,3831000000,666000000,666000000,1.98,1.97,0.78,620000000,-76000000,-774000000,-312000000,1628000000,81000000,148.58,160.21,136.95,0.4289,0.1162,11.29,12.1,28.46,24.27,0.5393,1.6034,0.2438,0.127,0.92,1.61,1.7251
2018-03-31,338762621,338762621,1,16163000000,6423000000,12000000000,2925000000,4159000000,4000000,0,6021000000,6889000000,3744000000,652000000,652000000,1.92,1.9,0.78,538000000,-89000000,-1608000000,-1154000000,1940000000,92000000,166.07,179.07,153.07,0.389,0.1106,12.28,12.37,34.17,23.49,0.5419,1.6564,0.2573,0.1236,0.9,1.32,2.1959
2017-12-31,341545719,341545719,1,16780000000,7278000000,12191000000,3053000000,4585000000,4000000,0,6024000000,7478000000,3629000000,-76000000,-76000000,-0.22,-0.22,0.78,695000000,-57000000,-340000000,309000000,3094000000,72000000,158.82,169.69,147.96,0.3576,0.1045,13.42,10.83,24.32,22.71,0.5556,1.631,0.2732,0.1179,0.89,1.82,2.3839
2017-09-30,342598985,342598985,1,16314000000,6912000000,11288000000,2867000000,5023000000,3000000,0,6051000000,7439000000,3615000000,640000000,640000000,1.86,1.85,0.65,780000000,-72000000,-455000000,289000000,2785000000,73000000,141.68,148.28,135.07,0.4897,0.1442,14.66,10.22,22.93,21.93,0.3948,1.481,0.3079,0.1612,0.89,2.06,2.4109
2017-06-30,344149420,344149420,1,15922000000,6570000000,11148000000,2826000000,4771000000,3000000,0,6041000000,7360000000,3599000000,587000000,587000000,1.7,1.69,0.65,464000000,-65000000,-429000000,3000000,2496000000,77000000,140.23,150.29,130.17,0.4731,0.1389,13.86,10.78,23.57,21.28,0.4003,1.5427,0.2996,0.155,0.9,1.12,2.3248
2017-03-31,345451023,345451023,1,15529000000,6430000000,11031000000,2875000000,4493000000,5000000,0,6016000000,7205000000,3471000000,536000000,536000000,1.55,1.54,0.65,463000000,-57000000,-450000000,21000000,2493000000,61000000,128.05,136.03,120.06,0.4552,0.1364,13.01,10.43,22.46,20.63,0.3985,1.6036,0.2893,0.1524,0.89,1.16,2.2365
2016-12-31,346550685,346550685,1,15201000000,6123000000,10942000000,2760000000,4254000000,5000000,0,6021000000,7177000000,3399000000,507000000,507000000,1.46,1.45,0.65,664000000,105000000,-456000000,173000000,2472000000,66000000,119.75,127.99,111.5,0.4238,0.1322,12.28,8.78,21.85,19.98,0.3986,1.6871,0.2799,0.1496,0.88,1.73,2.2185
