"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-12-29,1219938804,1219938804,1,103461000000,9075000000,51683000000,7503000000,51657000000,121000000,0,85971000000,30770000000,6900000000,-12571000000,-12571000000,-10.31,-10.31,0.63,1675000000,-197000000,-1705000000,-231000000,1136000000,232000000,49.84,58.08,41.6,-0.1637,-0.0875,42.34,0.93,5.89,9.01,None,0.5957,0.4993,None,0.23,1.18,1.2095
2018-09-29,1219434812,1219434812,1,119730000000,7590000000,54152000000,7581000000,65385000000,193000000,0,103035000000,30998000000,6378000000,630000000,630000000,0.52,0.51,0.625,670000000,-94000000,-2536000000,-2008000000,1367000000,156000000,59.66,64.99,54.32,0.1577,0.086,53.62,1.11,6.84,8.38,0.2942,0.4741,0.5461,0.3956,0.22,0.42,1.0012
2018-06-30,1219248231,1219248231,1,121896000000,9501000000,56024000000,9091000000,65677000000,195000000,0,103371000000,31380000000,6686000000,756000000,756000000,0.62,0.62,0.625,-184000000,575000000,1254000000,1575000000,3375000000,215000000,59.33,64.54,54.11,0.1667,0.0886,53.87,1.09,6.56,7.75,0.2855,0.4778,0.5388,0.4085,0.22,-0.33,1.0451
2018-03-31,1219172261,1219172261,1,120787000000,7437000000,54324000000,10329000000,66248000000,215000000,0,104443000000,28561000000,6304000000,993000000,993000000,0.81,0.81,0.625,413000000,4000000,-376000000,31000000,1800000000,223000000,70.31,80.67,59.95,0.178,0.0924,54.34,1.3,7.85,7.13,0.2723,0.4311,0.5485,0.4241,0.22,0.16,0.72
2017-12-30,1218801890,1218801890,1,120232000000,7266000000,53985000000,10132000000,66034000000,213000000,0,104273000000,28333000000,6877000000,8003000000,8003000000,6.57,6.52,0.63,511000000,432000000,-737000000,220000000,1769000000,261000000,78.84,82.48,75.21,0.1827,0.0916,54.18,1.64,24.64,6.5,0.2719,0.4291,0.5492,0.4193,0.22,0.21,0.7171
2017-09-30,1218467836,1218467836,1,120051000000,7228000000,61080000000,9387000000,58759000000,212000000,0,104358000000,28299000000,6314000000,944000000,944000000,0.78,0.77,0.625,194000000,301000000,-478000000,31000000,1549000000,266000000,83.89,90.38,77.4,0.0679,0.0328,48.22,1.75,26.89,5.87,0.7496,0.4816,0.4895,0.1503,0.22,-0.06,0.77
2017-07-01,1218251122,1218251122,1,119416000000,7108000000,60870000000,7356000000,58333000000,213000000,0,103965000000,29979000000,6677000000,1159000000,1159000000,0.95,0.94,0.6,437000000,289000000,-2506000000,-1764000000,1518000000,322000000,89.13,93.88,84.39,0.0664,0.0319,47.88,1.88,31.72,5.25,0.7614,0.5139,0.4885,0.1467,0.22,0.09,0.9663
2017-04-01,1217633003,1217633003,1,120802000000,8875000000,62858000000,9383000000,57732000000,212000000,0,103630000000,29748000000,6364000000,893000000,893000000,0.73,0.73,0.6,-615000000,134000000,-505000000,-973000000,3282000000,368000000,91.59,97.77,85.41,0.0598,0.03,47.41,1.94,32.59,4.65,0.8383,0.5153,0.4779,0.1312,0.22,-0.81,0.9459
2016-12-31,1217136057,1217136057,1,120480000000,8753000000,62906000000,9501000000,57358000000,216000000,0,103422000000,29713000000,6857000000,944000000,944000000,0.78,0.76,0.6,2372000000,-371000000,-1597000000,284000000,4204000000,411000000,84.92,90.15,79.69,0.0598,None,47.13,1.79,None,4.05,0.8285,0.518,0.4761,0.1303,0.22,1.61,0.9213
2016-10-02,1217270219,1217270219,1,121080000000,8943000000,63212000000,9414000000,57642000000,226000000,0,104138000000,29980000000,6267000000,842000000,842000000,0.69,0.69,0.6,762000000,-226000000,-835000000,-317000000,3920000000,322000000,87.4,90.54,84.25,None,None,47.35,1.84,None,3.45,None,0.5201,0.4761,None,None,0.36,0.95
2016-07-03,1217650866,1217650866,1,121684000000,9347000000,63637000000,9593000000,57826000000,221000000,0,104403000000,30002000000,6793000000,950000000,770000000,0.63,0.63,0.575,1834000000,-191000000,-1562000000,38000000,4237000000,211000000,83.02,89.4,76.64,None,None,47.49,1.74,None,2.85,None,0.5188,0.4752,None,None,1.33,0.9744
2016-04-03,1215955228,1215955228,1,123273000000,9812000000,56673000000,6730000000,58043000000,8557000000,0,105591000000,25167000000,6570000000,896000000,896000000,0.74,0.73,0.575,270000000,-325000000,-627000000,-638000000,4199000000,303000000,73.67,79.16,68.18,None,None,47.73,1.55,None,2.27,None,0.4336,0.4708,None,None,-0.03,1.4579
2016-01-03,1215189526,1215189526,1,122973000000,9780000000,56737000000,6932000000,57685000000,8551000000,0,105171000000,25151000000,None,None,None,None,None,1.15,1721000000,-303000000,-1008000000,400000000,4837000000,290000000,74.3,79.94,68.65,None,None,47.47,1.53,None,1.7,None,0.436,0.4691,None,None,1.18,1.4108
2015-09-27,1213455716,1213455716,1,121792000000,10411000000,54433000000,5746000000,58811000000,8548000000,0,103443000000,25250000000,6120000000,-123000000,-303000000,-0.27,-0.27,0.55,None,None,None,None,4437000000,0,71.31,81.2,61.42,None,None,48.47,None,None,0.55,None,0.4293,0.4829,None,None,None,1.8119
