"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,965432952,965432952,1,38666400000,13454500000,35809100000,11855400000,2780500000,76800000,0,10406700000,13717600000,5636700000,1327200000,1327200000,1.44,1.44,1.29,1051500000,61000000,-885800000,253800000,2290200000,240300000,120.69,131.35,110.02,None,0.1899,2.88,47.33,19.25,39.42,0.3991,4.9335,0.0719,0.3376,0.56,0.84,1.1349
2019-03-31,970830868,970830868,1,38006800000,12597500000,35441800000,11236100000,2480300000,84700000,0,10497400000,13610200000,5092200000,4241600000,4241600000,4.33,4.31,0.645,311300000,-7678700000,1367800000,-5961800000,2036400000,203700000,121.61,132.13,111.1,0.6774,0.1482,2.55,12.81,38.98,38.13,0.3978,5.4873,0.0653,0.2612,0.57,0.11,1.1212
2018-12-31,1035418562,1035418562,1,43908400000,20549600000,32999300000,11888100000,9828700000,1080400000,0,7868500000,11639700000,6438600000,1125000000,1125000000,1.1,1.09,0.64,1448700000,-659000000,-1639700000,-961800000,7998200000,390700000,112,119.84,104.17,0.2639,0.0738,9.49,9.08,260.47,37.49,0.7652,1.1843,0.2238,0.1316,0.56,1.02,1.7286
2018-09-30,1059322255,1059322255,1,44625100000,20685900000,30474200000,10826700000,13076600000,1074300000,0,7977800000,11674700000,6061900000,1149500000,1149500000,1.13,1.12,0.5625,2121800000,-398100000,432700000,2142700000,8960000000,269800000,96.28,107.84,84.71,0.0355,0.0102,12.34,8.95,None,36.85,5.2883,0.8928,0.293,0.0185,0.55,1.75,1.9106
2018-06-30,1073987856,1073987856,1,42359200000,18332700000,30738400000,13055200000,11555200000,65600000,0,8105200000,9170500000,6355200000,-259900000,-259900000,-0.25,-0.25,0.5625,1517500000,3133400000,-831400000,3733000000,6817300000,310000000,81.34,87.27,75.4,-0.0109,-0.0033,10.76,6.08,78.21,36.28,None,0.7936,0.2728,None,0.55,1.12,1.4042
2018-03-31,1085430420,1085430420,1,44355600000,16261500000,29767800000,11547000000,14527000000,60800000,0,8332400000,9393500000,5700000000,1217400000,1217400000,1.16,1.16,0.5625,436500000,-170300000,-3866500000,-3451900000,3084300000,236500000,81.01,88.33,73.69,0.0816,0.0259,13.38,7.66,None,35.72,2.0686,0.6466,0.3275,0.0482,0.54,0.18,1.4083
2017-12-31,1095597580,1095597580,1,44981000000,19202100000,33313100000,14535900000,11592200000,75700000,0,8399300000,9940500000,6160700000,-1656900000,-1656900000,-1.6,-1.6,0.52,1743500000,1652900000,-542300000,2811900000,6536200000,402800000,85.25,89.09,81.42,-0.0149,-0.0049,10.58,6.31,40.4,35.16,None,0.8575,0.2577,None,0.55,1.22,1.321
2017-09-30,1101094711,1101094711,1,43010400000,17428400000,28049800000,12666500000,14890300000,70300000,0,8637200000,9926600000,5658000000,555600000,555600000,0.53,0.53,0.52,1881100000,-1758000000,500700000,654400000,3724300000,242700000,81.25,85.61,76.89,0.156,0.0555,13.52,6.34,35.17,34.64,1.0256,0.6666,0.3462,0.099,0.56,1.49,1.3759
2017-06-30,1100988944,1100988944,1,40946500000,15746500000,26776800000,11294500000,14100800000,68900000,0,8833400000,9867900000,5824300000,1008000000,1008000000,0.96,0.95,0.52,1651100000,-2248900000,1059900000,453000000,3069900000,221600000,81.78,86.72,76.85,0.1696,0.0632,12.81,6.43,39.51,34.12,0.9285,0.6998,0.3444,0.1112,0.57,1.3,1.3942
2017-03-31,1103388743,1103388743,1,37624300000,12976200000,23520600000,10448000000,14031000000,72700000,0,8904700000,7637500000,5228300000,-110800000,-110800000,-0.1,-0.1,0.52,339900000,-1429600000,-875700000,-1965200000,2616900000,169000000,79.84,86.14,73.54,0.1501,0.0581,12.72,6.29,30.95,33.6,1.0346,0.5443,0.3729,0.1013,0.57,0.15,1.242
