"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,141238583,141238583,1,9002921000,None,5917652000,None,2854713000,230556000,0,0,5012072000,226522000,8843000,7824000,0.05,0.05,0.75,98840000,-1222000,-92844000,4774000,154075000,37083000,44.34,47.05,41.63,0.034,0.0124,20.21,2.12,105.57,54.68,4.1468,1.7557,0.3171,0.1067,0.11,0.44,None
2018-12-31,141161293,141161293,1,9026808000,None,5838376000,None,2950232000,238200000,0,46188000,4982460000,246874000,13246000,11749000,0.09,0.09,0.75,97150000,-79836000,-12113000,5201000,149301000,71048000,48.22,55.54,40.9,0.0196,0.0076,20.9,2.23,86.11,53.93,6.9804,1.6888,0.3268,0.0625,0.11,0.18,None
2018-09-30,141050902,141050902,1,9010730000,None,5722801000,None,3044448000,243481000,0,0,4874861000,242198000,81241000,74028000,0.52,0.52,0.74,82311000,-9976000,-70747000,1588000,144100000,49910000,57.66,60.95,54.36,0.025,0.0102,21.58,2.65,360.38,53.18,5.1507,1.6012,0.3379,0.0835,0.11,0.23,None
2018-06-30,141050902,141050902,1,9115217000,None,5800042000,None,3070510000,244665000,0,0,4970097000,234545000,8866000,7816000,0.05,0.05,0.74,69882000,-45266000,-49956000,-25340000,142512000,62063000,56.77,60,53.55,0.0072,0.0034,21.77,2.53,189.23,52.44,16.8582,1.6187,0.3369,0.0252,0.1,0.06,None
2018-03-31,140992474,140992474,1,9157273000,None,5748688000,None,3157760000,250825000,0,0,4906247000,236734000,-34381000,-33573000,-0.24,-0.24,0.74,94968000,311401000,-381622000,24747000,167852000,54210000,62.04,69.73,54.35,0.012,0.0055,22.4,2.37,60.82,51.7,9.4408,1.5537,0.3448,0.044,0.1,0.29,None
2017-12-31,140852118,140852118,1,9605862000,None,5637863000,None,3681578000,286421000,0,59883000,5170264000,256743000,38584000,32751000,0.23,0.23,0.74,86539000,12966000,-79555000,19950000,91038000,76967000,59.99,67.53,52.45,0.0383,0.0168,26.14,2.25,56.59,50.96,2.7732,1.4044,0.3833,0.1471,0.1,0.07,None
2017-09-30,140772872,140772872,1,9606911000,None,5569817000,None,3746321000,290773000,0,0,5053674000,242451000,19228000,17498000,0.12,0.12,0.71,109623000,-26516000,-99152000,-16045000,71088000,47830000,56.83,61.55,52.12,0.0384,0.0168,26.61,2.08,55.17,50.22,2.6789,1.349,0.39,0.1492,0.1,0.44,None
2017-06-30,141414438,141414438,1,9682206000,None,5521531000,None,3859556000,301119000,0,0,4991385000,247423000,29052000,26638000,0.19,0.19,0.71,87523000,-16681000,-76005000,-5163000,87133000,39990000,61.62,67.18,56.06,0.0365,0.0161,27.29,2.21,53.58,49.51,2.7326,1.2933,0.3986,0.1439,0.1,0.34,None
2017-03-31,141779397,141779397,1,9712064000,None,5438167000,None,3957453000,316444000,0,0,4906522000,247045000,74809000,69243000,0.48,0.48,0.71,102704000,207103000,-311557000,-1750000,92296000,37363000,67.74,73.34,62.14,0.0402,0.018,27.91,2.37,19.75,48.8,2.4088,1.2398,0.4075,0.1601,0.1,0.46,None
2016-12-31,143904832,143904832,1,9958148000,None,5530980000,None,4105887000,321281000,0,0,4965900000,272000000,40834000,37128000,0.25,0.27,0.71,98447000,-51013000,-37569000,9865000,94046000,81710000,73.27,80.54,66,0.1204,0.0553,28.53,2.53,12.59,48.09,0.7709,1.2095,0.4123,0.4965,0.1,0.12,None
2016-09-30,143725077,143725077,1,9941765000,None,5451257000,None,4163202000,327306000,0,0,4894102000,253367000,13196000,13730000,0.09,0.09,0.68,111378000,9342000,-109677000,11043000,84181000,55937000,86.64,94.51,78.76,0.2013,0.0926,28.97,2.94,14.59,47.38,1.1196,1.1756,0.4188,0.8209,0.11,0.39,None
2016-06-30,143625500,143625500,1,9997679000,None,5420578000,None,4236172000,340929000,0,0,4912512000,259904000,49434000,45222000,0.31,0.31,0.68,99840000,126369000,-259576000,-33367000,73138000,55626000,78.6,85.39,71.82,0.1921,0.0876,29.49,2.5,13.74,46.7,1.1009,1.1597,0.4237,0.7865,0.1,0.31,None
2016-03-31,148492665,148492665,1,10211345000,None,5181475000,None,4667011000,362859000,0,0,4658968000,256000000,451375000,420915000,2.77,2.76,0.68,107841000,358415000,-446261000,19995000,106505000,66206000,77.94,82.88,72.99,0.1741,0.0787,31.43,2.46,25.06,46.02,1.1453,0.9983,0.457,0.721,0.1,0.28,None
2015-12-31,149149560,149149560,1,11258576000,None,6187337000,None,4715414000,355825000,0,0,5283742000,320758000,444185000,414959000,2.65,2.66,4.73,126726000,450735000,-583960000,-6499000,86510000,82643000,80.42,86.29,74.55,0.0919,0.0409,31.62,2.35,8.07,45.34,2.0801,1.1205,0.4188,0.3785,0.1,0.3,None
2015-09-30,158327709,158327709,1,13350181000,None,7535965000,None,5427976000,386240000,0,0,6826158000,326262000,36314000,33597000,0.22,0.21,0.65,140772000,-93639000,-64450000,-17317000,93009000,93963000,76.75,81.52,71.98,0.2714,0.1214,34.28,2.21,7.67,40.61,0.274,1.2576,0.4066,1.1639,0.1,0.3,None
2015-06-30,158321195,158321195,1,13360376000,None,7475729000,None,5493328000,391319000,0,0,6739208000,322794000,15746000,14395000,0.09,0.09,0.65,110749000,-308100000,189516000,-7835000,110326000,55051000,80.41,86.31,74.51,0.3023,0.1319,34.7,2.28,8.02,39.96,0.2632,1.2268,0.4112,1.2253,0.1,0.35,None
2015-03-31,158262276,158262276,1,13196667000,None,7223102000,None,5576537000,397028000,0,0,6474354000,318335000,26667000,24611000,0.15,0.15,0.65,162130000,-150020000,21144000,33254000,118161000,120262000,88.77,95.93,81.61,0.3414,0.1448,35.24,2.49,8.88,39.31,0.2525,1.161,0.4226,1.2992,0.1,0.26,None
2014-12-31,158160241,158160241,1,13121778000,None,7081929000,None,5640120000,399729000,0,0,6292400000,322909000,1530558000,1429221000,9.52,9.51,0.65,103800000,86608000,-163980000,26428000,84907000,90005000,74.4,85.55,63.25,0.3901,0.1591,35.66,3.28,48.95,38.66,0.2432,1.1157,0.4298,1.3563,0.11,0.09,None
2014-09-30,140715832,140715832,1,9206108000,None,5667055000,None,3190820000,348233000,0,0,4930539000,263493000,38744000,35914000,0.25,0.25,0.62,106334000,-167600000,63245000,1979000,58479000,65071000,65.72,68.81,62.62,0.0656,0.025,22.68,2.86,42.68,38.01,1.6249,1.5452,0.3466,0.2067,0.11,0.29,None
2014-06-30,140714194,140714194,1,9062263000,None,5471585000,None,3237625000,353053000,0,0,4760107000,254333000,17985000,16088000,0.11,0.11,0.62,92661000,-152548000,51461000,-8426000,56500000,77917000,64.97,68.28,61.66,0.0657,0.0252,23.01,2.77,21.66,37.39,1.5819,1.4702,0.3573,0.2091,0.11,0.1,None
