"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,11836334,11836334,1,212571000,171976000,86548000,76044000,126023000,0,0,0,0,187103000,21383000,21383000,1.8,1.75,0.75,14478000,-1098000,-18911000,-5531000,96311000,2528000,142.45,159.41,125.5,0.6106,0.3735,10.65,13.88,26.83,6.45,0.4534,0,0.5929,0.1122,3.33,1.01,2.2615
2019-03-31,11897679,11897679,1,210070000,169310000,88002000,76895000,122068000,0,0,0,0,165876000,20750000,20750000,1.75,1.7,0.75,32734000,-3444000,-8813000,20478000,101842000,4444000,125.21,144.11,106.31,0.5773,0.3622,10.26,13.62,27.1,5.7,0.4556,0,0.5811,0.1132,3.2,2.38,2.2018
2018-12-31,11870444,11870444,1,169429000,145519000,60323000,60323000,109106000,0,0,0,0,145844000,15653000,15653000,1.33,1.31,0.75,15338000,-382000,-15899000,-943000,81364000,1682000,168.26,223.73,112.8,0.5104,0.3423,9.19,18.03,43.03,4.95,0.4691,0,0.644,0.1114,3.07,1.15,2.4123
2018-09-30,11964966,11964966,1,174447000,151932000,62806000,62806000,111641000,0,0,0,0,139239000,13781000,13781000,1.15,1.14,0.48,6947000,-107000,-5607000,1233000,82307000,1152000,207.55,260.98,154.12,0.4345,0.3019,9.33,24.11,62.52,4.2,0.4858,0,0.64,0.1095,2.76,0.48,2.4191
2018-06-30,11950621,11950621,1,156307000,135091000,53444000,53444000,102863000,0,0,0,0,117324000,14133000,14133000,1.17,1.16,0.48,20523000,-624000,-25786000,-5887000,81076000,624000,135.11,179.52,90.69,0.3725,0.2742,8.61,14.34,48.43,3.72,0.5235,0,0.6581,0.1087,2.52,1.67,2.5277
2018-03-31,12062532,12062532,1,151817000,131131000,38187000,38187000,113630000,0,0,0,0,98596000,12222000,12222000,1.02,1.01,0.48,18008000,-86000,-6036000,11886000,86963000,1286000,78.18,94.4,61.96,0.3111,0.2407,9.42,8.67,34.14,3.24,0.5682,0,0.7485,0.1026,2.35,1.39,3.4339
2017-12-31,12036811,12036811,1,145929000,125198000,37348000,37140000,108581000,0,0,0,0,78007000,7306000,7306000,0.6,0.6,0.48,9983000,211000,-5586000,4524000,75077000,841000,66.52,73.52,59.51,0.2639,0.2081,9.02,7.33,32.93,2.76,0.6216,0,0.7441,0.0919,2.26,0.76,3.371
2017-09-30,11933645,11933645,1,134463000,115312000,26253000,26253000,108210000,0,0,0,0,77205000,6686000,6686000,0.56,0.55,0.32,12505000,-1664000,-3827000,7021000,70553000,1359000,50.09,60.18,40,0.2407,0.1931,9.07,5.74,25.3,2.28,0.6223,0,0.8048,0.0858,2.25,0.93,4.3923
2017-06-30,11930133,11930133,1,129515000,110724000,25340000,25144000,104175000,0,0,0,0,75729000,7584000,7584000,0.64,0.63,0.32,14066000,-694000,-3814000,9562000,63532000,550000,43.95,47.35,40.55,0.2425,0.1924,8.73,5.29,26.8,1.96,0.6026,0,0.8043,0.0862,2.23,1.13,4.4036
2017-03-31,11927033,11927033,1,122947000,103644000,23779000,23150000,99168000,0,0,0,0,70622000,6145000,6145000,0.52,0.51,0.32,6683000,-1016000,-4135000,1534000,53970000,411000,43.3,46.36,40.23,0.2068,0.1624,8.31,5.37,29.06,1.64,0.6872,0,0.8066,0.0723,2.25,0.53,4.4771
2016-12-31,11906286,11906286,1,121216000,101297000,25200000,24421000,96016000,0,0,0,0,62467000,4113000,4113000,0.35,0.33,0.32,-315000,-837000,-3528000,-4684000,52436000,837000,40.54,43,38.08,0.1917,0.148,8.06,5.06,27.21,1.32,0.7118,0,0.7921,0.065,2.28,-0.1,4.1479
