"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-31,132526191,132526191,1,10236700000,1473100000,6854100000,1860100000,3370900000,11700000,0,7371500000,3977500000,1301900000,149400000,149400000,1.13,1.12,0.57,210600000,-28700000,-141300000,37100000,139400000,28700000,145.19,157,133.37,0.2112,0.0668,25.44,5.75,29.45,22.61,0.4205,1.18,0.3293,0.1274,0.52,1.37,0.7919
2019-02-28,132007641,132007641,1,10227900000,1428000000,6885200000,1829100000,3331000000,11700000,0,7407700000,4034000000,1231500000,148000000,148000000,1.12,1.11,0.57,103600000,-25300000,-79400000,5700000,102300000,25400000,137.5,156,119,0.2086,0.064,25.23,5.73,19.64,22.04,0.4261,1.211,0.3257,0.1219,0.53,0.59,0.7807
2018-11-30,132148261,132148261,1,10256400000,1479900000,7074200000,2001700000,3170900000,11300000,0,7401200000,4052900000,1499200000,214000000,214000000,1.62,1.59,0.52,432200000,-45100000,-358400000,23600000,96600000,44200000,136.71,151.42,122,0.302,0.0904,24,5.8,20.31,21.47,0.2932,1.2782,0.3092,0.1726,0.52,2.94,0.7393
2018-08-31,131665195,131665195,1,10278000000,1474200000,7166000000,1855100000,3101700000,10300000,0,7435100000,4269800000,1345300000,173500000,173500000,1.32,1.3,0.52,154100000,-50200000,-231100000,-129600000,73000000,52700000,113.2,126.87,99.53,0.3047,0.0865,23.56,4.91,18.03,20.95,0.2978,1.3766,0.3018,0.1657,0.52,0.77,0.7947
2018-05-31,131267013,131267013,1,10383800000,1564200000,7343500000,1846700000,3028500000,11800000,0,7470300000,4456200000,1327300000,123300000,123300000,0.94,0.93,0.52,255400000,-28000000,-200800000,23000000,202600000,28900000,105.85,111.46,100.24,0.2971,0.08,23.07,4.54,17.24,20.43,0.313,1.4714,0.2917,0.1583,0.5,1.73,0.847
2018-02-28,131256326,131256326,1,10363000000,1606000000,7290600000,1871500000,3060200000,12200000,0,7533100000,4378600000,1237100000,422600000,422600000,3.22,3.18,0.52,-20500000,-35200000,39200000,-7200000,179600000,31000000,104,109.67,98.34,0.3246,0.0896,23.31,5.33,28.11,19.91,0.31,1.4308,0.2953,0.1604,0.56,-0.39,0.8581
2017-11-30,131106110,131106110,1,10385800000,1617000000,7814900000,1947300000,2559900000,11000000,0,7561200000,4443900000,1490900000,175700000,175700000,1.34,1.32,0.47,512300000,-73200000,-410700000,20700000,186800000,73600000,98.82,103.94,93.7,0.2221,0.0628,19.53,5.13,27.37,19.39,0.5035,1.736,0.2465,0.0988,0.64,3.35,0.8304
2017-08-31,130998369,130998369,1,10381700000,1642600000,7848400000,1734200000,2521600000,11700000,0,7656300000,4702300000,1185200000,108200000,108200000,0.86,0.85,0.47,125800000,-4245300000,4142100000,36100000,166100000,41900000,98.38,106.5,90.25,0.2396,0.0745,19.25,6.82,26.16,18.92,0.5066,1.8648,0.2429,0.0812,0.92,0.64,0.9472
2017-05-31,124597256,124597256,1,4872100000,1425900000,3062700000,1801400000,1798100000,11300000,0,2383800000,804300000,1114300000,100000000,100000000,0.8,0.79,0.47,132900000,-37100000,-85600000,4300000,130000000,37100000,100.96,104.82,97.1,0.2774,0.1009,14.43,7.32,27.29,18.45,0.4705,0.4473,0.3691,0.1069,0.94,0.77,0.7916
2017-02-28,124678471,124678471,1,4751100000,1385100000,3019500000,1738400000,1719200000,12400000,0,2331500000,803500000,1043700000,93500000,93500000,0.75,0.74,0.47,44300000,-152700000,110200000,7300000,125700000,28700000,94.15,99.66,88.64,0.2755,0.1008,13.79,7.25,25.51,17.98,0.468,0.4674,0.3619,0.1068,0.94,0.13,0.7968
