"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,230494278,230494278,1,98320000000,None,95008000000,None,3301000000,11000000,0,769000000,86776000000,515000000,153000000,153000000,0.65,0.64,0.16,334000000,2473000000,-2601000000,206000000,4426000000,0,12.85,14.01,11.69,0.1337,0.0046,14.32,0.9,8.34,3.32,0.3331,26.2878,0.0336,0.235,0.02,1.45,None
2019-03-31,239307852,239307852,1,100579000000,None,97136000000,None,3430000000,13000000,0,780000000,88140000000,504000000,128000000,128000000,0.52,0.52,0.16,188000000,2408000000,-3638000000,-1042000000,4220000000,0,10.77,12.9,8.64,0.1104,0.0038,14.33,0.75,7.23,3.16,0.4056,25.6968,0.0341,0.2083,0.02,0.79,None
2018-12-31,244507321,244507321,1,104176000000,None,100629000000,None,3519000000,28000000,0,786000000,93519000000,457000000,72000000,72000000,0.29,0.28,0.16,485000000,2161000000,-2632000000,14000000,5262000000,0,11.07,13.91,8.23,0.1083,0.0037,14.39,0.77,12.44,3,0.4179,26.5754,0.0338,0.2034,0.02,1.98,None
2018-09-30,257966088,257966088,1,106493000000,None,102738000000,None,3724000000,31000000,0,792000000,96089000000,511000000,114000000,114000000,0.44,0.43,0.16,173000000,2443000000,-2376000000,240000000,5248000000,0,13.7,14.48,12.91,0.0658,0.0022,14.44,0.98,12.45,2.84,0.7033,25.8026,0.035,0.1155,0.02,0.67,None
2018-06-30,264627306,264627306,1,108949000000,None,105204000000,None,3714000000,31000000,0,798000000,98690000000,434000000,83000000,83000000,0.31,0.31,0.16,198000000,3035000000,-4022000000,-789000000,5008000000,0,13.71,15.03,12.38,0.084,0.0027,14.03,1,11.62,2.68,0.5611,26.5724,0.0341,0.1383,0.02,0.75,None
2018-03-31,264606504,264606504,1,113209000000,None,109541000000,None,3637000000,31000000,0,802000000,102797000000,540000000,126000000,126000000,0.48,0.47,0.16,284000000,2721000000,-1854000000,1151000000,5797000000,0,13.73,14.87,12.6,0.0932,0.0028,13.74,1.05,13.59,2.52,0.5164,28.2642,0.0321,0.1463,0.02,1.07,None
2017-12-31,263388482,263388482,1,114991000000,None,111506000000,None,3454000000,31000000,0,810000000,105012000000,585000000,-84000000,-84000000,-0.32,-0.32,0.16,243000000,2424000000,-2397000000,270000000,1518000000,0,13.29,15.1,11.48,0.0824,0.0025,13.11,0.99,7.34,2.36,0.5948,30.403,0.03,0.1322,0.02,0.92,None
2017-09-30,263012203,263012203,1,117085000000,None,113535000000,None,3526000000,24000000,0,727000000,108557000000,618000000,176000000,176000000,0.65,0.64,0.16,289000000,3194000000,-3388000000,95000000,1248000000,0,15.01,16.93,13.09,0.1446,0.0044,13.41,1.16,7.9,2.2,0.3418,30.7876,0.0301,0.2341,0.02,1.1,None
2017-06-30,274104268,274104268,1,120354000000,None,116790000000,None,3540000000,24000000,0,658000000,110778000000,513000000,112000000,112000000,0.4,0.39,0.16,275000000,-1133000000,647000000,-211000000,1153000000,0,15.16,16.97,13.36,0.1576,0.0047,12.91,1.18,8.02,2.04,0.3209,31.2932,0.0294,0.2467,0.02,1,None
2017-03-31,284941056,284941056,1,117890000000,None,114218000000,None,3648000000,24000000,0,664000000,109586000000,492000000,88000000,88000000,0.31,0.3,0.16,350000000,3011000000,-3250000000,111000000,1364000000,0,15.36,17.05,13.67,0.1596,0.0048,12.8,1.21,7.25,1.88,0.3255,30.04,0.0309,0.2481,0.02,1.23,None
2016-12-31,291008528,291008528,1,121136000000,None,117413000000,None,3699000000,24000000,0,670000000,112368000000,603000000,145000000,145000000,0.49,0.48,0.16,243000000,2913000000,-3726000000,-570000000,1253000000,0,15.3,17.95,12.66,0.1828,0.0054,12.71,1.25,6.27,1.72,0.2917,30.3779,0.0305,0.2698,0.02,0.84,None
2016-09-30,303098470,303098470,1,125312000000,None,121578000000,None,3710000000,24000000,0,683000000,116540000000,723000000,230000000,230000000,0.74,0.73,0.16,343000000,3111000000,-3008000000,446000000,1823000000,0,13.18,14.82,11.53,0.2166,0.0063,12.24,1.14,5.63,1.56,0.185,31.4124,0.0296,0.3013,0.02,1.13,None
