"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-09-30,200339967,200339967,1,5676000000,757000000,3805000000,1051000000,1871000000,0,0,0,2436000000,711000000,224000000,224000000,1.12,1.11,0,349000000,-365000000,-12000000,-28000000,311000000,365000000,28.36,31.46,25.26,0.3263,0.0988,9.34,3.45,14.69,0,0,1.302,0.3296,0.2114,0.47,-0.08,0.7203
2018-06-30,199857444,199857444,1,5461000000,756000000,3821000000,1050000000,1640000000,0,0,0,2435000000,679000000,119000000,119000000,0.6,0.59,0,488000000,-390000000,0,98000000,339000000,390000000,27.19,31.35,23.02,0.2644,0.0763,8.21,3.61,14.86,0,0,1.4848,0.3003,0.1754,0.44,0.49,0.72
2018-03-31,199726282,199726282,1,5122000000,646000000,3617000000,844000000,1505000000,0,0,0,2434000000,580000000,86000000,86000000,0.43,0.43,0,260000000,-376000000,-9000000,-125000000,241000000,376000000,28.96,35.2,22.72,0.2701,0.0754,7.54,4.11,13.6,0,0,1.6173,0.2938,0.1896,0.4,-0.58,0.7654
2017-12-31,199722409,199722409,1,4961000000,746000000,3553000000,818000000,1408000000,0,0,0,2434000000,509000000,95000000,95000000,0.47,0.47,0,312000000,-414000000,0,-102000000,326000000,414000000,30.55,33.33,27.77,0.3405,0.0914,7.05,4.69,17.66,0,0,1.7287,0.2838,0.2417,0.38,-0.51,0.912
2017-09-30,199618755,199618755,1,4744000000,836000000,3443000000,712000000,1301000000,0,0,0,2433000000,439000000,87000000,87000000,0.44,0.44,0,173000000,-261000000,-6000000,-94000000,428000000,286000000,27.23,30.05,24.41,0.3036,0.0765,6.52,4.49,17.8,0,0,1.8701,0.2742,0.2062,0.37,-0.57,1.1742
2017-06-30,199319211,199319211,1,4595000000,883000000,3388000000,678000000,1207000000,0,0,0,2432000000,402000000,98000000,98000000,0.49,0.49,0,300000000,-242000000,-5000000,53000000,522000000,242000000,32.41,37.61,27.22,0.2942,0.0699,6.06,5.87,None,0,0,2.0149,0.2627,0.1882,0.37,0.29,1.3024
2017-03-31,199194558,199194558,1,4388000000,865000000,3288000000,583000000,1100000000,0,0,0,2432000000,417000000,147000000,147000000,0.74,0.73,0,167000000,-251000000,-2000000,-86000000,469000000,251000000,38.37,43.74,33,-0.4799,-0.1068,5.52,8.15,None,0,None,2.2109,0.2507,None,0.37,-0.42,1.4837
2016-12-31,198963323,198963323,1,4312000000,949000000,3374000000,684000000,938000000,0,0,0,2431000000,415000000,13000000,13000000,0.07,0.07,0,239000000,-162000000,0,77000000,555000000,162000000,43.59,50,37.17,None,-0.2798,4.71,9.46,None,0,None,2.5917,0.2175,None,0.33,0.39,1.3874
2016-09-30,198884581,198884581,1,4213000000,899000000,3297000000,585000000,916000000,0,0,0,2430000000,392000000,48000000,48000000,0.24,0.24,0,209000000,116000000,-12000000,313000000,478000000,-141000000,43.41,47.56,39.25,None,-0.4225,4.61,9.89,None,0,None,2.6528,0.2174,None,0.31,1.76,1.5368
2016-06-30,198604244,198604244,1,4285000000,638000000,3413000000,657000000,872000000,0,0,0,2430000000,381000000,-667000000,-667000000,-3.36,-3.36,0,306000000,-670000000,-8000000,-372000000,165000000,670000000,37.84,44.79,30.88,None,-0.6578,4.39,4.88,None,0,None,2.7867,0.2035,None,0.29,-1.83,0.9711
