"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2011-05-29,253273331,253273331,1,2395300000,1598600000,1544800000,195500000,850500000,0,0,68300000,1042800000,374100000,67100000,67100000,0.27,0.28,0.1,146500000,-17800000,104500000,233200000,1093500000,18600000,19.18,24.6,13.76,0.4649,0.136,3.36,7.16,15.22,1.46,0.3109,1.2261,0.3551,0.1965,0.69,0.5,8.177
2011-02-27,242834280,242834280,1,2172200000,1345500000,1522500000,161400000,649700000,0,0,68300000,1042600000,343900000,59400000,59400000,0.25,0.24,0.1,59300000,-66400000,-11400000,-18500000,860300000,37100000,14.61,15.92,13.29,0.5795,0.1435,2.68,6.01,11.78,1.36,0.2789,1.6047,0.2991,0.2013,0.71,0.09,8.3364
2010-11-28,241141890,241141890,1,2153100000,1331700000,1566700000,206800000,586400000,0,0,68300000,1044400000,390400000,83500000,83500000,0.35,0.34,0.1,122500000,-24300000,1900000,100100000,878800000,23700000,12.98,14.13,11.84,0.6611,0.1417,2.43,6.43,11.8,1.26,0.2674,1.781,0.2724,0.195,0.73,0.41,6.4396
2010-08-29,239566095,239566095,1,2068700000,1239800000,1584700000,263500000,484000000,0,0,68300000,1013600000,412000000,88800000,88800000,0.37,0.36,0.08,45200000,-25600000,-267900000,-248300000,778700000,22500000,13.71,15.01,12.41,0.6906,0.1259,2.02,7.7,15.76,1.16,0.2848,2.0942,0.234,0.1768,0.71,0.09,4.7051
2010-05-30,239324550,239324550,1,2274800000,1470900000,1848900000,548400000,425900000,0,0,66100000,1001000000,398500000,79200000,79200000,0.33,0.32,0.08,156700000,-16900000,18600000,158400000,1027000000,16300000,14.56,16,13.12,0.6381,0.0991,1.78,9.97,53.93,1.08,0.364,2.3503,0.1872,0.1474,0.67,0.59,2.6822
2010-02-28,238062353,238062353,1,2102900000,1255800000,1755600000,564200000,347300000,0,0,66100000,906200000,361900000,53200000,53200000,0.22,0.22,0.08,86600000,-4500000,-35200000,46900000,868600000,9600000,14.42,15.7,13.14,0.2496,0.0326,1.46,11.54,103,1,1.1421,2.6093,0.1652,0.0509,0.64,0.32,2.2258
2009-11-29,237812454,237812454,1,2075500000,1234200000,1779300000,558900000,296200000,0,0,66100000,921800000,344600000,47000000,47000000,0.2,0.2,0.08,128000000,-15100000,-25300000,87600000,821700000,8400000,14.36,16.2,12.52,0.1414,0.0168,1.25,14.08,143.6,0.92,2.1944,3.1121,0.1427,0.0278,0.61,0.5,2.2083
2009-08-30,236611596,236611596,1,1991500000,1152400000,1749600000,497000000,241900000,0,0,61500000,962900000,314400000,29800000,29800000,0.13,0.13,0.08,31600000,-5200000,7400000,33800000,734100000,5900000,13.72,15.85,11.6,0.1063,0.0114,1.02,18.05,45.73,0.84,2.9696,3.9806,0.1215,0.0179,0.64,0.11,2.3187
2009-05-31,234058310,234058310,1,1963300000,1087200000,1786300000,275600000,177000000,0,0,61500000,1227400000,280800000,-63700000,-63700000,-0.28,-0.28,0.08,68600000,-11900000,-133500000,-76800000,700300000,7900000,11.66,14,9.31,0.347,0.0352,0.76,10.6,12.67,0.76,0.8817,6.9345,0.0902,0.0502,0.7,0.26,3.9448
2009-03-01,229615290,229615290,1,2113400000,1136000000,1860700000,388400000,252700000,0,0,60500000,1244400000,292400000,21100000,21100000,0.09,0.09,0.08,38200000,-14800000,-32200000,-8800000,777100000,20200000,10.62,12.17,9.06,None,0.1034,1.1,11.42,9.48,0.68,0.2719,4.9244,0.1196,0.1341,0.77,0.08,2.9248
2008-11-23,229368602,229368602,1,2148500000,1184000000,1935400000,320200000,213100000,0,0,60500000,1383400000,421600000,36300000,36300000,0.16,0.16,0.06,161900000,-30100000,-38400000,93400000,785900000,32200000,15.77,22.51,9.02,None,0.1257,0.93,17.92,12.22,0.6,0.2061,6.4918,0.0992,0.1509,0.83,0.57,3.6977
2008-08-24,229500712,229500712,1,2108100000,1125700000,1906000000,270000000,202100000,0,0,60500000,1397400000,465600000,79600000,79600000,0.35,0.33,0.06,92100000,-24900000,-111500000,-44300000,692500000,22300000,22.12,24.75,19.48,None,0.1489,0.88,26.02,17.56,0.54,0.1608,6.9144,0.0959,0.1736,0.86,0.3,4.1693
2008-05-25,232802163,232802163,1,2149100000,1171600000,1952200000,308600000,196900000,0,0,60500000,1414800000,462000000,83200000,83200000,0.34,0.34,0.06,126200000,-32000000,-228400000,-134200000,736800000,31900000,19.08,21.95,16.21,None,0.1466,0.85,17.83,15.26,0.48,0.1483,7.1854,0.0916,0.1762,0.83,0.41,3.7965
2008-02-24,242512440,242512440,1,2247900000,1297300000,1988600000,321500000,259300000,0,0,60500000,1428800000,453400000,72900000,72900000,0.3,0.29,0.06,208000000,-26000000,-144900000,37100000,871000000,26300000,20.84,24.96,16.73,0.4978,0.1488,1.07,19.12,17.66,0.42,0.1359,5.5102,0.1154,0.1804,0.82,0.75,4.0351
2007-11-25,254887812,254887812,1,2260200000,1318800000,1982900000,292900000,277300000,0,0,63600000,1442700000,499000000,90600000,90600000,0.35,0.33,0.04,184600000,-30100000,-282400000,-127900000,833900000,25600000,24.73,27.7,21.76,0.3239,0.1496,1.09,14.81,22.08,0.36,0.1297,5.2027,0.1227,0.1831,0.82,0.62,4.5026
2007-08-26,264007131,264007131,1,2409400000,1469700000,1969000000,262400000,440400000,0,0,63600000,1457100000,471500000,85600000,85600000,0.32,0.3,0.04,125500000,-13900000,21600000,133200000,961800000,10900000,26.88,29.69,24.08,0.2405,0.1504,1.67,4.15,22.97,0.32,0.1275,3.3086,0.1828,0.1832,0.82,0.43,5.601
2007-05-27,270113001,270113001,1,2201900000,1290500000,453100000,300000000,1748800000,0,0,63600000,20600000,455900000,90100000,90100000,0.32,0.33,0.04,186800000,-17300000,-118600000,50900000,828600000,17700000,25.8,28.08,23.52,0.2138,0.1673,6.47,4.67,22.05,0.28,0.1136,0.0118,0.7942,0.1945,0.86,0.63,4.3017
2007-02-25,313500098,313500098,1,2218600000,1269700000,486500000,292400000,1732100000,0,0,63600000,20600000,431000000,73700000,73700000,0.23,0.22,0.04,164700000,-23900000,-143700000,-2900000,777700000,17100000,23.7,25.76,21.65,0.2244,0.1741,5.53,4.32,17.95,0.24,0.1036,0.0119,0.7807,0.1974,0.88,0.47,4.3423
2006-11-26,318675913,318675913,1,2232600000,1274100000,485200000,293400000,1747400000,0,0,57300000,21100000,501600000,91400000,91400000,0.28,0.27,0.03,132200000,-31300000,-160600000,-59700000,780600000,29700000,24.25,25.81,22.7,0.2487,0.1926,5.48,4.39,17.7,0.2,0.0857,0.0121,0.7827,0.2128,0.9,0.32,4.3425
2006-08-27,324227988,324227988,1,2321600000,1344700000,527000000,361300000,1794600000,0,0,57300000,200000,541400000,120100000,120100000,0.36,0.35,0.03,133200000,64100000,-289200000,-91900000,840300000,40900000,23.61,26.66,20.56,0.2566,0.1979,5.53,4.1,18.74,0.17,0.0757,0.0001,0.773,0.2193,0.9,0.28,3.7218
2006-05-28,334465588,334465588,1,2511100000,1540500000,585000000,398300000,1926100000,0,0,57300000,21100000,572600000,118800000,118800000,0.34,0.33,0.03,227800000,-7600000,-140100000,80100000,932200000,63200000,27.95,30.93,24.98,0.2327,0.1805,5.76,4.87,21.84,0.14,0.0752,0.011,0.767,0.2081,0.87,0.49,3.8677
2006-02-26,337612173,337612173,1,2498200000,1540700000,560200000,380100000,1938000000,0,0,59700000,21100000,547700000,130100000,130100000,0.39,0.37,0.03,201800000,-38000000,-126100000,37700000,852100000,53200000,27.43,29.55,25.31,0.2347,0.1852,5.74,4.92,24.49,0.11,0.0666,0.0109,0.7758,0.2244,0.83,0.44,4.0534
2005-11-27,337485942,337485942,1,2446200000,1479400000,563300000,383800000,1882900000,0,0,64900000,21100000,544000000,114700000,114700000,0.34,0.32,0.02,213600000,-35300000,-224400000,-46100000,814400000,32900000,23.95,26.67,21.24,0.2113,0.1682,5.58,4.17,23.03,0.08,0.0675,0.0112,0.7697,0.2088,0.81,0.54,3.8546
2005-08-28,343671653,343671653,1,2497800000,1526200000,523500000,347400000,1974300000,0,0,64900000,22100000,493800000,85600000,85600000,0.25,0.24,0.02,152600000,44900000,-204100000,-6600000,860500000,12800000,22.66,25.81,19.5,0.1991,0.16,5.74,3.81,20.41,0.06,0.0542,0.0112,0.7904,0.2061,0.78,0.41,4.3932
2005-05-29,345741784,345741784,1,2504200000,1513500000,450100000,285000000,2054100000,0,0,87200000,23000000,467000000,130200000,130200000,0.37,0.35,0.02,167700000,27100000,-60400000,134400000,867100000,13300000,20.02,21.67,18.38,0.2201,0.1753,5.94,3.86,20.02,0.04,0.0335,0.0112,0.8203,0.2171,0.81,0.45,5.3105
2005-02-27,349078971,349078971,1,2250600000,1244700000,439300000,271300000,1811300000,0,0,173300000,23600000,449200000,77400000,77400000,0.22,0.21,0.02,128700000,-14300000,-132800000,-18400000,732700000,9800000,17.64,20.35,14.94,0.2115,0.164,5.19,3.37,17.13,0.02,0.0184,0.013,0.8048,0.188,0.87,0.34,4.5879
2004-11-28,355305856,355305856,1,2330200000,1305100000,472100000,309200000,1858100000,0,0,173300000,22100000,448900000,90000000,90000000,0.25,0.24,0,112500000,-20100000,-64800000,27600000,751100000,18500000,14.64,17.44,11.85,0.2254,0.1714,5.23,2.88,15.25,0,0,0.0119,0.7974,0.1897,0.9,0.26,4.2209
2004-08-29,358136089,358136089,1,2390000000,1341800000,565300000,398900000,1824700000,0,0,173300000,21900000,548000000,117700000,117700000,0.33,0.31,0,119600000,-62600000,23600000,80600000,723500000,55000000,17.81,22.44,13.18,0.2223,0.1654,5.09,3.78,24.4,0,0,0.012,0.7635,0.176,0.94,0.18,3.3638
2004-05-30,356718621,356718621,1,2280400000,1245800000,599900000,461300000,1680500000,0,0,173300000,19900000,571200000,94200000,94200000,0.25,0.24,0,172600000,-51100000,-111000000,10500000,642900000,61500000,21.59,24.35,18.83,0.1713,0.1279,4.71,4.7,44.98,0,0,0.0118,0.7369,0.1426,0.9,0.31,2.7006
2004-02-29,179383685,358767370,2,2220200000,1263400000,574700000,388800000,1645500000,0,0,173300000,19900000,513600000,93100000,93100000,0.52,0.48,0,142500000,-31500000,7900000,118900000,632400000,54800000,20.29,22.63,17.95,0.1111,0.0837,4.59,4.74,144.93,0,0,0.0121,0.7411,0.1003,0.83,0.24,3.2495
2003-11-23,178045016,356090032,2,2076700000,1124300000,554100000,373200000,1522600000,0,0,173300000,19900000,473500000,65800000,65800000,0.37,0.34,0,137400000,-43900000,-301400000,-207900000,513500000,57500000,17.68,22.3,13.05,0.0325,0.0248,4.28,3.74,None,0,0,0.0131,0.7332,0.0317,0.78,0.22,3.0126
2003-08-24,185383175,370766350,2,2265000000,1330300000,510100000,330100000,1754900000,0,0,173300000,20600000,424800000,29700000,29700000,0.17,0.16,0,25200000,-125700000,19700000,-80800000,721400000,41500000,12,14.8,9.19,-0.0028,-0.0022,4.73,2.59,None,0,None,0.0117,0.7748,None,0.74,-0.04,4.03
2003-05-25,183806274,367612548,2,2244600000,1281200000,538600000,367400000,1706000000,0,0,173300000,19900000,425300000,-4400000,-4400000,-0.02,-0.02,0,83400000,-53600000,13200000,43000000,802200000,34200000,10.06,12.4,7.72,-0.019,-0.0147,4.64,2.1,None,0,None,0.0117,0.76,None,0.74,0.13,3.4872
2003-02-23,182456701,364913402,2,2238900000,1229900000,490400000,375300000,1748500000,0,0,173300000,19900000,404300000,-36400000,-36400000,-0.2,-0.2,0,30700000,33900000,8200000,72800000,759200000,24900000,8.52,10.76,6.27,-0.0067,-0.0052,4.79,1.74,None,0,None,0.0114,0.781,None,0.73,0.02,3.2771
2002-11-24,181681544,363363088,2,2303900000,1078800000,521200000,409000000,1782700000,0,0,173300000,19500000,422300000,6200000,6200000,0.03,0.03,0,95200000,-134900000,7100000,-32600000,686400000,49000000,7.32,9.67,4.97,-0.0075,-0.0058,4.91,1.5,None,0,None,0.0109,0.7738,None,0.71,0.13,2.6377
2002-08-25,180939806,361879612,2,2265100000,1136500000,498600000,388800000,1766500000,0,0,173300000,21800000,420600000,1300000,1300000,0.01,0.01,0,11800000,17100000,8800000,37700000,719000000,60900000,12.29,16.87,7.72,-0.0376,-0.029,4.88,2.49,None,0,None,0.0123,0.7799,None,0.69,-0.14,2.9231
