"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,10091822,10091822,1,85087000,71002000,14247000,11436000,70533000,307000,0,3526000,0,26788000,4382000,4382000,0.43,0.43,0.24,-956000,-8115000,-2422000,-11441000,20951000,299000,67.11,81.02,53.2,0.3145,0.2476,6.99,10.25,33.55,9.12,0.4759,0,0.829,0.1856,1.33,-0.12,6.2086
2018-12-31,10091822,10091822,1,86836000,73622000,20515000,18405000,66069000,252000,0,3526000,0,28870000,6024000,6024000,0.61,0.61,0.26,9342000,19075000,-2422000,25947000,32392000,878000,61.68,72.34,51.02,0.3242,0.2532,6.55,9.95,33.7,8.88,0.471,0,0.7608,0.1859,1.36,0.84,4.0001
2018-09-30,10091822,10091822,1,81415000,68853000,18647000,16593000,62538000,230000,0,3526000,0,27199000,5176000,5176000,0.51,0.51,0.24,5629000,-35235000,-2422000,-32059000,6445000,338000,81.76,95,68.52,0.3127,0.2412,6.2,13.79,47.53,8.62,0.4886,0,0.7681,0.1739,1.39,0.52,4.1495
2018-06-30,10091822,10091822,1,75603000,63270000,15585000,13902000,59820000,198000,0,3526000,0,26847000,4776000,4776000,0.47,0.47,0.22,6194000,-311000,-2711000,2925000,38504000,311000,71.5,79.96,63.05,0.3052,0.2333,5.93,12.02,46.13,8.38,0.5095,0,0.7912,0.1666,1.4,0.58,4.5511
2018-03-31,10091822,10091822,1,74236000,60352000,13534000,11187000,60028000,674000,0,3526000,0,25397000,4163000,4163000,0.41,0.41,0.22,-107000,-397000,-2220000,-2359000,35579000,397000,63.01,72.52,53.5,0.2857,0.2158,5.95,11.46,40.65,8.16,0.5661,0,0.8086,0.1544,1.4,-0.05,5.3948
2017-12-31,10091822,10091822,1,77091000,63476000,21022000,18104000,55458000,611000,0,3526000,0,27464000,4476000,4476000,0.44,0.44,0.22,8607000,-120000,-2220000,6331000,37938000,120000,67.69,74.36,61.03,0.299,0.2236,5.5,12.87,44.83,7.94,0.4253,0,0.7194,0.1539,1.45,0.84,3.5062
2017-09-30,10091822,10091822,1,71920000,58304000,18262000,16462000,53110000,548000,0,3526000,0,24923000,4014000,4014000,0.4,0.4,0.22,5086000,-111000,-2220000,3039000,31607000,111000,65.33,74.25,56.41,0.3067,0.2239,5.26,12.91,43.55,7.72,0.2899,0,0.7385,0.1532,1.46,0.49,3.5417
2017-06-30,10091822,10091822,1,67465000,53554000,15932000,14459000,51033000,500000,0,3526000,0,23805000,3034000,3034000,0.3,0.3,0.22,4531000,-187000,0,4581000,28568000,187000,55.97,65.33,46.6,0.3083,0.2284,5.06,11.31,35.65,7.5,0.1461,0,0.7564,0.1535,1.49,0.43,3.7039
2017-03-31,10091822,10091822,1,63702000,50087000,13323000,12232000,49945000,434000,0,3526000,0,25607000,4138000,4138000,0.41,0.41,0,-176000,-2675000,-8578000,-11331000,23987000,2675000,48.31,53.87,42.76,0.3294,0.246,4.95,10.66,34.02,7.28,0,0,0.784,0.1603,1.53,-0.28,4.0948
2016-12-31,10091822,10091822,1,70562000,59676000,24501000,22735000,45679000,382000,0,3526000,0,25643000,4133000,4133000,0.4,0.4,0,7433000,-42000,0,7153000,35318000,42000,47.47,58.45,36.49,0.3089,0.2303,4.53,9.49,31.86,7.28,0.5967,0,0.6474,0.1529,1.51,0.73,2.6249
2016-09-30,10091822,10091822,1,64399000,53369000,13608000,11810000,50442000,349000,0,3526000,0,23942000,3888000,3888000,0.39,0.39,0,2947000,-100000,0,2742000,28165000,100000,36.3,38.56,34.05,0.3305,0.2443,5,7.86,23.88,7.28,1.1919,0,0.7833,0.1586,1.54,0.28,4.519
2016-06-30,10091822,10091822,1,59436000,48438000,12452000,11245000,46658000,326000,0,3526000,0,23840000,3713000,3713000,0.37,0.37,0,2319000,-58000,0,1901000,25423000,58000,35.51,39,32.02,0.3489,0.2548,4.62,8.26,23.52,7.28,1.1651,0,0.785,0.1611,1.58,0.22,4.3075
2016-03-31,10091822,10091822,1,55293000,45783000,11574000,9793000,43411000,308000,0,3526000,0,20626000,2643000,2643000,0.26,0.26,0.85,2059000,-33000,-8578000,-6630000,23522000,33000,31.69,35.28,28.1,0.3601,0.2604,4.3,7.82,20.31,7.28,1.1684,0,0.7851,0.1645,1.58,0.2,4.6751
2015-12-31,10091822,10091822,1,66274000,56691000,25120000,23552000,40882000,272000,0,3526000,0,26113000,4743000,4743000,0.47,0.47,0.92,6200000,-164000,0,5953000,30152000,164000,37.74,43.07,32.41,0.3866,0.277,4.05,8.5,24.99,6.43,0.5881,0,0.6169,0.1693,1.64,0.6,2.4071
