"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2013-09-28,87510880,87510880,1,3428686000,1878709000,2462017000,932333000,966669000,0,26245000,79096000,960736000,1664859000,30885000,30379000,0.35,0.33,1.48,64492000,29521000,-135037000,-37790000,504201000,16888000,None,None,None,0.0437,0.0125,10.75,None,None,10.79,3.1065,1.0216,0.2743,0.0064,1.85,0.54,2.0151
2013-06-29,87140245,87140245,1,3550921000,1931128000,2620850000,1039559000,930071000,0,26976000,79004000,961065000,1533049000,-9532000,-10033000,-0.12,-0.12,0,-12128000,-15251000,-3635000,-37165000,541991000,19639000,None,None,None,0.4463,0.1218,10.36,None,None,9.31,0.0117,1.0642,0.2543,0.066,1.84,-0.36,1.8576
2013-03-30,87004694,87004694,1,3624411000,1996083000,2530963000,931176000,1093448000,0,27385000,80800000,961552000,1766729000,56842000,56335000,0.65,0.64,0.02,32860000,57385000,-5370000,84100000,579156000,24925000,12.07,14.92,9.23,0.5103,0.1238,12.25,1.04,2.56,9.31,0.0112,0.902,0.2941,0.0684,1.8,0.09,2.1436
2012-12-29,86884058,86884058,1,3784315000,1983884000,2749942000,1056641000,1034373000,0,27391000,80765000,960962000,1700494000,-33354000,-33869000,-0.39,-0.39,0.02,27371000,-38738000,870000,-10966000,495056000,38738000,8.83,10.62,7.04,0.5267,0.1072,11.59,0.75,1.72,9.29,0.0084,0.9543,0.2661,0.0599,1.78,-0.13,1.8775
2012-09-29,86744647,86744647,1,3732191000,1950808000,2687763000,1004084000,1044428000,0,28277000,81285000,961488000,1744579000,433508000,432986000,5,4.92,0.02,75692000,-15520000,-3450000,61518000,506022000,15520000,6.27,8.33,4.2,0.6732,0.1145,11.71,0.96,13.34,9.27,0.0038,0.9462,0.2723,0.064,1.78,0.69,1.9429
2012-06-30,86625236,86625236,1,3983393000,1900519000,3390184000,930753000,593209000,0,28332000,81026000,1697281000,1602399000,11248000,10719000,0.12,0.12,0,-4370000,-17045000,-31898000,-56825000,444504000,17045000,5.03,5.95,4.1,0.0697,0.0104,6.52,0.78,16.23,9.25,0,3.0047,0.1418,0.0056,1.76,-0.25,2.0419
2012-03-31,86574396,86574396,1,4055196000,1934863000,3465286000,980015000,589910000,0,28726000,81904000,1698631000,1872912000,5388000,4858000,0.06,0.06,0,86508000,-13941000,-358000,74218000,501329000,13941000,5.39,6.33,4.46,0.0447,0.007,6.48,0.86,14.18,9.25,0,3.0269,0.1384,0.0037,1.77,0.84,1.9743
2011-12-31,86166416,86166416,1,4069275000,1938974000,3500282000,1013301000,568993000,0,28726000,81520000,1699323000,1835783000,3416000,2908000,0.04,0.04,0,-25064000,-27993000,-6672000,-58315000,427111000,27993000,4.92,5.93,3.9,0.055,0.0087,6.27,0.67,10.47,9.25,0,3.1453,0.1328,0.0046,1.77,-0.62,1.9135
2011-09-24,86123472,86123472,1,4002981000,1950996000,3345345000,998377000,657636000,0,29264000,81700000,1700849000,1774767000,22033000,21518000,0.25,0.25,0,52092000,-13326000,-4140000,27134000,485426000,13326000,6.64,8.82,4.46,0.0688,0.0115,7.3,0.92,14.76,9.25,0,2.7068,0.157,0.006,1.76,0.45,1.9542
2011-06-25,86004319,86004319,1,4014320000,1960536000,3363205000,997312000,651115000,0,29352000,83429000,1702467000,1647616000,-2458000,-3021000,-0.04,-0.04,0,25780000,-11114000,-3409000,14201000,458292000,11114000,10.21,14.36,6.05,0.0678,0.0113,7.23,1.48,16.21,9.25,0,2.7381,0.1549,0.0057,1.76,0.17,1.9658
