"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,180725731,180725731,1,5806265000,2227109000,5719909000,1774758000,86356000,0,1000,1977264000,3047661000,868402000,-2659000,-2667000,-0.01,-0.01,0.05,69728000,-34887000,-63992000,-28357000,838905000,28754000,7.07,8.32,5.82,0.8661,0.028,0.48,5.57,5.94,26.08,0.6881,35.2922,0.0149,0.0491,0.57,0.23,1.2549
2018-12-31,188243432,188243432,1,5972903000,2324218000,5733431000,1857140000,239472000,0,1000,1993648000,3066073000,1066339000,44985000,44977000,0.23,0.24,0.19,101636000,57559000,-40497000,108970000,869227000,50911000,7.04,8.56,5.51,0.9918,0.0366,1.27,5.25,4.96,26.03,0.6321,12.8035,0.0401,0.0635,0.58,0.27,1.2515
2018-09-30,187621135,187621135,1,5913935000,2151100000,5662269000,1809351000,251666000,0,1000,2003250000,3076968000,832856000,76953000,76945000,0.41,0.41,0.1875,115592000,303511000,-346104000,70387000,760257000,40511000,8.09,9.3,6.88,None,0.0427,1.34,7.78,6.13,25.84,0.5253,12.2264,0.0426,0.0766,0.56,0.4,1.1889
2018-06-30,188021682,188021682,1,6246751000,2469938000,6050834000,2011957000,195917000,0,1000,2016973000,3237810000,640003000,48214000,48206000,0.26,0.26,0.1875,92362000,-63084000,-39501000,-30005000,689870000,57099000,9.64,11.17,8.11,None,0.0383,1.04,8.38,7.3,25.65,0.5659,16.5265,0.0314,0.0708,0.54,0.19,1.2276
2018-03-31,187550191,187550191,1,6319618000,2289033000,6104725000,2004226000,214893000,0,1000,2227302000,3248713000,983182000,53513000,53505000,0.29,0.28,0.1875,82672000,-38242000,-340317000,-289146000,719875000,42923000,12.82,14.8,10.84,None,0.0387,1.15,12.69,9.22,25.46,0.5634,15.1179,0.034,0.0675,0.57,0.21,1.1421
2017-12-31,186779761,186779761,1,6678715000,2636508000,6490154000,2054993000,188561000,0,1000,2224630000,3559278000,1049117000,89948000,89940000,0.48,0.47,0.19,165236000,-507305000,-347315000,-687882000,1009021000,51428000,11.92,14.34,9.5,None,0.0414,1.01,22.07,25.91,25.28,0.5376,18.8761,0.0282,0.0736,0.56,0.61,1.283
2017-09-30,186728127,186728127,1,6781407000,3220557000,6680574000,2264730000,100833000,0,1000,1762344000,3562672000,842820000,57358000,57349000,0.31,0.31,0.1875,145930000,69076000,623691000,856339000,1696903000,37483000,13.86,15.31,12.4,None,0.0143,0.54,86.63,27.72,25.09,1.6136,35.3328,0.0149,0.0257,0.56,0.58,1.422
2017-06-30,186681977,186681977,1,6037348000,2491577000,6007975000,2633107000,29373000,0,1000,1756339000,2543476000,821371000,48901000,48891000,0.26,0.26,0.1875,30641000,-155921000,210874000,101011000,840564000,40701000,14.75,16.26,13.24,None,0.0159,0.16,None,28.37,24.9,1.4734,86.5953,0.0049,0.0281,0.57,-0.05,0.9462
2017-03-31,186500998,186500998,1,5747171000,2233134000,5793509000,2448440000,-46338000,0,1000,1742502000,2499025000,836640000,65133000,65124000,0.35,0.35,0.1875,154006000,-68870000,-119503000,-24969000,739553000,35920000,14.46,16.6,12.31,None,0.0168,-0.25,None,30.77,24.71,1.4022,None,None,0.0294,0.57,0.63,0.9121
2016-12-31,186399332,186399332,1,5837133000,2325183000,5940793000,2327619000,-103660000,0,1000,1736507000,2750405000,887069000,-84343000,-84352000,-0.46,-0.46,0.19,199763000,-40689000,-345590000,-217200000,764522000,45299000,16.21,18.2,14.22,None,0.0154,-0.56,23.16,11.83,24.52,1.5136,None,None,0.0272,0.57,0.83,0.999
2016-09-30,185758673,185758673,1,6258874000,2501608000,5832052000,2165420000,130452000,296370000,1000,1940639000,2831767000,839031000,65512000,65502000,0.35,0.35,0.1875,137342000,-58357000,237511000,316117000,992089000,44173000,18.1,19.33,16.88,None,0.0432,0.7,43.1,12.4,24.33,0.5368,21.7075,0.0208,0.0762,0.57,0.5,1.1553
