"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,5559929190,5559929190,1,155421000000,45290000000,96263000000,29423000000,58806000000,352000000,19000000,87526000000,35733000000,13118000000,3884000000,3883000000,0.69,0.68,0.36,1698000000,7550000000,-8467000000,793000000,2018000000,618000000,41.63,43.79,39.47,0.1744,0.0709,10.57,3.65,22.38,19.27,0.6936,0.6078,0.3782,0.2131,0.33,0.19,1.5393
2018-12-31,5551804790,5551804790,1,159422000000,49926000000,95664000000,31858000000,63407000000,351000000,19000000,88622000000,32909000000,13977000000,-394000000,-393000000,-0.07,-0.07,0.36,4739000000,-764000000,-6407000000,-2433000000,1225000000,792000000,43.45,46.47,40.42,0.1624,0.0679,11.42,3.52,10.81,18.91,0.7125,0.5192,0.3976,0.2079,0.33,0.71,1.5671
2018-09-30,5780474578,5780474578,1,167838000000,41583000000,96173000000,29013000000,71319000000,346000000,20000000,100920000000,33652000000,13298000000,4114000000,4114000000,0.7,0.69,0.34,5257000000,-2904000000,-1406000000,847000000,3658000000,562000000,40.23,44.45,36,0.3373,0.1424,12.33,3.38,10.59,18.55,0.3297,0.472,0.4248,0.4463,0.32,0.81,1.4333
2018-07-01,5862109503,5862109503,1,164980000000,37303000000,94856000000,32156000000,69778000000,346000000,20000000,102420000000,28935000000,13466000000,3872000000,3871000000,0.66,0.65,0.34,3848000000,-1474000000,-1908000000,395000000,2811000000,456000000,35.82,37.27,34.37,0.3316,0.1339,11.9,2.99,9.79,18.21,0.3457,0.4148,0.4228,0.4234,0.32,0.58,1.1601
2018-04-01,5849571048,5849571048,1,164612000000,34835000000,94070000000,27365000000,70184000000,358000000,21000000,104083000000,31831000000,12906000000,3561000000,3560000000,0.6,0.59,0.34,1983000000,9667000000,-10720000000,985000000,2416000000,386000000,36.31,39.43,33.2,0.3339,0.1285,11.99,3.03,10.14,17.87,0.3543,0.4537,0.4262,0.4128,0.31,0.27,1.273
2017-12-31,5952864751,5952864751,1,171797000000,41141000000,100141000000,30427000000,71308000000,348000000,21000000,104693000000,33538000000,13703000000,12274000000,12274000000,2.06,2.09,0.32,6740000000,-4779000000,-3385000000,-1437000000,1342000000,773000000,35.73,37.35,34.1,0.3426,0.1251,11.98,3.51,21.92,17.53,0.3579,0.4705,0.4149,0.4055,0.31,1,1.3521
2017-10-01,5960707317,5960707317,1,172151000000,40291000000,111041000000,28217000000,60770000000,340000000,22000000,105799000000,34503000000,13168000000,2840000000,2839000000,0.48,0.47,0.32,4888000000,-2996000000,-1728000000,194000000,2779000000,597000000,34.27,36.21,32.32,0.167,0.0581,10.19,3.49,25.01,17.21,0.7587,0.568,0.3529,0.1885,0.31,0.72,1.4279
2017-07-02,5947349054,5947349054,1,168558000000,36385000000,109863000000,27182000000,58368000000,327000000,23000000,106362000000,34191000000,12896000000,3073000000,3073000000,0.52,0.51,0.32,3252000000,-1738000000,-3001000000,-1471000000,2585000000,489000000,33.09,34.52,31.67,0.1398,0.0487,9.81,3.38,27.81,16.89,0.8861,0.586,0.3461,0.16,0.3,0.46,1.3386
2017-04-02,5967844470,5967844470,1,168784000000,35878000000,110038000000,24864000000,58435000000,311000000,23000000,107083000000,36330000000,12779000000,3121000000,3121000000,0.52,0.51,0.32,1589000000,4772000000,-4921000000,1462000000,4057000000,358000000,32.83,34.75,30.9,0.12,0.0425,9.79,3.28,28.06,16.57,1.0023,0.622,0.3461,0.1391,0.31,0.21,1.443
2016-12-31,5951872174,5951872174,1,171615000000,38949000000,111776000000,31115000000,59543000000,296000000,24000000,107097000000,31398000000,13627000000,860000000,860000000,0.14,0.14,0.3,5972000000,-3107000000,-2228000000,501000000,2595000000,769000000,31.91,34,29.83,0.1161,0.0422,10,3.06,31.91,16.25,1.0043,0.5275,0.3468,0.1366,0.31,0.87,1.2518
