"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,631129000,631129000,1,38706750000,None,12929317000,None,22330808000,3446625000,68948000,0,11371490000,790372000,385276000,385276000,0.61,0.6,0.53,508607000,-77866000,-285266000,150160000,401190000,-26508000,77.04,82.82,71.26,0.0755,0.0437,35.27,2.18,28.43,13.68,0.7602,0.5108,0.5751,0.5489,0.08,0.85,None
2019-03-31,630793000,630793000,1,38392112000,None,12568051000,None,22334483000,3489578000,68948000,0,10706139000,772052000,348546000,347047000,0.55,0.55,0.53,494914000,159639000,-748634000,-92826000,251030000,101578000,64.61,72.82,56.4,0.0792,0.0451,35.3,1.83,22.75,13.15,0.7356,0.4808,0.58,0.5635,0.08,0.62,None
2018-12-31,630350000,630350000,1,38417664000,None,12616776000,None,22298093000,3502795000,68948000,754777000,11089815000,807085000,598060000,596568000,0.95,0.94,0.48,529641000,-19691000,-443010000,68294000,343856000,182117000,62.08,68.95,55.21,0.0872,0.0486,35.26,1.78,25.34,12.62,0.6795,0.4989,0.5786,0.586,0.08,0.55,None
2018-09-30,629530000,629530000,1,38268162000,None,12830507000,None,22030599000,3407056000,68948000,0,11232129000,682432000,347836000,346345000,0.6,0.6,0.48,500694000,-457331000,-288847000,-252268000,275562000,419253000,65.04,68.2,61.88,0.0782,0.0426,34.89,2.23,18.69,12.14,0.7812,0.5114,0.5739,0.5129,0.08,0.13,None
2018-06-30,533307000,533307000,1,29502882000,None,10776379000,None,15638570000,3087933000,68948000,0,9427124000,621276000,336087000,334611000,0.63,0.62,0.48,423983000,-338636000,-4275000,69731000,527830000,330946000,63.91,67,60.82,0.1204,0.0636,29.19,2.18,19.02,11.66,0.5238,0.6055,0.5277,0.7378,0.09,0.17,None
2018-03-31,533237000,533237000,1,29671485000,None,10883365000,None,15680075000,3108045000,68948000,0,9460177000,693656000,367378000,365902000,0.69,0.68,0.48,349241000,151862000,-495969000,11053000,458099000,-62488000,61.73,65.19,58.28,0.1175,0.061,29.28,2.11,20.17,11.18,0.5312,0.606,0.5261,0.6727,0.09,0.77,None
2017-12-31,533054000,533054000,1,29481075000,None,10775334000,None,15631158000,3074583000,68948000,468271000,9412631000,619922000,300886000,295515000,0.57,0.55,0.44,326933000,201391000,-649297000,-121680000,447046000,-141278000,65.26,67.53,62.99,0.1086,0.0555,29.19,2.24,19.48,10.7,0.5701,0.6048,0.5279,0.6271,0.09,0.88,None
2017-09-30,532082000,532082000,1,29654150000,None,11094894000,None,15543751000,3015505000,78235000,0,9721065000,602874000,877893000,876218000,1.65,1.63,0.44,615153000,512391000,-830936000,297372000,568726000,-976476000,61.04,65.49,56.59,0.1195,0.0599,29.07,2.2,27.25,10.26,0.517,0.6286,0.5215,0.6825,0.09,2.99,None
2017-06-30,531863000,531863000,1,30150395000,None,12290157000,None,14847296000,3012942000,78235000,0,11081922000,766183000,268617000,266943000,0.5,0.5,0.44,392366000,-226991000,-297423000,-124475000,271354000,231589000,55.58,59.49,51.66,0.0806,0.0395,27.77,2.01,24.59,9.82,0.7661,0.7503,0.4898,0.4375,0.09,0.3,None
2017-03-31,530315000,530315000,1,29814958000,None,12146537000,None,14746867000,2921554000,78235000,0,10966932000,629155000,204929000,203255000,0.38,0.38,0.44,352794000,56487000,-828928000,-411487000,395829000,-37719000,51.29,54.25,48.33,0.0813,0.0396,27.66,1.82,22.59,9.38,0.7501,0.7476,0.492,0.4689,0.08,0.74,None
2016-12-31,529345000,529345000,1,30249932000,None,11791792000,None,14991081000,3467059000,78235000,545744000,10608294000,620115000,442197000,440539000,0.84,0.84,0.42,419994000,521906000,-496802000,432196000,807316000,-297154000,49.72,53.51,45.93,0.0818,0.0393,28.17,1.79,30.5,8.94,0.7366,0.7114,0.493,0.475,0.08,1.35,None
2016-09-30,528614000,528614000,1,30888209000,None,12604939000,None,14799167000,3484103000,78235000,0,11256997000,704565000,280926000,279255000,0.53,0.52,0.42,418920000,-177919000,-198611000,42899000,375120000,92151000,51.66,54.87,48.46,0.0602,0.0285,27.85,1.86,32.29,8.52,0.9919,0.7647,0.4766,0.3447,0.08,0.62,None
2016-06-30,526951000,526951000,1,30745934000,None,12462900000,None,14712191000,3570843000,78235000,0,11139415000,602155000,277079000,275383000,0.52,0.52,0.42,311821000,565424000,-920781000,-37516000,332221000,-113923000,47.09,50.74,43.45,0.059,0.0278,27.77,1.7,34.88,8.1,1.001,0.7612,0.476,0.3539,0.08,0.81,None
2016-03-31,525367000,525367000,1,31375748000,None,13035124000,None,14632661000,3707963000,78235000,0,11687171000,606300000,209730000,208041000,0.4,0.39,0.42,266270000,342627000,-509271000,105657000,369737000,-139796000,39.75,44.26,35.25,0.0498,0.0233,27.7,1.43,24.69,7.68,1.1424,0.803,0.4639,0.31,0.07,0.77,None
2015-12-31,524774000,524774000,1,31394767000,None,12973931000,None,14667935000,3752901000,78235000,0,11626831000,643201000,119995000,118363000,0.24,0.2,0.4,313595000,226172000,-585059000,-46353000,264080000,-194318000,41.17,43.69,38.66,0.0592,0.029,27.8,1.48,17.9,7.26,0.9237,0.7969,0.4647,0.3927,0.07,0.97,None
2015-09-30,524311000,524311000,1,31419354000,None,13234383000,None,14631570000,3553401000,78235000,0,11934355000,580622000,260650000,258979000,0.49,0.49,0.4,293926000,205835000,-538157000,-40592000,310433000,-261635000,39.38,42.49,36.26,0.08,0.0406,27.76,1.41,19.3,6.86,0.6557,0.82,0.4632,0.5752,0.07,1.06,None
2015-06-30,524127000,524127000,1,31602397000,None,13248373000,None,14710751000,3643273000,78235000,0,12121305000,510404000,141918000,140240000,0.27,0.27,0.36,274357000,-4880271000,4763383000,159012000,351025000,7331000,40.75,44.48,37.03,0.073,0.0388,27.92,1.47,21.45,6.46,0.6904,0.8284,0.463,0.5602,0.07,0.51,None
2015-03-31,524047000,524047000,1,25460821000,None,9668014000,None,14614973000,1177834000,78235000,0,8641421000,462847000,346876000,345206000,0.67,0.65,0.36,81532000,-200349000,-31953000,-158679000,192013000,121375000,44.36,47.56,41.15,0.0697,0.0393,27.74,1.63,35.21,6.1,0.7142,0.5945,0.5709,0.5382,0.07,-0.08,None
2014-12-31,512138000,512138000,1,25818223000,None,10634624000,None,13975509000,1208090000,78235000,266857000,9380199000,450865000,410287000,408609000,0.82,0.89,0.33,253754000,115136000,-314675000,38813000,350692000,-64842000,40.58,44.05,37.12,0.0459,0.0258,27.14,1.52,86.34,5.74,1.067,0.675,0.5383,0.3534,0.07,0.62,None
2014-09-30,499989000,499989000,1,24072103000,None,9935354000,None,13440101000,696648000,78235000,0,8822952000,415151000,137915000,136245000,0.27,0.23,0.33,144911000,-413831000,327752000,44452000,311879000,-129309000,39.83,42.38,37.28,0.0202,0.0118,26.72,1.48,181.05,5.41,2.3279,0.6603,0.5551,0.1585,0.07,0.55,None
2014-06-30,499991000,499991000,1,24131562000,None,9854712000,None,13571744000,705106000,78235000,0,8529453000,460089000,81180000,72715000,0.15,0.13,0.33,233623000,327513000,-483078000,78541000,267427000,-496525000,41.19,42.66,39.72,0.0095,0.0059,26.99,1.53,457.67,5.08,4.7278,0.6321,0.5592,0.0743,0.07,1.46,None
2014-03-31,499688000,499688000,1,24655148000,None,10161905000,None,13571035000,922208000,100000000,0,8870635000,434682000,6801000,4666000,0.01,0.01,0.33,72243000,-517127000,132184000,-302243000,188886000,281266000,39.22,42.1,36.33,0.004,0.0026,26.96,1.44,60.34,4.75,10.6826,0.6585,0.5464,0.0323,0.07,-0.42,None
2013-12-31,499613700,499613700,1,24572307000,None,10395854000,None,13711158000,465295000,100000000,247567000,9011216000,410211000,61192000,59057000,0.12,0.1,0.28,152741000,667254000,-436512000,369436000,491129000,-1013934000,38.35,40.99,35.71,0.0236,0.0141,27.24,1.4,767,4.42,1.7711,0.662,0.5539,0.1802,0.07,2.34,None
