"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,195894501,195894501,1,23068000000,3978000000,16287000000,3495000000,6523000000,258000000,0,17638000000,11299000000,2740000000,60000000,60000000,0.31,0.3,0,391000000,-195000000,-200000000,2000000,938000000,155000000,145.84,160.91,130.77,0.0365,0.0108,33.3,4.35,120.53,0,0,1.7322,0.2828,0.0231,0.47,1.2,1.1382
2019-03-31,197240698,197240698,1,23109000000,3999000000,16244000000,3502000000,6615000000,250000000,0,17668000000,11588000000,2684000000,58000000,58000000,0.29,0.29,0,113000000,-315000000,228000000,45000000,936000000,141000000,126.47,145.16,107.79,0.0355,0.0109,33.54,3.72,101.99,0,0,1.7518,0.2863,0.0235,0.46,-0.14,1.1419
2018-12-31,197599861,197599861,1,22549000000,3874000000,15595000000,3534000000,6714000000,240000000,0,17751000000,10907000000,2688000000,69000000,69000000,0.34,0.34,0,417000000,-178000000,-158000000,64000000,891000000,138000000,120.19,135.48,104.9,0.0351,0.0114,33.98,3.37,20.27,0,0,1.6245,0.2978,0.0249,0.46,1.41,1.0962
2018-09-30,202306281,202306281,1,22498000000,3696000000,15038000000,3380000000,7215000000,245000000,0,17897000000,10518000000,2594000000,60000000,60000000,0.3,0.29,0,344000000,-182000000,-201000000,-52000000,827000000,123000000,114.94,131.71,98.17,0.164,0.0556,35.66,3.16,19.09,0,0,1.4578,0.3207,0.1229,0.45,1.09,1.0935
2018-06-30,202586895,202586895,1,22626000000,3587000000,15012000000,3166000000,7364000000,250000000,0,18141000000,10627000000,2567000000,61000000,61000000,0.3,0.29,0,311000000,-330000000,-52000000,-81000000,879000000,110000000,99.28,106.99,91.57,0.1668,0.0567,36.35,2.52,16.36,0,0,1.4431,0.3255,0.1268,0.45,0.99,1.133
2018-03-31,207684876,207684876,1,23235000000,3724000000,14782000000,3199000000,8196000000,257000000,0,18621000000,10342000000,2563000000,69000000,69000000,0.33,0.32,0,182000000,-120000000,-41000000,1000000,960000000,88000000,100.74,108.38,93.1,0.1677,0.0578,39.46,2.59,16.62,0,0,1.2618,0.3527,0.1307,0.44,0.45,1.1641
2017-12-31,208251468,208251468,1,22742000000,3450000000,14384000000,2904000000,8109000000,249000000,0,18441000000,10122000000,2577000000,1076000000,1076000000,5.14,5.03,0,233000000,-416000000,45000000,-144000000,959000000,102000000,102.47,110.67,94.28,0.1718,0.0594,38.94,2.98,353.34,0,0,1.2482,0.3566,0.1344,0.44,0.63,1.188
2017-09-30,211313493,211313493,1,22445000000,3492000000,14938000000,2853000000,7264000000,243000000,0,18165000000,9651000000,2465000000,84000000,84000000,0.39,0.38,0,436000000,-334000000,93000000,201000000,1103000000,89000000,93.7,99.95,87.45,0.0071,0.0026,34.38,2.69,128.36,0,0,1.3286,0.3236,0.0058,0.44,1.64,1.224
2017-06-30,216526774,216526774,1,21782000000,3259000000,14008000000,2660000000,7539000000,235000000,0,17751000000,8858000000,2375000000,75000000,75000000,0.35,0.34,0,245000000,-200000000,-34000000,40000000,902000000,100000000,84.94,91.81,78.07,None,0.0041,34.82,2.47,77.22,0,0,1.175,0.3461,0.0083,0.5,0.67,1.2252
2017-03-31,220040694,220040694,1,21183000000,3117000000,13383000000,2596000000,7571000000,229000000,0,17313000000,8254000000,2322000000,74000000,74000000,0.32,0.31,0,56000000,-240000000,-176000000,-336000000,862000000,78000000,78.92,83.04,74.8,None,0.0065,34.41,2.16,47.26,0,0,1.0902,0.3574,0.0107,0.61,-0.1,1.2007
2016-12-31,235719111,235719111,1,21208000000,3337000000,12348000000,2705000000,8633000000,227000000,0,17117000000,7108000000,2338069000,-177594000,-177594000,-0.74,-0.74,0,447053000,1812850000,-2205857000,-11526000,1198000000,85924000,75.78,81.45,70.1,None,0.0138,36.62,None,23.32,0,0,0.8234,0.4071,0.0167,0.83,1.53,1.2336
2016-09-30,246181560,246181560,1,4128802000,2643132000,4210729000,1619948000,-313432000,231505000,0,1038257000,2387114000,1497173000,99167000,99167000,0.83,0.82,0,260215000,-22294000,24397000,253993000,1209677000,20703000,73.14,81.26,65.01,None,0.0993,-1.27,None,22.03,0,0,None,None,0.0655,1.52,0.97,1.6316
2016-06-30,118480990,118480990,1,3962798000,2436598000,4191499000,1600288000,-458286000,229585000,0,1069395000,2397834000,1552673000,86759000,86759000,0.73,0.71,0,40618000,-16084000,-97550000,-97528000,955684000,31174000,66.33,71.44,61.21,None,0.1029,-3.87,None,20.22,0,0,None,None,0.0683,1.51,0.08,1.5226
