"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,255817204,255817204,1,75851000000,37805000000,45058000000,23090000000,30793000000,0,0,29340000000,17436000000,25177000000,1139000000,1139000000,4.44,4.36,0.8,1437000000,-1165000000,-677000000,-405000000,4078000000,221000000,261.01,294.86,227.16,0.1376,0.055,120.37,2.24,17.26,17.82,0.1957,0.5662,0.406,0.0422,1.3,4.75,1.6373
2019-03-31,257195705,257195705,1,74523000000,36611000000,44525000000,22682000000,29998000000,0,0,29425000000,17396000000,24666000000,1551000000,1551000000,6.03,5.91,0.8,1630000000,-652000000,-429000000,548000000,4482000000,234000000,279.59,317.99,241.18,0.1371,0.0541,116.63,2.52,19.69,17.02,0.1974,0.5799,0.4025,0.0423,1.28,5.43,1.6141
2018-12-31,257011928,257011928,1,71571000000,34321000000,43030000000,21965000000,28541000000,0,0,29511000000,17217000000,23372800000,424100000,424100000,1.64,1.61,0.75,463000000,773000000,-1561000000,-326000000,3934000000,320000000,273.57,300.57,246.57,0.1323,0.0511,111.05,2.43,15.84,16.22,0.2062,0.6032,0.3988,0.0407,1.25,0.56,1.5625
2018-09-30,258642095,258642095,1,74445000000,37108000000,45351000000,24174000000,29094000000,0,0,29569000000,17300000000,23251000000,960000000,960000000,3.7,3.62,0.75,606900000,-687800000,-340600000,-422100000,4260000000,355500000,255.69,276,235.38,0.1637,0.0623,112.49,2.31,15.54,15.47,0.1666,0.5946,0.3908,0.0498,1.25,0.97,1.535
2018-06-30,259953678,259953678,1,74367400000,37370400000,45642400000,24505700000,28725000000,0,0,29638800000,17515400000,22943700000,1053400000,1053400000,4.07,3.98,0.75,542200000,-778300000,288300000,51400000,4682000000,314300000,232.16,246.82,217.49,0.1606,0.0606,110.5,2.19,14.85,14.72,0.1715,0.6098,0.3863,0.0479,1.26,0.88,1.525
2018-03-31,255199261,255199261,1,73300400000,36974100000,46288000000,24755900000,27012400000,0,0,29261500000,18110100000,22537500000,1312500000,1312500000,5.13,4.99,0.75,2214900000,-565900000,-627700000,1021700000,4630600000,218200000,241.74,267.95,215.52,0.1566,0.0591,105.85,2.33,16.82,13.97,0.1739,0.6704,0.3685,0.046,1.28,7.82,1.4935
2017-12-31,255721900,255721900,1,70540000000,36262800000,44037100000,23356000000,26502900000,0,0,27599600000,17382200000,22680300000,1230700000,1230700000,4.8,4.68,0.7,-1301200000,-3620700000,2433200000,-2488300000,3608900000,277300000,209.35,236.39,182.31,0.1464,0.0557,103.64,2.07,18.93,13.22,0.1826,0.6559,0.3757,0.0427,1.3,-6.17,1.5526
2017-09-30,256760521,256760521,1,68309900000,36973700000,42361600000,24412500000,25948300000,0,0,25428400000,13777300000,22426000000,746900000,746900000,2.87,2.8,0.7,2404700000,807100000,-1676800000,1536000000,6097200000,218700000,189.19,198.98,179.4,0.1151,0.0441,101.06,1.88,17.92,12.52,0.233,0.531,0.3799,0.0335,1.32,8.51,1.5145
2017-06-30,262584689,262584689,1,68237600000,37130700000,41805900000,22567900000,26431700000,0,0,25443600000,15088000000,22407200000,855300000,855300000,3.23,3.16,0.65,393100000,-1041800000,-1563800000,-2211200000,4561200000,166300000,179.41,194.94,163.87,0.1114,0.0428,100.66,1.82,17.4,11.82,0.2406,0.5708,0.3873,0.0324,1.32,0.86,1.6453
2017-03-31,264986210,264986210,1,68943500000,37981800000,42851600000,23174200000,26091900000,0,0,25484200000,15449900000,22525900000,1009900000,1009900000,3.82,3.73,0.65,2688200000,-1227000000,1234300000,2697100000,6772400000,127900000,155.64,170.79,140.5,0.1109,0.0423,98.47,1.64,16.9,11.17,0.2472,0.5921,0.3785,0.0319,1.33,9.66,1.639
2016-12-31,264378577,264378577,1,65083100000,34314900000,39982700000,21294400000,25100400000,0,0,25526100000,14358500000,21714400000,368400000,368400000,1.38,1.37,0.65,274700000,670900000,581500000,1529300000,4075300000,168000000,131.56,148.26,114.85,0.1012,0.0384,94.94,1.4,15.46,10.52,0.2774,0.572,0.3857,0.0291,1.32,0.4,1.6115
2016-09-30,263435396,263435396,1,64399900000,32924300000,39655700000,21036900000,24744200000,0,0,25574500000,14242300000,21403900000,617800000,617800000,2.35,2.3,0.65,963500000,523000000,-524100000,963300000,2546000000,164400000,132.85,143.18,122.52,0.0955,0.0359,93.93,1.44,15.38,9.87,0.297,0.5756,0.3842,0.0274,1.31,3.03,1.5651
2016-06-30,263171006,263171006,1,64062600000,32957700000,39829000000,20816800000,24233600000,0,0,25621900000,14202400000,21456200000,780600000,780600000,2.97,2.91,0.65,662000000,-316800000,-437100000,-93300000,1582700000,133700000,135.45,148,122.91,0.0986,0.0368,92.08,1.51,15.29,9.22,0.2888,0.5861,0.3783,0.0283,1.3,2.01,1.5832
2016-03-31,262953003,262953003,1,63858700000,32965000000,40311600000,20810300000,23547100000,0,0,25669800000,14864500000,20288500000,703000000,703000000,2.69,2.63,0.65,1304300000,-1391000000,-353200000,-437500000,1676000000,117500000,130.16,144.69,115.63,0.1033,0.038,89.55,1.48,13.97,8.57,0.2762,0.6313,0.3687,0.0298,1.28,4.51,1.5841
2015-12-31,261351781,261351781,1,61717800000,30862100000,38673700000,19092600000,23044100000,0,0,25720200000,15324500000,20187900000,180900000,180900000,0.68,0.67,0.63,949100000,630700000,-1012400000,565700000,2113500000,229900000,138.06,149.87,126.25,0.1093,0.0403,88.17,1.55,13.21,7.92,0.2565,0.665,0.3734,0.0323,1.25,2.75,1.6164
2015-09-30,261069836,261069836,1,62335600000,31539400000,39099500000,18365800000,23236100000,0,0,25766100000,15719600000,19901600000,654800000,654800000,2.51,2.43,0.625,343400000,244500000,-593900000,-5200000,1547800000,143300000,150.28,165.93,134.62,0.1217,0.0454,89,1.7,14.68,7.29,0.2112,0.6765,0.3728,0.037,1.23,0.77,1.7173
2015-06-30,261587142,261587142,1,64263800000,33202200000,41201200000,20673200000,23062600000,0,0,25817200000,15468400000,20015500000,859100000,859100000,3.27,3.13,0.625,1173000000,684900000,-1703000000,156000000,1553000000,140900000,160.94,173.59,148.29,0.1193,0.0451,88.16,1.75,16.64,6.66,0.1972,0.6707,0.3589,0.0374,1.21,3.95,1.6061
2015-03-31,264536271,264536271,1,65546000000,34740400000,41211700000,21305400000,24334300000,0,0,25864500000,14764400000,19051500000,865200000,865200000,3.25,3.09,0.625,1650500000,-2711600000,311900000,-754700000,1397000000,88800000,141.75,160.64,122.86,0.1124,0.0434,91.99,1.56,15.79,6.04,0.1905,0.6067,0.3713,0.0364,1.19,5.9,1.6306
2014-12-31,266787463,266787463,1,62065000000,32228900000,37813700000,18753400000,24251300000,0,0,25040100000,14127200000,18984300000,506700000,506700000,1.88,1.8,0.44,305100000,660100000,-528900000,433800000,2151700000,216000000,119.44,129.96,108.92,0.1057,0.0414,90.9,1.33,15.57,5.41,0.1859,0.5825,0.3907,0.0348,1.19,0.33,1.7186
2014-09-30,269941385,269941385,1,62058200000,32227100000,37764200000,18395000000,24294000000,0,0,25092600000,14538300000,18557000000,630900000,630900000,2.31,2.22,0.4375,605700000,-107700000,-560900000,-66700000,1717900000,139400000,115.55,124.58,106.52,0.0905,0.036,90,1.3,15.18,4.97,0.2115,0.5984,0.3915,0.0305,1.18,1.73,1.7519
2014-06-30,274246594,274246594,1,62303600000,32428200000,37926700000,19176300000,24376900000,0,0,25153900000,14037800000,18473400000,731100000,731100000,2.64,2.56,0.4375,1071000000,-783000000,-474100000,-186600000,1784600000,135500000,100.39,110.03,90.75,0.091,0.0367,88.89,1.15,13.05,4.53,0.2059,0.5759,0.3913,0.0311,1.18,3.41,1.6911
2014-03-31,279672290,279672290,1,61685500000,31806800000,37340200000,18493700000,24345300000,0,0,25304000000,13932100000,17859400000,701000000,701000000,2.46,2.4,0.4375,1387500000,-744300000,-258600000,384300000,1971200000,135700000,92.2,102.56,81.84,0.0937,0.0382,87.05,1.05,11.27,4.1,0.1963,0.5723,0.3947,0.0324,1.18,4.48,1.7199
2013-12-31,282459121,282459121,1,59574500000,29745800000,34809300000,16351500000,24765200000,0,0,25358200000,13573600000,17570900000,148200000,148200000,0.5,0.49,0.38,272800000,-147600000,-725800000,-598800000,1586900000,199200000,88.75,94.36,83.13,0.1012,0.0417,87.68,1.06,9.65,3.66,0.1779,0.5481,0.4157,0.0351,1.19,0.26,1.8191
2013-09-30,295417144,295417144,1,60263500000,29596900000,35455400000,16042400000,24808100000,0,0,26419200000,14514000000,17969800000,656200000,656200000,2.21,2.16,0.375,1397400000,-23400000,-536800000,838400000,2185700000,158600000,85.38,90,80.75,0.1152,0.0471,83.98,1.04,9.29,3.28,0.151,0.5851,0.4117,0.0407,1.16,4.19,1.8449
2013-06-30,298960354,298960354,1,59612300000,28900800000,35079800000,16034100000,24532500000,0,0,26476700000,14091500000,17795600000,800100000,800100000,2.67,2.64,0.375,425200000,-867800000,123900000,-318000000,1347300000,142000000,74.07,82.33,65.82,0.1178,0.0486,82.06,0.91,8.72,2.9,0.1409,0.5744,0.4115,0.0428,1.14,0.95,1.8025
2013-03-31,300362528,300362528,1,59408600000,28660700000,35090600000,16030100000,24318000000,0,0,26545300000,14030000000,17687200000,885200000,885200000,2.92,2.89,0.375,956900000,-1195600000,-579100000,-819300000,1665300000,107500000,62.69,66.62,58.75,0.1123,0.0469,80.96,0.8,7.71,2.53,0.1422,0.5769,0.4093,0.042,1.12,2.83,1.7879
2012-12-31,304035158,304035158,1,58955400000,28268400000,35152700000,15836900000,23802700000,0,0,26613300000,14170800000,15536100000,464200000,464200000,1.52,1.51,0.29,759800000,-1266500000,547800000,42500000,2484600000,169800000,58.66,63.63,53.69,0.1121,0.0479,78.29,0.75,7.74,2.15,0.1371,0.5953,0.4037,0.043,1.11,1.94,1.785
2012-09-30,303655451,303655451,1,55817900000,29640300000,32001400000,14083100000,23816500000,0,0,22679600000,13395700000,15353100000,691200000,691200000,2.17,2.15,0.2875,240200000,-1317900000,1566300000,489000000,2442100000,149000000,58.59,64.66,52.52,0.1072,0.047,78.43,0.81,7.99,1.86,0.1423,0.5625,0.4267,0.0411,1.14,0.3,2.1047
2012-06-30,325186630,325186630,1,54535000000,28470100000,30891200000,16177800000,23643800000,0,0,22660500000,10135600000,15407300000,643600000,643600000,1.96,1.94,0.2875,521500000,-1987300000,1141800000,-326000000,1953100000,101900000,68.51,73.8,63.22,0.107,0.0476,72.71,0.96,9.41,1.58,0.1426,0.4287,0.4336,0.0409,1.16,1.29,1.7598
2012-03-31,330829747,330829747,1,52496500000,27543600000,28968100000,15955100000,23528400000,0,0,21736700000,8462500000,15415200000,856500000,856500000,2.56,2.53,0.2875,1223100000,20100000,-1167000000,77500000,2279100000,123800000,69.03,74.73,63.34,0.1088,0.0496,71.12,0.99,9.6,1.29,0.1381,0.3597,0.4482,0.0421,1.18,3.32,1.7263
2011-12-31,334748569,334748569,1,52018800000,27097400000,28730600000,15825700000,23288200000,0,0,21790400000,8420900000,15317700000,335300000,335300000,0.97,0.96,0.25,57900000,381200000,-744000000,-306800000,2201600000,182700000,66.11,71.78,60.44,0.1112,0.0513,69.57,0.97,8.57,1,0.1332,0.3616,0.4477,0.0436,1.18,-0.37,1.7122
2011-09-30,347860963,347860963,1,52549900000,27552300000,28831800000,15786300000,23718100000,0,0,21841100000,8622300000,15398000000,683200000,683200000,1.92,1.9,0.25,1429800000,-853000000,234100000,808600000,2508400000,129500000,68.75,80.9,56.61,0.1196,0.0559,68.18,1.03,8.99,0.75,0.094,0.3635,0.4513,0.0476,1.17,3.74,1.7453
2011-06-30,360660278,360660278,1,50877200000,26756800000,26695900000,14107300000,24181300000,0,0,21147100000,8292100000,15100700000,701600000,701600000,1.92,1.89,0.25,771800000,-752300000,-723500000,-702200000,1699800000,101700000,74.63,81.92,67.34,0.1211,0.0575,67.05,1.14,9.99,0.5,0.0624,0.3429,0.4753,0.0492,1.17,1.86,1.8967
2011-03-31,367162618,367162618,1,50918000000,26819400000,26939900000,14160300000,23978100000,0,0,21204600000,8542000000,14894300000,926600000,926600000,2.48,2.44,0.25,1114900000,282100000,-785800000,613200000,2402000000,101900000,63.39,70,56.79,0.1224,0.0581,65.31,1,9.07,0.25,0.0313,0.3562,0.4709,0.0501,1.16,2.76,1.894
2010-12-31,375511311,375511311,1,50166900000,26140800000,26354300000,14009500000,23812600000,0,0,21261700000,8147800000,14647900000,548800000,548800000,1.46,1.48,0,587000000,-102600000,-939800000,-457400000,1788800000,123000000,56.97,61,52.93,0.1197,0.057,63.41,0.92,4.96,0,0,0.3422,0.4747,0.0491,1.16,1.24,1.8659
2010-09-30,393610053,393610053,1,51032400000,26939400000,26670700000,14141500000,24361700000,0,0,21321900000,8217200000,14598200000,739100000,739100000,1.86,1.84,0,896500000,-849000000,167500000,218300000,2246200000,104800000,52.01,57.49,46.52,0.2083,0.0994,61.89,0.87,4.66,0,0,0.3373,0.4774,0.0804,1.24,2.01,1.905
2010-06-30,399739503,399739503,1,50160000000,26081700000,26369500000,14836500000,23790500000,0,0,21382400000,7334800000,14457200000,722400000,722400000,1.73,1.71,0,256100000,-511800000,-1239300000,-1498300000,2027900000,105700000,57.34,65.81,48.86,0.2112,0.0999,59.52,1,5.27,0,0,0.3083,0.4743,0.0792,1.26,0.38,1.7579
2010-03-31,427187403,427187403,1,51180900000,27116500000,26661700000,14810500000,24519200000,0,0,21443500000,7630400000,15098500000,876800000,876800000,1.99,1.96,0,-322900000,191900000,-1157700000,-1289900000,3526200000,117100000,63.5,70,56.99,0.2134,0.0998,57.4,1.13,6.29,0,0,0.3112,0.4791,0.0776,1.29,-1.03,1.8309
2009-12-31,443930532,443930532,1,52125400000,28070700000,27262100000,14673700000,24863300000,0,0,21523900000,8338300000,19046500000,2741800000,2741800000,6.01,5.97,0,29700000,4163300000,-1210200000,2973900000,4816100000,106100000,52.47,60.89,44.04,0.2075,0.0947,56.01,1.05,11,0,0,0.3354,0.477,0.073,1.3,-0.17,1.913
2009-09-30,458345599,458345599,1,49497500000,25362500000,26630100000,14126400000,22867400000,0,0,21649000000,8384400000,15425100000,730200000,730200000,1.55,1.53,0,1439600000,-201600000,-1121400000,117600000,1842200000,114400000,51.34,55.73,46.96,0.1061,0.0475,49.89,1.1,10.61,0,0,0.3667,0.462,0.0383,1.24,2.89,1.7954
