,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1993-10-31,-0.07905138339920947,0.04855735397607308,-0.0935822637106184,-0.2078337330135891,0.001290322580645098,0.22359154929577474,0.4375,0.7777777777777777,0.75,0.0,-1.4629629629629632,-1.6130653266331658,-1.5976190476190475,-1.4384615384615385,-0.3087885985748219,0.049979000419991586,0.09989594172736728,0.17333333333333334,0.0018779342723003192,-0.09361702127659588,-0.15897191813422173,0.08787010506208204,0.08080808080808066,0.04587155963302725,0.3236200369750859
1,1994-01-31,-0.07905138339920947,0.04855735397607308,-0.0935822637106184,-0.2078337330135891,0.001290322580645098,0.22359154929577474,0.4375,0.7777777777777777,0.75,0.0,-1.4629629629629632,-1.6130653266331658,-1.5976190476190475,-1.4384615384615385,-0.3087885985748219,0.049979000419991586,0.09989594172736728,0.17333333333333334,0.0018779342723003192,-0.09361702127659588,-0.15897191813422173,0.08787010506208204,0.08080808080808066,0.04587155963302725,0.3236200369750859
2,1994-04-30,0.08240343347639477,0.04855735397607308,0.09577754891864054,-0.2078337330135891,0.015463917525773141,0.22359154929577474,0.4375,0.7777777777777777,0.75,0.0,-1.4629629629629632,-1.6130653266331658,-1.5976190476190475,-1.4384615384615385,0.19587628865979376,-0.09239999999999993,0.09989594172736728,0.17333333333333334,0.019681349578256846,-0.09361702127659588,-0.15897191813422173,-0.052677787532923626,0.08080808080808066,0.04587155963302725,0.3236200369750859
3,1994-07-31,-0.0590800951625694,0.04855735397607308,-0.0730733082706767,-0.2078337330135891,0.016497461928933976,-0.1007194244604317,-0.13043478260869568,-0.25,-0.19047619047619035,0.0,0.54,-1.647540983606557,-1.8844621513944224,-0.7719298245614035,0.037356321839080435,-0.3027765535478184,0.09989594172736728,0.17333333333333334,0.02389705882352944,-0.31924882629107976,-0.15897191813422173,0.08804448563484724,0.08080808080808066,0.04587155963302725,0.3236200369750859
4,1994-10-31,0.06531816266329549,0.04855735397607308,0.07452471482889744,-0.2078337330135891,0.01997503121098632,0.2487999999999999,0.1499999999999999,0.3333333333333333,0.2941176470588234,0.0,0.7532467532467533,-1.6962025316455698,-1.7702702702702702,14.076923076923075,0.5429362880886426,-0.07964601769911506,0.09989594172736728,0.17333333333333334,0.04129263913824044,-0.096551724137931,-0.15897191813422173,-0.034923339011925125,0.08080808080808066,0.04587155963302725,0.3236200369750859
5,1995-01-31,-0.05181962025316456,0.04855735397607308,-0.0672328379334749,-0.2078337330135891,0.028151774785801775,-0.09288917360666238,0.0,0.0,-0.045454545454545525,0.0,-1.0148148148148148,-1.3636363636363638,-2.456140350877193,-2.076530612244898,-0.3788150807899462,0.03914835164835173,0.09989594172736728,0.17333333333333334,0.02586206896551735,-0.007633587786259555,-0.15897191813422173,0.09708737864077666,0.08080808080808066,0.04587155963302725,0.3236200369750859
6,1995-04-30,0.10367125573633706,0.04855735397607308,0.11608497723823975,-0.2078337330135891,0.0452380952380953,0.15819209039548032,1.0,1.4375,1.4761904761904765,0.0,8.5,-8.125,-2.4899598393574296,-1.3175355450236967,0.19364161849710992,-0.05419695968274951,0.33112582781456945,0.17333333333333334,0.05462184873949583,-0.07692307692307697,-0.15897191813422173,-0.03620273531777951,0.31775700934579443,0.035087719298245716,0.3236200369750859
7,1995-07-31,-0.10319410319410316,0.04855735397607308,-0.13165646952186716,-0.2078337330135891,0.039863325740318915,-0.07682926829268287,-0.15217391304347827,-0.2051282051282052,-0.17307692307692313,1.0476190476190474,-13.68421052631579,-1.3298245614035091,-2.212938005390836,-2.716417910447761,-0.2784503631961259,0.0656883298392732,0.1727078891257996,0.17333333333333334,0.05498007968127494,0.01666666666666661,-0.2292020373514433,0.1769616026711185,0.17730496453900724,0.04237288135593231,0.3236200369750859
8,1995-10-31,0.1730242360379346,0.04855735397607308,0.22546972860125256,-0.2078337330135891,-0.0470974808324206,0.17040951122853376,0.4358974358974359,0.5806451612903225,0.5581395348837211,0.0,-0.18257261410788386,-6.212765957446807,-2.0666666666666664,-2.6260869565217395,0.6275167785234899,-0.20065573770491807,0.2963636363636364,0.21969696969696967,-0.0725075528700907,-0.24590163934426226,-0.3516886930983847,-0.20212765957446802,0.2831325301204819,0.008130081300812941,0.3236200369750859
9,1996-01-31,-0.08965145526410345,0.04855735397607308,-0.1096678023850085,-0.2078337330135891,0.01839080459770126,-0.1918735891647856,-0.6071428571428572,-0.6938775510204082,-0.7014925373134329,-0.5348837209302325,-2.1776649746192893,-1.3469387755102042,-1.49375,-2.5989304812834217,-0.6164948453608248,-0.11238720262510248,-0.025245441795231468,-0.021739130434782598,0.025244299674267227,-0.0434782608695653,-0.33069082672706684,0.12622222222222226,-0.00938967136150226,-0.008064516129032251,0.3236200369750859
